"Date","ABN","AIG","ANAT","ANFGF","AXELF","AXP","AZO","BAC","BAESF","BAX","BIDU","BK","BRK","BSBR","BTI","CMCSA","CNHI","CNPAF","COP","CSCO","DEO","DVN","EMR","FII","FMCC","GETVF","GL","GOOG","GOOGL","GSK","HAL","HD","HENKY","HKHHF","HYMLF","JEF","JNJ","MA","MBI","MMM","MRC","MURGF","NSRGY","NVS","NWLI","PFE","PM","PNC","RDS","RHHVF","RYN","SCBFF","SKM","SNY","TOT","TRH","UL","UN","UNP","UOVEY","WFC","WMT","WPP","ZFSVF"
2006-10-01,2.53,4.27,0,0,0,4.16,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,4.45,0,0,3.74,3.7,0,3.28,0,0,0,0,2.69,0,5.02,0,0,0,0,4,0,0,0,6.08,0,3.48,3.1,0,4.6,0,0,0,0,0,2.06,0,5.41,0,0,0,0,4.48,2.59,0,0
2006-11-01,2.53,4.27,0,0,0,4.16,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,4.45,0,0,3.74,3.7,0,3.28,0,0,0,0,2.69,0,5.02,0,0,0,0,4,0,0,0,6.08,0,3.48,3.1,0,4.6,0,0,0,0,0,2.06,0,5.41,0,0,0,0,4.48,2.59,0,0
2006-12-01,2.53,4.27,0,0,0,4.16,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,4.45,0,0,3.74,3.7,0,3.28,0,0,0,0,2.69,0,5.02,0,0,0,0,4,0,0,0,6.08,0,3.48,3.1,0,4.6,0,0,0,0,0,2.06,0,5.41,0,0,0,0,4.48,2.59,0,0
2007-01-01,3.54,4.17,0,0,0,4.02,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,4.23,3.38,0,3.51,0,0,0,0,2.57,0,5.67,0,2.22,0,0,0,0,0,0,6.91,0,3.84,0,0,4.66,0,0,0,0,2.31,0,0,5.32,0,0,0,0,4.52,2.74,0,0
2007-02-01,3.54,4.17,0,0,0,4.02,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,4.23,3.38,0,3.51,0,0,0,0,2.57,0,5.67,0,2.22,0,0,0,0,0,0,6.91,0,3.84,0,0,4.66,0,0,0,0,2.31,0,0,5.32,0,0,0,0,4.52,2.74,0,0
2007-03-01,3.54,4.17,0,0,0,4.02,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,4.23,3.38,0,3.51,0,0,0,0,2.57,0,5.67,0,2.22,0,0,0,0,0,0,6.91,0,3.84,0,0,4.66,0,0,0,0,2.31,0,0,5.32,0,0,0,0,4.52,2.74,0,0
2007-04-01,3.82,4.4,0,0,0,4.42,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,4.06,3.1,0,3.63,0,0,0,0,2.78,0,6.74,0,2.69,0,0,0,0,0,0,6.86,0,3.07,0,0,3.92,0,0,0,0,2.73,0,0,4.48,0,0,0,0,4.67,2.85,0,0
2007-05-01,3.82,4.4,0,0,0,4.42,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,4.06,3.1,0,3.63,0,0,0,0,2.78,0,6.74,0,2.69,0,0,0,0,0,0,6.86,0,3.07,0,0,3.92,0,0,0,0,2.73,0,0,4.48,0,0,0,0,4.67,2.85,0,0
2007-06-01,3.82,4.4,0,0,0,4.42,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,4.06,3.1,0,3.63,0,0,0,0,2.78,0,6.74,0,2.69,0,0,0,0,0,0,6.86,0,3.07,0,0,3.92,0,0,0,0,2.73,0,0,4.48,0,0,0,0,4.67,2.85,0,0
2007-07-01,4.22,4.1,0,0,0,4.14,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4.06,2.91,0,3.26,0,0,0,0,2.21,0,7.18,0,3.56,0,0,0,0,0,0,7.8,0,3,0,0,3.61,0,0,0,0,2.87,0,0,4.24,0,2.06,0,0,4.57,2.49,0,0
