"Date","A","ACT","ADP","AGN","AIG","AIV","ALEX","ALX","APD","BEAM","BGP","BHC","BRK","BX","C","CEN","CMG","CP","CXW","EMC","FBHS","FO","GLRE","GM","H","HHC","HLT","JCP","LDG","LOW","MA","MATX","MCD","MDLZ","NKE","NOMD","PG","PK","QSR","RTX","SBUX","SHLDQ","SKS","TGT","V","WB","WEN","YUM","ZTS"
2007-04-01,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,30.69,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,38.96,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,30.69,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,38.96,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,30.69,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,38.96,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,25.18,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,34.56,0,0,0,0,0,0,0,0,21.51,0,7.64,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,25.18,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,34.56,0,0,0,0,0,0,0,0,21.51,0,7.64,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,25.18,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,34.56,0,0,0,0,0,0,0,0,21.51,0,7.64,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.46,0,27.99,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.46,0,27.99,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.46,0,27.99,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.45,0,52,0,0,7.05,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.45,0,52,0,0,7.05,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.45,0,52,0,0,7.05,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,19.31,0,0,0.19,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,16.37,0,30.02,0,0,11.73,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,19.31,0,0,0.19,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,16.37,0,30.02,0,0,11.73,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,19.31,0,0,0.19,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,16.37,0,30.02,0,0,11.73,0,0
2008-07-01,0,0,0,0,2.91,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0,18.51,0,0,0.15,0,0,0,0,0,6.27,0,2.67,0,0,0,0,0,0,0,0,0,0,1.24,0,25.4,4.38,8.93,7.73,0,0
2008-08-01,0,0,0,0,2.91,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0,18.51,0,0,0.15,0,0,0,0,0,6.27,0,2.67,0,0,0,0,0,0,0,0,0,0,1.24,0,25.4,4.38,8.93,7.73,0,0
2008-09-01,0,0,0,0,2.91,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0,18.51,0,0,0.15,0,0,0,0,0,6.27,0,2.67,0,0,0,0,0,0,0,0,0,0,1.24,0,25.4,4.38,8.93,7.73,0,0
2008-10-01,0,0,0,0,0,0.24,0,0.09,0,0,0.18,0,0,0,0,0,0,0,0,25.8,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.25,38.83,15.73,0,9.77,0,0
2008-11-01,0,0,0,0,0,0.24,0,0.09,0,0,0.18,0,0,0,0,0,0,0,0,25.8,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.25,38.83,15.73,0,9.77,0,0
2008-12-01,0,0,0,0,0,0.24,0,0.09,0,0,0.18,0,0,0,0,0,0,0,0,25.8,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.25,38.83,15.73,0,9.77,0,0
2009-01-01,0,0,0,0,0,2.31,0,0.07,0,0,0.35,0,0,0,0,0,0,0,0,34.68,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,44.39,6.36,0,8.44,2.22,0
2009-02-01,0,0,0,0,0,2.31,0,0.07,0,0,0.35,0,0,0,0,0,0,0,0,34.68,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,44.39,6.36,0,8.44,2.22,0
2009-03-01,0,0,0,0,0,2.31,0,0.07,0,0,0.35,0,0,0,0,0,0,0,0,34.68,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,44.39,6.36,0,8.44,2.22,0
2009-04-01,0,0,11.75,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,35.12,0,0,0.2,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,44.85,0,0,0,0,0
2009-05-01,0,0,11.75,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,35.12,0,0,0.2,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,44.85,0,0,0,0,0
2009-06-01,0,0,11.75,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,35.12,0,0,0.2,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,44.85,0,0,0,0,0
2009-07-01,0,0,7.68,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,5.32,31.95,0,0,0.15,0,0,0,0,0,0,0,0,0,15.04,0,0,0,0,0,0,0,0,0,0,38.8,0,0,0,0,0
2009-08-01,0,0,7.68,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,5.32,31.95,0,0,0.15,0,0,0,0,0,0,0,0,0,15.04,0,0,0,0,0,0,0,0,0,0,38.8,0,0,0,0,0
2009-09-01,0,0,7.68,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,5.32,31.95,0,0,0.15,0,0,0,0,0,0,0,0,0,15.04,0,0,0,0,0,0,0,0,0,0,38.8,0,0,0,0,0
2009-10-01,0,0,0.26,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,14.16,0,0,0,0.31,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.03,0,0,0,25.48,0
2009-11-01,0,0,0.26,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,14.16,0,0,0,0.31,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.03,0,0,0,25.48,0
2009-12-01,0,0,0.26,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,14.16,0,0,0,0.31,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.03,0,0,0,25.48,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,6.55,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,29.89,0,0,0,0,0,0,0,0,0,32.79,0,0,0,17.56,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,6.55,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,29.89,0,0,0,0,0,0,0,0,0,32.79,0,0,0,17.56,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,6.55,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,29.89,0,0,0,0,0,0,0,0,0,32.79,0,0,0,17.56,0
2010-04-01,0,0,9.51,0,0,0,0,0,0,0,0.4,0,0,0,15.73,0,0,0,5.96,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,26.91,0,0,0,0,0,0,0,0,0,29.04,0,0,0,2.13,0
2010-05-01,0,0,9.51,0,0,0,0,0,0,0,0.4,0,0,0,15.73,0,0,0,5.96,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,26.91,0,0,0,0,0,0,0,0,0,29.04,0,0,0,2.13,0
2010-06-01,0,0,9.51,0,0,0,0,0,0,0,0.4,0,0,0,15.73,0,0,0,5.96,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,26.91,0,0,0,0,0,0,0,0,0,29.04,0,0,0,2.13,0
2010-07-01,0,0,9.05,0,0,0,0,0,0,0,0.31,0,0,0,14.14,0,0,0,6.68,0,0,9.1,0.15,0,0,0,0,10.57,0,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,18.71,0,0,0,0,0
2010-08-01,0,0,9.05,0,0,0,0,0,0,0,0.31,0,0,0,14.14,0,0,0,6.68,0,0,9.1,0.15,0,0,0,0,10.57,0,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,18.71,0,0,0,0,0
2010-09-01,0,0,9.05,0,0,0,0,0,0,0,0.31,0,0,0,14.14,0,0,0,6.68,0,0,9.1,0.15,0,0,0,0,10.57,0,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,18.71,0,0,0,0,0
2010-10-01,0,0,1.14,0,0,0,0.12,0,0,0,0.17,0,0,0,12.14,0,0,0,3.44,0,0,17.59,0.12,4.64,0,3.4,0,19.76,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,0
2010-11-01,0,0,1.14,0,0,0,0.12,0,0,0,0.17,0,0,0,12.14,0,0,0,3.44,0,0,17.59,0.12,4.64,0,3.4,0,19.76,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,0
2010-12-01,0,0,1.14,0,0,0,0.12,0,0,0,0.17,0,0,0,12.14,0,0,0,3.44,0,0,17.59,0.12,4.64,0,3.4,0,19.76,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,2.92,0,0,0,0,0,0,0,11.65,0,0,0,1.94,0,0,18.53,0.13,0,0,4.53,0,22.52,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,2.92,0,0,0,0,0,0,0,11.65,0,0,0,1.94,0,0,18.53,0.13,0,0,4.53,0,22.52,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,2.92,0,0,0,0,0,0,0,11.65,0,0,0,1.94,0,0,18.53,0.13,0,0,4.53,0,22.52,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,15.32,0,0,0,0,0,0,17.13,0.1,0,0,3.63,0,20.92,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,15.32,0,0,0,0,0,0,17.13,0.1,0,0,3.63,0,20.92,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,15.32,0,0,0,0,0,0,17.13,0.1,0,0,3.63,0,20.92,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,11.12,0,0,3.23,0,0,0,18.71,0,0,0,2.5,0,17.23,0,6.83,0,0,0,14.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,11.12,0,0,3.23,0,0,0,18.71,0,0,0,2.5,0,17.23,0,6.83,0,0,0,14.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,11.12,0,0,3.23,0,0,0,18.71,0,0,0,2.5,0,17.23,0,6.83,0,0,0,14.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,1.87,0,0,13.73,0,0,0,0,8.85,0,0,21.05,0,0,4.57,0,0,0,0,2.03,0,17.52,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,1.87,0,0,13.73,0,0,0,0,8.85,0,0,21.05,0,0,4.57,0,0,0,0,2.03,0,17.52,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,1.87,0,0,13.73,0,0,0,0,8.85,0,0,21.05,0,0,4.57,0,0,0,0,2.03,0,17.52,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,2.19,0,0,15.1,0,0,0,0,11.83,0,0,22.73,0,0,3.64,0,0,0,0,2.82,0,17.15,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,2.19,0,0,15.1,0,0,0,0,11.83,0,0,22.73,0,0,3.64,0,0,0,0,2.82,0,17.15,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,2.19,0,0,15.1,0,0,0,0,11.83,0,0,22.73,0,0,3.64,0,0,0,0,2.82,0,17.15,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,2.74,0,0,18.39,0,0,0,0,0.43,0,0,25.02,0,0,0,0,0,0,0,3.11,0,12.87,0,0,0,0,0,0,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,2.74,0,0,18.39,0,0,0,0,0.43,0,0,25.02,0,0,0,0,0,0,0,3.11,0,12.87,0,0,0,0,0,0,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,2.74,0,0,18.39,0,0,0,0,0.43,0,0,25.02,0,0,0,0,0,0,0,3.11,0,12.87,0,0,0,0,0,0,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0.49,0,0,14.18,0,0,0,0,0,0,0,23.7,0,0,0,0,0,0,0,3,0,11.23,0,0,0,0.9,0,0,0,0,22.94,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0.49,0,0,14.18,0,0,0,0,0,0,0,23.7,0,0,0,0,0,0,0,3,0,11.23,0,0,0,0.9,0,0,0,0,22.94,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0.49,0,0,14.18,0,0,0,0,0,0,0,23.7,0,0,0,0,0,0,0,3,0,11.23,0,0,0,0.9,0,0,0,0,22.94,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,14.11,0,0,0,0,0,0,0,27.24,0,0,0,0,0,0,0,2.89,0,8.55,0,0,0,1,0,1.69,0,0,21.05,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,14.11,0,0,0,0,0,0,0,27.24,0,0,0,0,0,0,0,2.89,0,8.55,0,0,0,1,0,1.69,0,0,21.05,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,14.11,0,0,0,0,0,0,0,27.24,0,0,0,0,0,0,0,2.89,0,8.55,0,0,0,1,0,1.69,0,0,21.05,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,13.24,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,0,2.99,0,5.91,0,0,0,0.75,0,1.83,0,0,21.55,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,13.24,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,0,2.99,0,5.91,0,0,0,0.75,0,1.83,0,0,21.55,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,0,0,0,0,0,0,0,13.24,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,0,2.99,0,5.91,0,0,0,0.75,0,1.83,0,0,21.55,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,10.24,14.55,0,0,0,0,0,0,0,32.49,0,0,0,0,0,0,0,4.43,0,7.39,0,0,0,0.06,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0,0,0,10.24,14.55,0,0,0,0,0,0,0,32.49,0,0,0,0,0,0,0,4.43,0,7.39,0,0,0,0.06,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,10.24,14.55,0,0,0,0,0,0,0,32.49,0,0,0,0,0,0,0,4.43,0,7.39,0,0,0,0.06,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,0,26.11,16.05,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,0,0,0,0,0,0,0,26.11,16.05,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,0,0,0,0,0,0,0,26.11,16.05,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,0,0,0,0,0,0,0,0,27.91,17.21,0,0,0,0,0,0,0,31.55,0,0,0,0,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0,0,0,27.91,17.21,0,0,0,0,0,0,0,31.55,0,0,0,0,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,0,0,0,0,0,0,0,0,27.91,17.21,0,0,0,0,0,0,0,31.55,0,0,0,0,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,0,0.88,0,1.35,0,0,29.19,11.6,0,0,0,0,0,0,0,30.81,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,0,0,0,0.88,0,1.35,0,0,29.19,11.6,0,0,0,0,0,0,0,30.81,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,0,0.88,0,1.35,0,0,29.19,11.6,0,0,0,0,0,0,0,30.81,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,0,0,0,38.79,0,0,0,0,20.98,0,0,0,0,0,0,0,0,20.04,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,0,0,0,38.79,0,0,0,0,20.98,0,0,0,0,0,0,0,0,20.04,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,0,0,0,38.79,0,0,0,0,20.98,0,0,0,0,0,0,0,0,20.04,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,0,0,0,38.33,0,0,0,0,19.93,0,0,0,0,0,0,0,0,21.54,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52
