"Date","AKR","BAM","BK","CMA","CVCO","EXP","FNF","FPH","FR","HA","HCC","LOW","MAC","MHK","ORI","ORIG","PNC","RYN","TDW","TPHS","TRC","UHAL","VNO","WY","Y","ZION"
2018-01-01,2.28,8.15,2.85,2.64,2.4,0,0,1.94,2.53,0,1.81,2.14,3.47,0,0,0,0,5.49,3.25,1.63,3.12,0,2.85,9,2.21,0
2018-02-01,2.28,8.15,2.85,2.64,2.4,0,0,1.94,2.53,0,1.81,2.14,3.47,0,0,0,0,5.49,3.25,1.63,3.12,0,2.85,9,2.21,0
2018-03-01,2.28,8.15,2.85,2.64,2.4,0,0,1.94,2.53,0,1.81,2.14,3.47,0,0,0,0,5.49,3.25,1.63,3.12,0,2.85,9,2.21,0
2018-04-01,2.48,8.08,2.09,2.42,0,0,0,4.84,2.82,0,3.44,2.27,4.45,0,0,0,0,4.54,3.24,1.6,2.23,0,3.05,9.11,2.02,0
2018-05-01,2.48,8.08,2.09,2.42,0,0,0,4.84,2.82,0,3.44,2.27,4.45,0,0,0,0,4.54,3.24,1.6,2.23,0,3.05,9.11,2.02,0
2018-06-01,2.48,8.08,2.09,2.42,0,0,0,4.84,2.82,0,3.44,2.27,4.45,0,0,0,0,4.54,3.24,1.6,2.23,0,3.05,9.11,2.02,0
2018-07-01,2.9,10,1.87,2.71,0,0,0,5.43,2.53,0,4.06,3.12,4.95,0,0,1.83,0,4.53,3.94,1.7,0,1.77,3.45,8.54,0,1.6
2018-08-01,2.9,10,1.87,2.71,0,0,0,5.43,2.53,0,4.06,3.12,4.95,0,0,1.83,0,4.53,3.94,1.7,0,1.77,3.45,8.54,0,1.6
2018-09-01,2.9,10,1.87,2.71,0,0,0,5.43,2.53,0,4.06,3.12,4.95,0,0,1.83,0,4.53,3.94,1.7,0,1.77,3.45,8.54,0,1.6
2018-10-01,3.39,8.43,0,3.02,0,0,0,6.44,2.49,2.55,5.12,2.64,5.34,0,0,0,0,5.12,3.73,1.74,1.5,2.24,4.04,8.52,0,0
2018-11-01,3.39,8.43,0,3.02,0,0,0,6.44,2.49,2.55,5.12,2.64,5.34,0,0,0,0,5.12,3.73,1.74,1.5,2.24,4.04,8.52,0,0
2018-12-01,3.39,8.43,0,3.02,0,0,0,6.44,2.49,2.55,5.12,2.64,5.34,0,0,0,0,5.12,3.73,1.74,1.5,2.24,4.04,8.52,0,0
2019-01-01,2.7,6.2,0,2.65,0,0,1.46,8.2,2.41,2.87,4.27,2.28,4.42,0,0,0,0,5.11,4.41,1.66,0,2.33,2.11,8.52,0,0
2019-02-01,2.7,6.2,0,2.65,0,0,1.46,8.2,2.41,2.87,4.27,2.28,4.42,0,0,0,0,5.11,4.41,1.66,0,2.33,2.11,8.52,0,0
2019-03-01,2.7,6.2,0,2.65,0,0,1.46,8.2,2.41,2.87,4.27,2.28,4.42,0,0,0,0,5.11,4.41,1.66,0,2.33,2.11,8.52,0,0
2019-04-01,2.63,6.53,0,2.72,0,0,1.57,7.32,2.21,3.26,3.87,1.97,4,0,0,0,0,5.16,5.13,1.88,0,2.38,2.14,9.06,0,0
2019-05-01,2.63,6.53,0,2.72,0,0,1.57,7.32,2.21,3.26,3.87,1.97,4,0,0,0,0,5.16,5.13,1.88,0,2.38,2.14,9.06,0,0
2019-06-01,2.63,6.53,0,2.72,0,0,1.57,7.32,2.21,3.26,3.87,1.97,4,0,0,0,0,5.16,5.13,1.88,0,2.38,2.14,9.06,0,0
2019-07-01,2.41,7.59,0,2.26,0,0,0,7.46,2.42,3.35,3.12,2.16,3.19,1.64,0,0,0,4.7,3.73,2.06,0,2.65,3.57,8,0,0
2019-08-01,2.41,7.59,0,2.26,0,0,0,7.46,2.42,3.35,3.12,2.16,3.19,1.64,0,0,0,4.7,3.73,2.06,0,2.65,3.57,8,0,0
2019-09-01,2.41,7.59,0,2.26,0,0,0,7.46,2.42,3.35,3.12,2.16,3.19,1.64,0,0,0,4.7,3.73,2.06,0,2.65,3.57,8,0,0
2019-10-01,2.24,6.16,0,2.36,0,1.59,0,8.06,2.31,3.18,3.74,0,3.67,1.98,0,0,0,4.16,5.26,1.74,0,2.99,3.82,7.91,0,0
2019-11-01,2.24,6.16,0,2.36,0,1.59,0,8.06,2.31,3.18,3.74,0,3.67,1.98,0,0,0,4.16,5.26,1.74,0,2.99,3.82,7.91,0,0
2019-12-01,2.24,6.16,0,2.36,0,1.59,0,8.06,2.31,3.18,3.74,0,3.67,1.98,0,0,0,4.16,5.26,1.74,0,2.99,3.82,7.91,0,0
2020-01-01,0,7.04,0,0,0,2.11,0,8.73,0,1.88,2.9,2.15,0,1.88,1.8,0,0,4.26,2.9,1.63,0,3.16,5.47,4.61,0,0
2020-02-01,0,7.04,0,0,0,2.11,0,8.73,0,1.88,2.9,2.15,0,1.88,1.8,0,0,4.26,2.9,1.63,0,3.16,5.47,4.61,0,0
2020-03-01,0,7.04,0,0,0,2.11,0,8.73,0,1.88,2.9,2.15,0,1.88,1.8,0,0,4.26,2.9,1.63,0,3.16,5.47,4.61,0,0
