"Date","ALLE","BK","CC","DD","GE","IR","LM","MDLZ","NVT","PEP","PG","PNR","PPG","SYY","TIF","WEN"
2015-01-01,1.18,14.21,0,0,0,6.82,8.31,20.25,0,20.46,0,0,0,0,0.01,8.25
2015-02-01,1.18,14.21,0,0,0,6.82,8.31,20.25,0,20.46,0,0,0,0,0.01,8.25
2015-03-01,1.18,14.21,0,0,0,6.82,8.31,20.25,0,20.46,0,0,0,0,0.01,8.25
2015-04-01,0,12.26,0,0,12.74,4.75,5.5,19.09,0,16.52,0,4.51,0,3.56,0.01,5.89
2015-05-01,0,12.26,0,0,12.74,4.75,5.5,19.09,0,16.52,0,4.51,0,3.56,0.01,5.89
2015-06-01,0,12.26,0,0,12.74,4.75,5.5,19.09,0,16.52,0,4.51,0,3.56,0.01,5.89
2015-07-01,0,10.1,0.27,0,19.5,1.23,3.92,17.16,0,14.74,0,5.67,0,13.78,0.01,3.01
2015-08-01,0,10.1,0.27,0,19.5,1.23,3.92,17.16,0,14.74,0,5.67,0,13.78,0.01,3.01
2015-09-01,0,10.1,0.27,0,19.5,1.23,3.92,17.16,0,14.74,0,5.67,0,13.78,0.01,3.01
2015-10-01,0,10.34,0,0,19.65,0,3.51,17.47,0,14.84,0,5.5,0,14.19,0.01,3.56
2015-11-01,0,10.34,0,0,19.65,0,3.51,17.47,0,14.84,0,5.5,0,14.19,0.01,3.56
2015-12-01,0,10.34,0,0,19.65,0,3.51,17.47,0,14.84,0,5.5,0,14.19,0.01,3.56
2016-01-01,0,11.29,0,0,22.73,0,3.69,18.56,0,0,0,7.49,0,19.47,0.01,4.28
2016-02-01,0,11.29,0,0,22.73,0,3.69,18.56,0,0,0,7.49,0,19.47,0.01,4.28
2016-03-01,0,11.29,0,0,22.73,0,3.69,18.56,0,0,0,7.49,0,19.47,0.01,4.28
2016-04-01,0,11.93,0,0,22.42,0,0,20.82,0,0,0,7.96,0,21.25,0,3.74
2016-05-01,0,11.93,0,0,22.42,0,0,20.82,0,0,0,7.96,0,21.25,0,3.74
2016-06-01,0,11.93,0,0,22.42,0,0,20.82,0,0,0,7.96,0,21.25,0,3.74
2016-07-01,0,12.61,0,0,21.02,0,0,20.6,0,0,0,9,0,21.05,0,4.3
2016-08-01,0,12.61,0,0,21.02,0,0,20.6,0,0,0,9,0,21.05,0,4.3
2016-09-01,0,12.61,0,0,21.02,0,0,20.6,0,0,0,9,0,21.05,0,4.3
