"Date","ACA","ADBE","ADS","ADSK","AES","AFI","ALB","ALSN","ARMK","AWI","AXP","BHC","BHI","BIVV","BKNG","BKR","BP","C","CBRE","CF","COL","CPWR","DAR","DRC","EIX","ES","ESRX","EVA","EXPD","FDX","FNF","FOX","FOXA","GDI","HAL","HE","ICE","INT","KAR","KKR","LIND","LKQ","MCO","MOS","MS","MSCI","MSFT","MSI","NLOK","NTCT","NYT","PCG","PCP","PSN","SLE","SLM","SPGI","STRA","STX","TECH","TRN","TSG","TW","UFI","VLO","VRRM","VRSN","WCC","WLTW","XPO","XRAY"
2011-10-01,0,11.99,0,0,0,0,0,0,0,0,0,12.14,0,0,0,0,0,0,5.57,0,8.91,0,0,0,0,0.13,0,0,0,0,3.45,0,0,0,0,0,0,0,0.21,0,0,0,9.62,0,0,0,0,0,0,0,0.56,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,7.24,0,5.73,0,0
2011-11-01,0,11.99,0,0,0,0,0,0,0,0,0,12.14,0,0,0,0,0,0,5.57,0,8.91,0,0,0,0,0.13,0,0,0,0,3.45,0,0,0,0,0,0,0,0.21,0,0,0,9.62,0,0,0,0,0,0,0,0.56,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,7.24,0,5.73,0,0
2011-12-01,0,11.99,0,0,0,0,0,0,0,0,0,12.14,0,0,0,0,0,0,5.57,0,8.91,0,0,0,0,0.13,0,0,0,0,3.45,0,0,0,0,0,0,0,0.21,0,0,0,9.62,0,0,0,0,0,0,0,0.56,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,7.24,0,5.73,0,0
2012-01-01,0,14.54,0,0,0,0,0,0,0,0,0,12.55,0,0,0,0,0,0,6.61,0,7.84,0,0,0,0,0.19,0,0,0,0,4.35,0,0,0.86,1.18,0,0,0,0.2,0,0,0,10.81,0,0,0,0,22.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,5.13,0,0
2012-02-01,0,14.54,0,0,0,0,0,0,0,0,0,12.55,0,0,0,0,0,0,6.61,0,7.84,0,0,0,0,0.19,0,0,0,0,4.35,0,0,0.86,1.18,0,0,0,0.2,0,0,0,10.81,0,0,0,0,22.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,5.13,0,0
2012-03-01,0,14.54,0,0,0,0,0,0,0,0,0,12.55,0,0,0,0,0,0,6.61,0,7.84,0,0,0,0,0.19,0,0,0,0,4.35,0,0,0.86,1.18,0,0,0,0.2,0,0,0,10.81,0,0,0,0,22.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,5.13,0,0
2012-04-01,0,14.91,0,1.24,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,7.36,0,7.45,0.02,0,0,0,0.06,0,0,0,0,4.42,0,0,1.94,5.85,0,0,0.09,0.2,0,0,0,9.15,0,0,0,0,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0
2012-05-01,0,14.91,0,1.24,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,7.36,0,7.45,0.02,0,0,0,0.06,0,0,0,0,4.42,0,0,1.94,5.85,0,0,0.09,0.2,0,0,0,9.15,0,0,0,0,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0
2012-06-01,0,14.91,0,1.24,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,7.36,0,7.45,0.02,0,0,0,0.06,0,0,0,0,4.42,0,0,1.94,5.85,0,0,0.09,0.2,0,0,0,9.15,0,0,0,0,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0
2012-07-01,0,14.38,0,2.82,0,0,0,0,0,0,0,13.73,0,0,0,0,0,0,8.24,0,8,0,0,0,0,0.1,0,0,0,0,0,0,0,2.14,6.2,0,0,0,0.22,0,0,0,10.83,0,0,0,0,20.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0
2012-08-01,0,14.38,0,2.82,0,0,0,0,0,0,0,13.73,0,0,0,0,0,0,8.24,0,8,0,0,0,0,0.1,0,0,0,0,0,0,0,2.14,6.2,0,0,0,0.22,0,0,0,10.83,0,0,0,0,20.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0
2012-09-01,0,14.38,0,2.82,0,0,0,0,0,0,0,13.73,0,0,0,0,0,0,8.24,0,8,0,0,0,0,0.1,0,0,0,0,0,0,0,2.14,6.2,0,0,0,0.22,0,0,0,10.83,0,0,0,0,20.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0
2012-10-01,0,15.02,0,4.64,0,0,0,0,0,0,0,13.36,0,0,0,0,0,0,8.11,0,7.81,0,0,0,0,0,0,0,0,0,0,0,0,2.19,5.66,0,0.32,0,0.21,0,0,0,9.63,0,0,2.43,0,20.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,0,0
2012-11-01,0,15.02,0,4.64,0,0,0,0,0,0,0,13.36,0,0,0,0,0,0,8.11,0,7.81,0,0,0,0,0,0,0,0,0,0,0,0,2.19,5.66,0,0.32,0,0.21,0,0,0,9.63,0,0,2.43,0,20.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,0,0
2012-12-01,0,15.02,0,4.64,0,0,0,0,0,0,0,13.36,0,0,0,0,0,0,8.11,0,7.81,0,0,0,0,0,0,0,0,0,0,0,0,2.19,5.66,0,0.32,0,0.21,0,0,0,9.63,0,0,2.43,0,20.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,0,0
2013-01-01,0,15.41,0,0,0,0,0.68,0,0,0,0,14.9,0,0,0,0,0,0,9.14,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0.18,0,0,0,0,0,0,2.36,10.79,20.94,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,7.37,0,0
2013-02-01,0,15.41,0,0,0,0,0.68,0,0,0,0,14.9,0,0,0,0,0,0,9.14,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0.18,0,0,0,0,0,0,2.36,10.79,20.94,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,7.37,0,0
2013-03-01,0,15.41,0,0,0,0,0.68,0,0,0,0,14.9,0,0,0,0,0,0,9.14,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0.18,0,0,0,0,0,0,2.36,10.79,20.94,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,7.37,0,0
2013-04-01,0,14.65,0,0,0,0,0,0,0,0,0,16.73,0,0,0,0,0,0,7.68,1.76,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.19,0,0,0,0,0,0,2.12,20.48,17.14,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,7.63,0,0
