"Date","AAL","AAPL","AMP","AMZN","ANTM","AXP","BAC","BK","BUD","CBI","CEG","CHTR","COP","COST","CVS","DAL","DE","DG","DVA","FISV","FWONA","GD","GE","GHC","GL","GM","GS","GSK","IBM","INTC","IR","IRM","JNJ","JPM","KHC","KMX","KO","LSXMK","LUV","MA","MCO","MDLZ","MON","MTB","NKE","NLC","NOV","NRG","NSC","NSRGY","ORCL","PCP","PG","PSX","RSG","SNY","SU","T","TT","UAL","UNP","UPS","USB","V","VRSN","VZ","WFC","WMT","WSC","XOM"
2006-10-01,0,0,0.85,0,0,17.43,0,0,3.39,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0.55,2.44,0,0,0,0,0,0,0,0,3.08,0,0,0,18.28,0,0,0,6.28,0,0,1.55,0.75,0,0,0,0,0,0,0,12.18,0,0,0,0,0,0.96,0,0,0,1.6,0,0,0,13.75,1.74,4.97,0
2006-11-01,0,0,0.85,0,0,17.43,0,0,3.39,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0.55,2.44,0,0,0,0,0,0,0,0,3.08,0,0,0,18.28,0,0,0,6.28,0,0,1.55,0.75,0,0,0,0,0,0,0,12.18,0,0,0,0,0,0.96,0,0,0,1.6,0,0,0,13.75,1.74,4.97,0
2006-12-01,0,0,0.85,0,0,17.43,0,0,3.39,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0.55,2.44,0,0,0,0,0,0,0,0,3.08,0,0,0,18.28,0,0,0,6.28,0,0,1.55,0.75,0,0,0,0,0,0,0,12.18,0,0,0,0,0,0.96,0,0,0,1.6,0,0,0,13.75,1.74,4.97,0
2007-01-01,0,0,0,0,0,14.87,0,0,3.12,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,5.1,0,0,0,16.69,0,0,0,5.18,0,0,1.35,0.74,0,0,0,0.56,0,0,0,10.98,0,0,0,0,0,1.02,0,1.86,0,1.42,0,0,0,13.91,1.63,4.56,0
2007-02-01,0,0,0,0,0,14.87,0,0,3.12,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,5.1,0,0,0,16.69,0,0,0,5.18,0,0,1.35,0.74,0,0,0,0.56,0,0,0,10.98,0,0,0,0,0,1.02,0,1.86,0,1.42,0,0,0,13.91,1.63,4.56,0
2007-03-01,0,0,0,0,0,14.87,0,0,3.12,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,5.1,0,0,0,16.69,0,0,0,5.18,0,0,1.35,0.74,0,0,0,0.56,0,0,0,10.98,0,0,0,0,0,1.02,0,1.86,0,1.42,0,0,0,13.91,1.63,4.56,0
2007-04-01,0,0,0,0,0.54,14.93,0.68,0,2.99,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,5.27,0,0,0,16.84,0,0,0,4.81,0,0,1.15,0.75,0,0,0,0,0,0,0,10.37,0,0,0,0,0,1.05,0,1.37,0,1.97,0,0,0,14.59,1.54,3.53,0
2007-05-01,0,0,0,0,0.54,14.93,0.68,0,2.99,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,5.27,0,0,0,16.84,0,0,0,4.81,0,0,1.15,0.75,0,0,0,0,0,0,0,10.37,0,0,0,0,0,1.05,0,1.37,0,1.97,0,0,0,14.59,1.54,3.53,0
2007-06-01,0,0,0,0,0.54,14.93,0.68,0,2.99,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,5.27,0,0,0,16.84,0,0,0,4.81,0,0,1.15,0.75,0,0,0,0,0,0,0,10.37,0,0,0,0,0,1.05,0,1.37,0,1.97,0,0,0,14.59,1.54,3.53,0
2007-07-01,0,0,0,0,0,13.68,0.7,0,2.7,0,0,0,2.34,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,6.15,0,0,0,17.47,0,0,0,3.68,0,0,1.05,0.68,0,0,0,0,0,0,0,11.31,0,0,0,0,0,0.59,0,0.77,0,3.24,0,0,0,15.14,1.32,3.45,0
