"Date","AA","AAPL","ADBE","ADP","AEP","AET","AKAM","ALD","ALL","AMD","AMGN","AMZN","AXP","BA","BAC","BBY","BDX","BIIB","BK","BMY","BUD","C","CAT","CL","CMG","CMP","CPB","CSCO","CVS","DD","DHI","DIS","EBAY","EMC","EMR","EPD","FB","FDX","GE","GIS","GLW","GPS","GR","GS","HD","HNZ","HOT","HPQ","HST","HSY","IBM","INTC","IR","JNJ","JPM","JWN","K","KHC","LH","LLY","LRCX","MCD","MDLZ","MDT","MKC","MRK","MSFT","NKE","NSC","NUE","ORCL","PANL","PETM","PFE","PG","QCOM","RIG","ROK","RTN","SBUX","SJM","SO","SPG","SRCL","SYY","T","TGT","TIF","TXN","VZ","WFC","WMT","WU","XOM","YUM"
2006-10-01,0,0,0,0,5.05,4.88,0,4.8,0,0,0,0,0,5.02,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,4.94,0,0,5.07,0,0,0,4.91,4.83,0,0,0,5.15,0,5.22,0,0,5.35,5.27,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,5.05,0,0,0,5.22,0
2006-11-01,0,0,0,0,5.05,4.88,0,4.8,0,0,0,0,0,5.02,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,4.94,0,0,5.07,0,0,0,4.91,4.83,0,0,0,5.15,0,5.22,0,0,5.35,5.27,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,5.05,0,0,0,5.22,0
2006-12-01,0,0,0,0,5.05,4.88,0,4.8,0,0,0,0,0,5.02,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,4.94,0,0,5.07,0,0,0,4.91,4.83,0,0,0,5.15,0,5.22,0,0,5.35,5.27,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,5.05,0,0,0,5.22,0
2007-01-01,0,0,0,0,0,4.97,0,4.9,0,0,0,0,0,4.59,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,4.94,0,0,5.14,0,0,0,4.99,5.08,0,0,0,5.31,5.12,4.93,0,0,5.18,4.89,0,0,0,0,0,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,5.09,0,0,0,4.67,0
2007-02-01,0,0,0,0,0,4.97,0,4.9,0,0,0,0,0,4.59,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,4.94,0,0,5.14,0,0,0,4.99,5.08,0,0,0,5.31,5.12,4.93,0,0,5.18,4.89,0,0,0,0,0,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,5.09,0,0,0,4.67,0
2007-03-01,0,0,0,0,0,4.97,0,4.9,0,0,0,0,0,4.59,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,4.94,0,0,5.14,0,0,0,4.99,5.08,0,0,0,5.31,5.12,4.93,0,0,5.18,4.89,0,0,0,0,0,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,5.09,0,0,0,4.67,0
2007-04-01,0,0,0,0,0,5.11,0,5.03,0,0,0,0,0,5.03,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,4.18,0,0,5.88,0,0,0,5.04,5.38,0,0,0,5.29,4.98,4.94,0,0,5.13,4.23,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,5.44,0,0,0,5.26,0
2007-05-01,0,0,0,0,0,5.11,0,5.03,0,0,0,0,0,5.03,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,4.18,0,0,5.88,0,0,0,5.04,5.38,0,0,0,5.29,4.98,4.94,0,0,5.13,4.23,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,5.44,0,0,0,5.26,0
2007-06-01,0,0,0,0,0,5.11,0,5.03,0,0,0,0,0,5.03,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,4.18,0,0,5.88,0,0,0,5.04,5.38,0,0,0,5.29,4.98,4.94,0,0,5.13,4.23,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,5.44,0,0,0,5.26,0
2007-07-01,0,0,0,0,0,5.25,4.94,4.46,0,0,0,0,0,5.13,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,4.82,0,0,0,0,0,0,4.45,5.44,0,0,0,5.67,4.66,4.88,0,0,5.35,4.98,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5.47,0,0,0,5.42,0
