"Date","AABA","ADBE","ADSK","AMZN","ANTM","AXP","AY","BIDU","CHTR","CMCSA","CNI","CP","EFX","FOX","FOXA","FWONK","GOOG","GOOGL","MA","MCO","MON","MSFT","NOC","NSC","PCG","RTN","SPGI","TDG","TWX","UNP","UNVR","V"
2015-10-01,0,0,0,0,0,3.81,1.71,4.41,0,22.81,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,0,0,0,0,0,3.81,1.71,4.41,0,22.81,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,0,0,0,0,0,3.81,1.71,4.41,0,22.81,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,1.46,4.22,0,22.62,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,0,0,0,0,0,0,1.46,4.22,0,22.62,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,0,0,0,0,0,0,1.46,4.22,0,22.62,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,0,0,0,0,0,0,1.12,0,36.08,25.82,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,0,0,0,0,0,0,1.12,0,36.08,25.82,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,0,0,0,0,0,0,1.12,0,36.08,25.82,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,0,0,0,0,0,0,0.39,0,36.07,21.54,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,0,0,0,0,0,0,0.39,0,36.07,21.54,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,0,0,0,0,0,0,0.39,0,36.07,21.54,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,0,0,0,0,0,0,0,0,38.42,26,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,0,0,0,0,0,0,0,0,38.42,26,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,0,0,0,0,0,0,0,0,38.42,26,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,0,0,0,0,0,0,35.45,29.17,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0.2,0,0.04,0,0,0
2017-02-01,0,0,0,0,0,0,0,0,35.45,29.17,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0.2,0,0.04,0,0,0
2017-03-01,0,0,0,0,0,0,0,0,35.45,29.17,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0.2,0,0.04,0,0,0
2017-04-01,35.26,0,0,0,0,0,0,0,35.14,26.84,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0.26,0,0,0.54,0,0.15,0.16,0,0
2017-05-01,35.26,0,0,0,0,0,0,0,35.14,26.84,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0.26,0,0,0.54,0,0.15,0.16,0,0
2017-06-01,35.26,0,0,0,0,0,0,0,35.14,26.84,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0.26,0,0,0.54,0,0.15,0.16,0,0
2017-07-01,39.37,0,0,0,0,0,0,0,29.52,24.48,0,0,0.04,0,0,0,3.23,0,0,1.6,0,0,0,0.47,0,0,0.45,0,0.14,0.46,0,0
2017-08-01,39.37,0,0,0,0,0,0,0,29.52,24.48,0,0,0.04,0,0,0,3.23,0,0,1.6,0,0,0,0.47,0,0,0.45,0,0.14,0.46,0,0
2017-09-01,39.37,0,0,0,0,0,0,0,29.52,24.48,0,0,0.04,0,0,0,3.23,0,0,1.6,0,0,0,0.47,0,0,0.45,0,0.14,0.46,0,0
