"Date","AABA","ABG","AET","AGN","AIG","AIZ","AKBA","BEN","BMC","BMY","BNED","CARS","CCO","COV","CWH","DELL","EGL","ENT","ESRX","ETP","FB","GOOGL","GPI","INXN","JCP","KERX","KMI","LAD","LAMR","MANT","MGI","MSFT","MTW","NAVI","NXY","OI","OPB","ORLY","OXSQ","PACD","PCG","QCP","RYAM","RYN","SCU","SHPG","SLGN","SLM","SPH","TDG","TEVA","TMDX","TWX","UHAL","VEON","WBT","WEN","WFC","WLTW","WU"
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,4.69,0,0,0,0,4.91,0,0,0,0,0,0,19.52,1.82,0,0,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0,2.88,23.59,0,0,8.76,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,4.69,0,0,0,0,4.91,0,0,0,0,0,0,19.52,1.82,0,0,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0,2.88,23.59,0,0,8.76,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,4.69,0,0,0,0,4.91,0,0,0,0,0,0,19.52,1.82,0,0,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0,2.88,23.59,0,0,8.76,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,6.57,0,0,0,0,0,0,2.44,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,6.01,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.96,0,0,9.88,0,0,0,0,0,0,0,0,21.92
2013-02-01,0,0,0,0,0,6.57,0,0,0,0,0,0,2.44,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,6.01,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.96,0,0,9.88,0,0,0,0,0,0,0,0,21.92
2013-03-01,0,0,0,0,0,6.57,0,0,0,0,0,0,2.44,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,6.01,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.96,0,0,9.88,0,0,0,0,0,0,0,0,21.92
2013-04-01,0,0,0,0,12.29,4.43,0,0,3.22,0,0,0,1.45,0,0,11.58,4.39,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,0,0,5.82,0,0,0,0,0,0,0,0,17.22
2013-05-01,0,0,0,0,12.29,4.43,0,0,3.22,0,0,0,1.45,0,0,11.58,4.39,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,0,0,5.82,0,0,0,0,0,0,0,0,17.22
2013-06-01,0,0,0,0,12.29,4.43,0,0,3.22,0,0,0,1.45,0,0,11.58,4.39,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,0,0,5.82,0,0,0,0,0,0,0,0,17.22
2013-07-01,0,0,0,0,18.11,0,0,0,0,0,0,0,2.16,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,0,0,0,0,0,0,0,0,25.42
