"Date","AER","ATSG","BAC","BIP","BRK","BRP","C","CHK","CRESY","CRYP","CSE","EAF","FCAU","FFH","GM","GOOG","GS","IBKR","ICO","JEF","LUV","MU","PKX","RACE","SHLDQ","SRG","TECK","TEX","TX","WFC"
2008-10-01,0,0.7,0,0,1.7,0,0,0,4.13,0.24,0,0,0,13.03,0,0,6.71,0,0,11,0,0,0,0,11.73,0,3.45,0,10.93,0
2008-11-01,0,0.7,0,0,1.7,0,0,0,4.13,0.24,0,0,0,13.03,0,0,6.71,0,0,11,0,0,0,0,11.73,0,3.45,0,10.93,0
2008-12-01,0,0.7,0,0,1.7,0,0,0,4.13,0.24,0,0,0,13.03,0,0,6.71,0,0,11,0,0,0,0,11.73,0,3.45,0,10.93,0
2009-01-01,0,3.02,0,0,12.28,0,0,0,7.69,0,0,0,0,8.82,0,0,8.65,0,0,8.54,0,0,0,0,2.32,0,4.12,0,8.99,3.89
2009-02-01,0,3.02,0,0,12.28,0,0,0,7.69,0,0,0,0,8.82,0,0,8.65,0,0,8.54,0,0,0,0,2.32,0,4.12,0,8.99,3.89
2009-03-01,0,3.02,0,0,12.28,0,0,0,7.69,0,0,0,0,8.82,0,0,8.65,0,0,8.54,0,0,0,0,2.32,0,4.12,0,8.99,3.89
2009-04-01,0,5.41,0,0,0,0,0,0,6.52,0,0,0,0,7.32,0,0,6.97,0,0,7.14,0,0,0,0,0,0,7.96,2.16,13.13,3.83
2009-05-01,0,5.41,0,0,0,0,0,0,6.52,0,0,0,0,7.32,0,0,6.97,0,0,7.14,0,0,0,0,0,0,7.96,2.16,13.13,3.83
2009-06-01,0,5.41,0,0,0,0,0,0,6.52,0,0,0,0,7.32,0,0,6.97,0,0,7.14,0,0,0,0,0,0,7.96,2.16,13.13,3.83
2009-07-01,0,5.78,0,0,0,0,0,0,6.52,0,0,0,0,7.9,0,0,6.33,0.58,0,6.06,0,0,0,0,0,0,8.59,3.41,9.28,3.27
2009-08-01,0,5.78,0,0,0,0,0,0,6.52,0,0,0,0,7.9,0,0,6.33,0.58,0,6.06,0,0,0,0,0,0,8.59,3.41,9.28,3.27
2009-09-01,0,5.78,0,0,0,0,0,0,6.52,0,0,0,0,7.9,0,0,6.33,0.58,0,6.06,0,0,0,0,0,0,8.59,3.41,9.28,3.27
2009-10-01,0,4.44,0,0,0,0,0,0,7.73,0,3.49,0,0,8.82,0,0,5.84,0.52,0,5.87,0,0,0,0,0,0,10.98,3.28,0,3.15
2009-11-01,0,4.44,0,0,0,0,0,0,7.73,0,3.49,0,0,8.82,0,0,5.84,0.52,0,5.87,0,0,0,0,0,0,10.98,3.28,0,3.15
2009-12-01,0,4.44,0,0,0,0,0,0,7.73,0,3.49,0,0,8.82,0,0,5.84,0.52,0,5.87,0,0,0,0,0,0,10.98,3.28,0,3.15
2010-01-01,0,5.42,0,0,0,0,0,0,7.2,0,4.72,0,0,9.28,0,0,5.68,0.46,3.45,5.9,0,0,0,0,0,0,0.07,3.62,0,3.5
2010-02-01,0,5.42,0,0,0,0,0,0,7.2,0,4.72,0,0,9.28,0,0,5.68,0.46,3.45,5.9,0,0,0,0,0,0,0.07,3.62,0,3.5
2010-03-01,0,5.42,0,0,0,0,0,0,7.2,0,4.72,0,0,9.28,0,0,5.68,0.46,3.45,5.9,0,0,0,0,0,0,0.07,3.62,0,3.5
2010-04-01,0,7.54,0,0,0,0,0,0,7.85,0,5.04,0,0,13.54,0,0,5.46,0,3.6,5.5,0,0,0,0,0,0,0,3.74,0,3.61
2010-05-01,0,7.54,0,0,0,0,0,0,7.85,0,5.04,0,0,13.54,0,0,5.46,0,3.6,5.5,0,0,0,0,0,0,0,3.74,0,3.61
2010-06-01,0,7.54,0,0,0,0,0,0,7.85,0,5.04,0,0,13.54,0,0,5.46,0,3.6,5.5,0,0,0,0,0,0,0,3.74,0,3.61
2010-07-01,0,7.83,0,0,0,0,0,0,9.42,0,5.13,0,0,0,0,0,5.47,0,4.62,6.04,0,0,3.1,0,0,0,0.08,4.36,0,3.3
2010-08-01,0,7.83,0,0,0,0,0,0,9.42,0,5.13,0,0,0,0,0,5.47,0,4.62,6.04,0,0,3.1,0,0,0,0.08,4.36,0,3.3
2010-09-01,0,7.83,0,0,0,0,0,0,9.42,0,5.13,0,0,0,0,0,5.47,0,4.62,6.04,0,0,3.1,0,0,0,0.08,4.36,0,3.3
2010-10-01,0,5.15,0,11.39,0,0,0,0,7.96,0,6.1,0,0,0,0,0,5.7,0,5.88,0,0,0,7.02,0,0,0,0.1,5.04,0,3.52
2010-11-01,0,5.15,0,11.39,0,0,0,0,7.96,0,6.1,0,0,0,0,0,5.7,0,5.88,0,0,0,7.02,0,0,0,0.1,5.04,0,3.52
2010-12-01,0,5.15,0,11.39,0,0,0,0,7.96,0,6.1,0,0,0,0,0,5.7,0,5.88,0,0,0,7.02,0,0,0,0.1,5.04,0,3.52
2011-01-01,0,3.9,0,12.8,0,0,0,0,7.58,0,6.44,0,0,0,0,0,5.72,0,9.13,0,0,0,2.39,0,0,0,0,4.16,0,3.86
