"Date","ADP","BDX","CHKP","CL","CLX","EFX","EL","FB","IDXX","INTU","JNJ","MAR","MASI","MKC","MMM","MSFT","NKE","PEP","PM","PYPL","SABR","SBUX","SYK","V","VRSK","WAT"
2018-04-01,5.78,6.66,0,1.73,0,0,5.22,7.98,7.18,6.04,4.11,0.13,0,0,4.98,8.87,0,6.22,6.29,9.43,0,0,6.93,5.64,0,6.81
2018-05-01,5.78,6.66,0,1.73,0,0,5.22,7.98,7.18,6.04,4.11,0.13,0,0,4.98,8.87,0,6.22,6.29,9.43,0,0,6.93,5.64,0,6.81
2018-06-01,5.78,6.66,0,1.73,0,0,5.22,7.98,7.18,6.04,4.11,0.13,0,0,4.98,8.87,0,6.22,6.29,9.43,0,0,6.93,5.64,0,6.81
2018-07-01,5.87,6.55,0,2.27,0,0,5.73,6.57,7.41,6.24,4.25,0.14,0,0,4.93,9.26,0,6.13,6.79,8.96,0,0,6.58,5.75,0,6.56
2018-08-01,5.87,6.55,0,2.27,0,0,5.73,6.57,7.41,6.24,4.25,0.14,0,0,4.93,9.26,0,6.13,6.79,8.96,0,0,6.58,5.75,0,6.56
2018-09-01,5.87,6.55,0,2.27,0,0,5.73,6.57,7.41,6.24,4.25,0.14,0,0,4.93,9.26,0,6.13,6.79,8.96,0,0,6.58,5.75,0,6.56
2018-10-01,5.67,6.19,0.31,0.95,0,0.31,5.8,6.39,7.03,6.39,4.02,0,0.33,2.25,4.66,8.73,0,5.8,6.42,8.48,0,0,6.24,5.46,0,6.16
2018-11-01,5.67,6.19,0.31,0.95,0,0.31,5.8,6.39,7.03,6.39,4.02,0,0.33,2.25,4.66,8.73,0,5.8,6.42,8.48,0,0,6.24,5.46,0,6.16
2018-12-01,5.67,6.19,0.31,0.95,0,0.31,5.8,6.39,7.03,6.39,4.02,0,0.33,2.25,4.66,8.73,0,5.8,6.42,8.48,0,0,6.24,5.46,0,6.16
2019-01-01,5.44,5.35,0.38,0,0,0.39,6.24,6.03,5.68,6.66,3.65,0,0.39,4.45,4.18,8.14,0,5.76,6.69,9.05,0,0,6.27,5.14,0.39,7.19
2019-02-01,5.44,5.35,0.38,0,0,0.39,6.24,6.03,5.68,6.66,3.65,0,0.39,4.45,4.18,8.14,0,5.76,6.69,9.05,0,0,6.27,5.14,0.39,7.19
2019-03-01,5.44,5.35,0.38,0,0,0.39,6.24,6.03,5.68,6.66,3.65,0,0.39,4.45,4.18,8.14,0,5.76,6.69,9.05,0,0,6.27,5.14,0.39,7.19
2019-04-01,5.28,5.01,0,0,0,0.44,6.36,6.51,6.41,6.33,3.92,0,0.45,5.5,3.19,8.5,0,5.65,6.25,9.18,0.42,0,6.21,5.54,0.4,5.74
2019-05-01,5.28,5.01,0,0,0,0.44,6.36,6.51,6.41,6.33,3.92,0,0.45,5.5,3.19,8.5,0,5.65,6.25,9.18,0.42,0,6.21,5.54,0.4,5.74
2019-06-01,5.28,5.01,0,0,0,0.44,6.36,6.51,6.41,6.33,3.92,0,0.45,5.5,3.19,8.5,0,5.65,6.25,9.18,0.42,0,6.21,5.54,0.4,5.74
2019-07-01,5.35,4.94,0,0,0,0.45,6.88,5.9,6.33,6.34,3.94,0,0.44,5.83,0,8.66,0,5.81,6.57,8.16,0.42,0,6.57,5.67,0.43,5.85
2019-08-01,5.35,4.94,0,0,0,0.45,6.88,5.9,6.33,6.34,3.94,0,0.44,5.83,0,8.66,0,5.81,6.57,8.16,0.42,0,6.57,5.67,0.43,5.85
2019-09-01,5.35,4.94,0,0,0,0.45,6.88,5.9,6.33,6.34,3.94,0,0.44,5.83,0,8.66,0,5.81,6.57,8.16,0.42,0,6.57,5.67,0.43,5.85
2019-10-01,5.21,4.91,0,0,1.22,0.43,6.71,6.39,5.67,5.87,4.18,0,0.43,5.92,0,9.08,0,5.47,6.79,7.76,0,0,6.03,5.7,0.44,5.64
2019-11-01,5.21,4.91,0,0,1.22,0.43,6.71,6.39,5.67,5.87,4.18,0,0.43,5.92,0,9.08,0,5.47,6.79,7.76,0,0,6.03,5.7,0.44,5.64
2019-12-01,5.21,4.91,0,0,1.22,0.43,6.71,6.39,5.67,5.87,4.18,0,0.43,5.92,0,9.08,0,5.47,6.79,7.76,0,0,6.03,5.7,0.44,5.64
2020-01-01,4.83,4.93,0.49,0,1.55,0,6.04,6.04,5.79,5.77,3.97,0,0,5.66,0,10.63,1.08,5.4,6.99,6.69,0,0.98,5.56,5.53,0,4.87
2020-02-01,4.83,4.93,0.49,0,1.55,0,6.04,6.04,5.79,5.77,3.97,0,0,5.66,0,10.63,1.08,5.4,6.99,6.69,0,0.98,5.56,5.53,0,4.87
2020-03-01,4.83,4.93,0.49,0,1.55,0,6.04,6.04,5.79,5.77,3.97,0,0,5.66,0,10.63,1.08,5.4,6.99,6.69,0,0.98,5.56,5.53,0,4.87
