"Date","AA","AABA","ABT","ADI","AIG","AIZ","ALLY","ANTM","AON","APA","ARKAY","ARNC","ARRS","AVGO","AXP","BAC","BIDU","BUD","C","CABJF","CHKP","CHTR","CIT","CKSNF","CMCSA","CNQ","COV","CSCO","CVS","EBAY","ESRX","EXPE","FB","GBLBF","GE","GMALF","GOOG","GOOGL","HCMLF","HPQ","IPG","JEF","JNJ","KMI","LOW","MEGGF","MSFT","MYL","NPSNY","OI","ORCL","ORKLY","OXY","PETM","PFE","PHG","RNSDF","RTX","TEL","TMO","TOT","TRH","TSCDF","UN","VAL","VOD","WBA","WDC","WFC","WMT","WPP"
2010-01-01,0,0,3.54,0,0,2.59,0,3.16,6.03,3.72,2.19,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,7.1,0,0,2.26,0,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,5.04,3.08,2.31,0,0,0,0,4.34,2.85,0,0,10.02,5.3,0,0,0,2.45,0
2010-02-01,0,0,3.54,0,0,2.59,0,3.16,6.03,3.72,2.19,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,7.1,0,0,2.26,0,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,5.04,3.08,2.31,0,0,0,0,4.34,2.85,0,0,10.02,5.3,0,0,0,2.45,0
2010-03-01,0,0,3.54,0,0,2.59,0,3.16,6.03,3.72,2.19,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,7.1,0,0,2.26,0,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,5.04,3.08,2.31,0,0,0,0,4.34,2.85,0,0,10.02,5.3,0,0,0,2.45,0
2010-04-01,0,0,4.09,0,0,0,0,3.98,7.45,3.97,2.03,0,0,0,0,0,0,0,0,0,0,0,1.8,1.49,0,0,7.86,0,0,1.61,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,4.67,3.86,2.17,0,0,0,0,2.95,2.54,0,0,10.85,4.8,0,0,0,5.19,0
2010-05-01,0,0,4.09,0,0,0,0,3.98,7.45,3.97,2.03,0,0,0,0,0,0,0,0,0,0,0,1.8,1.49,0,0,7.86,0,0,1.61,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,4.67,3.86,2.17,0,0,0,0,2.95,2.54,0,0,10.85,4.8,0,0,0,5.19,0
2010-06-01,0,0,4.09,0,0,0,0,3.98,7.45,3.97,2.03,0,0,0,0,0,0,0,0,0,0,0,1.8,1.49,0,0,7.86,0,0,1.61,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,4.67,3.86,2.17,0,0,0,0,2.95,2.54,0,0,10.85,4.8,0,0,0,5.19,0
2010-07-01,0,0,3.03,0,0,0,0,3.05,7.38,3.33,1.97,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,2.23,0,0,0,0,0,0,1.99,0,0,0,2.37,0,0,0,0,0,6.01,3.67,3.54,0,0,0,0,0,2.26,1.84,0,0,8.53,4.26,0,2.37,0,4.32,0
2010-08-01,0,0,3.03,0,0,0,0,3.05,7.38,3.33,1.97,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,2.23,0,0,0,0,0,0,1.99,0,0,0,2.37,0,0,0,0,0,6.01,3.67,3.54,0,0,0,0,0,2.26,1.84,0,0,8.53,4.26,0,2.37,0,4.32,0
2010-09-01,0,0,3.03,0,0,0,0,3.05,7.38,3.33,1.97,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,2.23,0,0,0,0,0,0,1.99,0,0,0,2.37,0,0,0,0,0,6.01,3.67,3.54,0,0,0,0,0,2.26,1.84,0,0,8.53,4.26,0,2.37,0,4.32,0
2010-10-01,0,0,2.29,0,0,0,0,2.53,7.93,3.35,2.29,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,6.96,0,6.13,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,6.35,3.45,3.53,0,0,0,0,0,2.38,0,0,0,8.52,3.74,1.71,2.33,0,4.83,0
