"Date","ABT","ADP","AFL","AIG","AMAT","AMGN","ANTM","AXP","BAC","BAX","BDX","BMY","BP","BRK","BWP","C","CAH","CB","CBI","CHK","CL","CSCO","CTAS","DD","DHR","DIS","DOW","EMC","ETN","FFH","GCI","GD","GE","GM","GRA","GS","HAE","HPE","HPQ","IBM","INTC","ITW","JNJ","JPM","KBR","KHC","KMX","L","LAB","LLY","MDLZ","MDT","MKL","MMC","MMM","OC","ORLY","PG","RDS","RSG","SPGI","SWK","SYY","T","TGNA","TRB","TUP","UNH","VMW","WBA","WFC","WU"
2006-10-01,3.45,0,0,0,4.53,4.54,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,3.76,0,5.85,0,2.2,0,0,2.85,2.68,2.81,0,0,0,3.03,2.9,0,3.13,0,0,0,0,0,3.73,0,4.88,5.55,2.94,0,0,2.36,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0
2006-11-01,3.45,0,0,0,4.53,4.54,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,3.76,0,5.85,0,2.2,0,0,2.85,2.68,2.81,0,0,0,3.03,2.9,0,3.13,0,0,0,0,0,3.73,0,4.88,5.55,2.94,0,0,2.36,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0
2006-12-01,3.45,0,0,0,4.53,4.54,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,3.76,0,5.85,0,2.2,0,0,2.85,2.68,2.81,0,0,0,3.03,2.9,0,3.13,0,0,0,0,0,3.73,0,4.88,5.55,2.94,0,0,2.36,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0
2007-01-01,4.05,2.2,0,0,4.15,3.57,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,4.04,0,6.17,0,2.18,0,0,3.9,0,2.99,0,0,0,2.63,2.84,0,3.08,0,0,0,0,0,2.26,0,4.59,5.74,2.88,0,0,2.5,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0
2007-02-01,4.05,2.2,0,0,4.15,3.57,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,4.04,0,6.17,0,2.18,0,0,3.9,0,2.99,0,0,0,2.63,2.84,0,3.08,0,0,0,0,0,2.26,0,4.59,5.74,2.88,0,0,2.5,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0
2007-03-01,4.05,2.2,0,0,4.15,3.57,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,4.04,0,6.17,0,2.18,0,0,3.9,0,2.99,0,0,0,2.63,2.84,0,3.08,0,0,0,0,0,2.26,0,4.59,5.74,2.88,0,0,2.5,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0
2007-04-01,3.61,0,0,0,4.49,2.41,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,0,2.23,0,0,5.27,0,4.57,0,0,0,0,3.61,2.27,3.36,0,0,0,3.26,2.97,0,3.08,0,0,0,0,0,2.35,0,4.84,5.73,3.03,0,2.26,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,3.61,0,0,0,4.49,2.41,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,0,2.23,0,0,5.27,0,4.57,0,0,0,0,3.61,2.27,3.36,0,0,0,3.26,2.97,0,3.08,0,0,0,0,0,2.35,0,4.84,5.73,3.03,0,2.26,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,3.61,0,0,0,4.49,2.41,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,0,2.23,0,0,5.27,0,4.57,0,0,0,0,3.61,2.27,3.36,0,0,0,3.26,2.97,0,3.08,0,0,0,0,0,2.35,0,4.84,5.73,3.03,0,2.26,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,2.63,2.97,3.92,2.84,0,0,0,0,0,0,0,0,0,2.76,3.04,0,0,0,0,0,0,0,2.81,0,0,3.79,0,0,0,2.77,0,0,4.55,0,3.48,0,0,0,3.44,3.76,3.81,0,0,0,0,0,0,2.75,0,0,4.25,2.88,0,0,2.9,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,2.63,2.97,3.92,2.84,0,0,0,0,0,0,0,0,0,2.76,3.04,0,0,0,0,0,0,0,2.81,0,0,3.79,0,0,0,2.77,0,0,4.55,0,3.48,0,0,0,3.44,3.76,3.81,0,0,0,0,0,0,2.75,0,0,4.25,2.88,0,0,2.9,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,2.63,2.97,3.92,2.84,0,0,0,0,0,0,0,0,0,2.76,3.04,0,0,0,0,0,0,0,2.81,0,0,3.79,0,0,0,2.77,0,0,4.55,0,3.48,0,0,0,3.44,3.76,3.81,0,0,0,0,0,0,2.75,0,0,4.25,2.88,0,0,2.9,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,2.42,3,2.67,0,0,3.77,0,0,0,0,0,0,6.93,0,0,0,0,0,0,0,2.72,2.82,0,0,2.68,0,3.51,0,0,0,0,4.32,0,4.62,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,2.68,0,0,0,3.11,0,0,2.93,3.05,0,0,2.56,0,0,0,0,0,0,3.93,0,0,0,0
2007-11-01,0,2.42,3,2.67,0,0,3.77,0,0,0,0,0,0,6.93,0,0,0,0,0,0,0,2.72,2.82,0,0,2.68,0,3.51,0,0,0,0,4.32,0,4.62,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,2.68,0,0,0,3.11,0,0,2.93,3.05,0,0,2.56,0,0,0,0,0,0,3.93,0,0,0,0
2007-12-01,0,2.42,3,2.67,0,0,3.77,0,0,0,0,0,0,6.93,0,0,0,0,0,0,0,2.72,2.82,0,0,2.68,0,3.51,0,0,0,0,4.32,0,4.62,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,2.68,0,0,0,3.11,0,0,2.93,3.05,0,0,2.56,0,0,0,0,0,0,3.93,0,0,0,0
2008-01-01,0,3.23,0,0,2.85,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,3.39,3,0,0,3.65,0,3.06,0,0,0,2.82,4.42,0,2.92,0,0,0,0,3.55,0,0,4.32,0,0,0,2.96,0,0,0,3.9,0,2.81,2.95,0,0,3.09,4.08,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,3.23,0,0,2.85,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,3.39,3,0,0,3.65,0,3.06,0,0,0,2.82,4.42,0,2.92,0,0,0,0,3.55,0,0,4.32,0,0,0,2.96,0,0,0,3.9,0,2.81,2.95,0,0,3.09,4.08,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,3.23,0,0,2.85,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,3.39,3,0,0,3.65,0,3.06,0,0,0,2.82,4.42,0,2.92,0,0,0,0,3.55,0,0,4.32,0,0,0,2.96,0,0,0,3.9,0,2.81,2.95,0,0,3.09,4.08,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,3.09,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,2.7,0,0,3.52,0,3.04,0,0,0,0,3.09,0,2.91,0,0,0,0,3.55,0,2.61,4.15,0,0,0,0,2.72,2.92,0,3.47,0,0,3.11,2.76,0,0,3.43,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,3.09,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,2.7,0,0,3.52,0,3.04,0,0,0,0,3.09,0,2.91,0,0,0,0,3.55,0,2.61,4.15,0,0,0,0,2.72,2.92,0,3.47,0,0,3.11,2.76,0,0,3.43,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,3.09,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,2.7,0,0,3.52,0,3.04,0,0,0,0,3.09,0,2.91,0,0,0,0,3.55,0,2.61,4.15,0,0,0,0,2.72,2.92,0,3.47,0,0,3.11,2.76,0,0,3.43,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,3.14,3.78,0,0,0,0,3.05,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,3.69,3.51,0,0,4.15,0,2.96,0,0,0,0,0,0,0,0,0,0,0,3.7,0,2.92,3.91,0,0,0,0,2.75,2.71,0,3.8,0,0,4.22,3.25,0,3.37,3.6,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,3.14,3.78,0,0,0,0,3.05,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,3.69,3.51,0,0,4.15,0,2.96,0,0,0,0,0,0,0,0,0,0,0,3.7,0,2.92,3.91,0,0,0,0,2.75,2.71,0,3.8,0,0,4.22,3.25,0,3.37,3.6,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,3.14,3.78,0,0,0,0,3.05,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,3.69,3.51,0,0,4.15,0,2.96,0,0,0,0,0,0,0,0,0,0,0,3.7,0,2.92,3.91,0,0,0,0,2.75,2.71,0,3.8,0,0,4.22,3.25,0,3.37,3.6,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,3.31,4.25,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,4.06,0,0,4.39,0,3.71,0,0,0,0,0,0,0,0,0,0,0,3.81,0,3.3,4.33,0,0,0,0,0,3.47,0,3.76,0,0,4.62,3.91,0,4.07,3.85,0,0,3.15,0,0,3.08,0,0,0,3.96,0,0,0,0
2008-11-01,3.31,4.25,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,4.06,0,0,4.39,0,3.71,0,0,0,0,0,0,0,0,0,0,0,3.81,0,3.3,4.33,0,0,0,0,0,3.47,0,3.76,0,0,4.62,3.91,0,4.07,3.85,0,0,3.15,0,0,3.08,0,0,0,3.96,0,0,0,0
2008-12-01,3.31,4.25,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,4.06,0,0,4.39,0,3.71,0,0,0,0,0,0,0,0,0,0,0,3.81,0,3.3,4.33,0,0,0,0,0,3.47,0,3.76,0,0,4.62,3.91,0,4.07,3.85,0,0,3.15,0,0,3.08,0,0,0,3.96,0,0,0,0
2009-01-01,3.61,4.2,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,4.81,0,0,3.7,0,4.43,0,0,0,0,0,0,0,0,0,0,0,3.68,4.26,3.54,3.75,0,0,0,0,0,0,0,3.51,0,0,3.85,4.13,0,3.71,3.58,0,0,3.79,0,0,4.02,0,0,0,3.32,0,0,0,0
2009-02-01,3.61,4.2,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,4.81,0,0,3.7,0,4.43,0,0,0,0,0,0,0,0,0,0,0,3.68,4.26,3.54,3.75,0,0,0,0,0,0,0,3.51,0,0,3.85,4.13,0,3.71,3.58,0,0,3.79,0,0,4.02,0,0,0,3.32,0,0,0,0
2009-03-01,3.61,4.2,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,4.81,0,0,3.7,0,4.43,0,0,0,0,0,0,0,0,0,0,0,3.68,4.26,3.54,3.75,0,0,0,0,0,0,0,3.51,0,0,3.85,4.13,0,3.71,3.58,0,0,3.79,0,0,4.02,0,0,0,3.32,0,0,0,0
2009-04-01,3.19,3.79,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,3.42,0,0,3.61,0,3.8,0,0,0,0,0,0,0,0,0,0,0,3.56,3.73,3.84,3.63,0,0,0,0,3.93,0,0,3.57,0,0,3.43,3.92,0,0,3.48,0,0,3.33,0,0,3.55,0,0,0,3.55,0,0,0,0
2009-05-01,3.19,3.79,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,3.42,0,0,3.61,0,3.8,0,0,0,0,0,0,0,0,0,0,0,3.56,3.73,3.84,3.63,0,0,0,0,3.93,0,0,3.57,0,0,3.43,3.92,0,0,3.48,0,0,3.33,0,0,3.55,0,0,0,3.55,0,0,0,0
