"Date","AAPL","ABT","ACN","ADBE","ADP","AME","APH","BDX","CDW","CHRW","CL","CTSH","DHR","ECL","EFX","EMR","GE","GIS","GOOGL","INTU","JNJ","KO","MA","MDT","MMM","MSFT","NKE","OMC","ORCL","PAYX","PEP","PFE","PG","PX","RTX","SPGI","SYK","SYY","TJX","TROW","UNH","UPS","VAR","VFC","WAT","WFC"
2007-04-01,0,4.77,0,0,4.5,0,0,0,4.14,0,4.02,0,0,2.98,3.95,5.27,5.04,0,0,0,4.25,0,0,4.19,4.88,3.99,0,4.67,0,0,3.91,0,4.8,0,0,5.04,5.05,3,0,3.69,0,0,0,0,0,3.72
2007-05-01,0,4.77,0,0,4.5,0,0,0,4.14,0,4.02,0,0,2.98,3.95,5.27,5.04,0,0,0,4.25,0,0,4.19,4.88,3.99,0,4.67,0,0,3.91,0,4.8,0,0,5.04,5.05,3,0,3.69,0,0,0,0,0,3.72
2007-06-01,0,4.77,0,0,4.5,0,0,0,4.14,0,4.02,0,0,2.98,3.95,5.27,5.04,0,0,0,4.25,0,0,4.19,4.88,3.99,0,4.67,0,0,3.91,0,4.8,0,0,5.04,5.05,3,0,3.69,0,0,0,0,0,3.72
2007-07-01,0,4.58,0,0,4.31,0,0,0,3.22,0,4.14,0,0,0,3.76,5.57,5.42,0,0,0,4.32,0,0,4.33,5.25,3.89,0,4.7,0,3.21,4.05,0,5.14,0,0,3.76,5.21,3.15,0,3.83,0,0,0,0,0,3.92
2007-08-01,0,4.58,0,0,4.31,0,0,0,3.22,0,4.14,0,0,0,3.76,5.57,5.42,0,0,0,4.32,0,0,4.33,5.25,3.89,0,4.7,0,3.21,4.05,0,5.14,0,0,3.76,5.21,3.15,0,3.83,0,0,0,0,0,3.92
2007-09-01,0,4.58,0,0,4.31,0,0,0,3.22,0,4.14,0,0,0,3.76,5.57,5.42,0,0,0,4.32,0,0,4.33,5.25,3.89,0,4.7,0,3.21,4.05,0,5.14,0,0,3.76,5.21,3.15,0,3.83,0,0,0,0,0,3.92
2007-10-01,0,4.92,0,0,3.99,0,0,0,0,0,4.65,0,3.67,3.65,3.53,5.72,5.14,0,0,0,4.63,0,0,4.09,4.83,4.79,0,4.36,0,0,4.31,0,5.74,0,0,3.24,5.79,2.93,0,4.07,0,0,0,0,0,3.21
2007-11-01,0,4.92,0,0,3.99,0,0,0,0,0,4.65,0,3.67,3.65,3.53,5.72,5.14,0,0,0,4.63,0,0,4.09,4.83,4.79,0,4.36,0,0,4.31,0,5.74,0,0,3.24,5.79,2.93,0,4.07,0,0,0,0,0,3.21
2007-12-01,0,4.92,0,0,3.99,0,0,0,0,0,4.65,0,3.67,3.65,3.53,5.72,5.14,0,0,0,4.63,0,0,4.09,4.83,4.79,0,4.36,0,0,4.31,0,5.74,0,0,3.24,5.79,2.93,0,4.07,0,0,0,0,0,3.21
2008-01-01,0,5.2,0,0,3.09,0,0,0,0,0,3.85,0,3.51,2.51,3.69,5.34,5.65,0,0,0,4.96,0,0,4.34,5,4.21,0,4.47,0,0,4.52,0,5.89,0,0,0,5.37,3,0,3.35,0,0,0,0,2.88,3.42
2008-02-01,0,5.2,0,0,3.09,0,0,0,0,0,3.85,0,3.51,2.51,3.69,5.34,5.65,0,0,0,4.96,0,0,4.34,5,4.21,0,4.47,0,0,4.52,0,5.89,0,0,0,5.37,3,0,3.35,0,0,0,0,2.88,3.42
