"Date","AAL","ADNT","AIG","ALLY","AMZN","APA","BAC","BBY","BEN","BKNG","BMC","BMY","C","CBRE","CHK","CHTR","CMCSA","COF","CPN","CVE","CXO","DELL","DISCA","DISCK","DNB","EBAY","EOG","FB","FCAU","FDX","FNF","GE","GOOG","GOOGL","GPS","HD","HLT","HOG","HRB","INTC","JPM","KMT","MA","MAT","MCD","MDT","MGM","MON","MS","NFLX","NFX","ORCL","PHM","QRTEA","REGN","S","SGP","STZ","TEL","TRW","TWX","TXN","WM","WU","XRX","YUM"
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,3.67,2.99,0,4.4,0,0,0,0,0,0,0,0,0,2.87,0,0,0,6.12,4.18,4.57,0,0,2.11,6.26,0,0,0,0,0,0,0,3.41,4.47,0,0,0,0,0,0,5.75,0,15.79,3.32,4.8,8.66
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,3.67,2.99,0,4.4,0,0,0,0,0,0,0,0,0,2.87,0,0,0,6.12,4.18,4.57,0,0,2.11,6.26,0,0,0,0,0,0,0,3.41,4.47,0,0,0,0,0,0,5.75,0,15.79,3.32,4.8,8.66
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,3.67,2.99,0,4.4,0,0,0,0,0,0,0,0,0,2.87,0,0,0,6.12,4.18,4.57,0,0,2.11,6.26,0,0,0,0,0,0,0,3.41,4.47,0,0,0,0,0,0,5.75,0,15.79,3.32,4.8,8.66
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,3.52,3.69,0,4.37,0,0,0,0,0,0,0,0,0,1.4,0,0,0,5.97,4.09,4.75,0,0,0,6.59,0,0,0,0,0,0,0,3.06,5.12,0,3.38,0,0,0,0,5.4,0,14.53,3.37,4.65,8.82
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,3.52,3.69,0,4.37,0,0,0,0,0,0,0,0,0,1.4,0,0,0,5.97,4.09,4.75,0,0,0,6.59,0,0,0,0,0,0,0,3.06,5.12,0,3.38,0,0,0,0,5.4,0,14.53,3.37,4.65,8.82
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,3.52,3.69,0,4.37,0,0,0,0,0,0,0,0,0,1.4,0,0,0,5.97,4.09,4.75,0,0,0,6.59,0,0,0,0,0,0,0,3.06,5.12,0,3.38,0,0,0,0,5.4,0,14.53,3.37,4.65,8.82
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,4.16,4.26,0,3.66,0,0,0,0,0,0,0,0,0,0,3.37,0,0,6.38,4.28,3.82,0,0,0,6.18,0,0,0,0,0,0,0,2.88,4.62,0,3.55,0,0,0,0,5.25,0,14.75,3.08,3.98,8.24
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,4.16,4.26,0,3.66,0,0,0,0,0,0,0,0,0,0,3.37,0,0,6.38,4.28,3.82,0,0,0,6.18,0,0,0,0,0,0,0,2.88,4.62,0,3.55,0,0,0,0,5.25,0,14.75,3.08,3.98,8.24
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,4.16,4.26,0,3.66,0,0,0,0,0,0,0,0,0,0,3.37,0,0,6.38,4.28,3.82,0,0,0,6.18,0,0,0,0,0,0,0,2.88,4.62,0,3.55,0,0,0,0,5.25,0,14.75,3.08,3.98,8.24
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,3.67,5.89,0,2.72,0,0,0,0,0,0,0,0,0,0,2.87,0,0,6.49,4.38,3.92,0,0,0,7.13,0,0,0,0,0,0,0,3.03,4.34,0,3.66,0,0,0,0,4.86,0,13.7,3.44,4.12,8.48
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,3.67,5.89,0,2.72,0,0,0,0,0,0,0,0,0,0,2.87,0,0,6.49,4.38,3.92,0,0,0,7.13,0,0,0,0,0,0,0,3.03,4.34,0,3.66,0,0,0,0,4.86,0,13.7,3.44,4.12,8.48
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,3.67,5.89,0,2.72,0,0,0,0,0,0,0,0,0,0,2.87,0,0,6.49,4.38,3.92,0,0,0,7.13,0,0,0,0,0,0,0,3.03,4.34,0,3.66,0,0,0,0,4.86,0,13.7,3.44,4.12,8.48
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,3.65,0,0,0,0,4.83,6.58,0,2.6,0,0,0,0,0,0,0,0,0,0,2.86,0,0,7.08,5.21,5.02,0,0,0,4.77,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,5.22,0,7.99,5.26,5.17,8.83
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,3.65,0,0,0,0,4.83,6.58,0,2.6,0,0,0,0,0,0,0,0,0,0,2.86,0,0,7.08,5.21,5.02,0,0,0,4.77,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,5.22,0,7.99,5.26,5.17,8.83
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,3.65,0,0,0,0,4.83,6.58,0,2.6,0,0,0,0,0,0,0,0,0,0,2.86,0,0,7.08,5.21,5.02,0,0,0,4.77,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,5.22,0,7.99,5.26,5.17,8.83
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,4.5,4.32,0,0,0,4.67,6.63,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,9.18,4.92,4.75,0,0,0,4.22,0,0,0,4.13,0,0,0,0,5.21,0,0,0,0,0,0,4.73,0,6.56,4.76,4.27,9.25
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,4.5,4.32,0,0,0,4.67,6.63,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,9.18,4.92,4.75,0,0,0,4.22,0,0,0,4.13,0,0,0,0,5.21,0,0,0,0,0,0,4.73,0,6.56,4.76,4.27,9.25
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,4.5,4.32,0,0,0,4.67,6.63,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,9.18,4.92,4.75,0,0,0,4.22,0,0,0,4.13,0,0,0,0,5.21,0,0,0,0,0,0,4.73,0,6.56,4.76,4.27,9.25
2008-04-01,0,0,0,0,0,0,0,3.43,0,0,0,4.68,0,0,0,0,4.71,4.13,0,0,0,4.04,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,4.77,3.71,0,0,0,4.12,0,0,0,3.71,0,0,0,0,5.33,0,0,4.11,0,0,0,4.61,0,5.2,5.6,4.19,8.2
2008-05-01,0,0,0,0,0,0,0,3.43,0,0,0,4.68,0,0,0,0,4.71,4.13,0,0,0,4.04,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,4.77,3.71,0,0,0,4.12,0,0,0,3.71,0,0,0,0,5.33,0,0,4.11,0,0,0,4.61,0,5.2,5.6,4.19,8.2
2008-06-01,0,0,0,0,0,0,0,3.43,0,0,0,4.68,0,0,0,0,4.71,4.13,0,0,0,4.04,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,4.77,3.71,0,0,0,4.12,0,0,0,3.71,0,0,0,0,5.33,0,0,4.11,0,0,0,4.61,0,5.2,5.6,4.19,8.2
2008-07-01,0,0,0,0,0,0,0,4.3,0,0,0,5.13,0,0,0,0,4.65,6.08,0,0,0,3.45,3.17,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,4.72,5.54,0,0,0,5.13,0,0,0,3.63,0,0,0,0,4.97,0,0,4.38,0,0,0,4.63,0,0,5.12,4.04,8.24
2008-08-01,0,0,0,0,0,0,0,4.3,0,0,0,5.13,0,0,0,0,4.65,6.08,0,0,0,3.45,3.17,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,4.72,5.54,0,0,0,5.13,0,0,0,3.63,0,0,0,0,4.97,0,0,4.38,0,0,0,4.63,0,0,5.12,4.04,8.24
2008-09-01,0,0,0,0,0,0,0,4.3,0,0,0,5.13,0,0,0,0,4.65,6.08,0,0,0,3.45,3.17,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,4.72,5.54,0,0,0,5.13,0,0,0,3.63,0,0,0,0,4.97,0,0,4.38,0,0,0,4.63,0,0,5.12,4.04,8.24
2008-10-01,0,0,0,0,0,0,3.8,4.52,0,0,0,5.09,0,0,0,0,0,5.33,0,0,0,3.3,0,7.63,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,9.49,5.18,4.52,0,0,0,0,3.61,0,0,0,0,0,0,0,1.69,0,0,6.64,0,4.35,0,4.98,3.72,0,4.17,0,7.63
2008-11-01,0,0,0,0,0,0,3.8,4.52,0,0,0,5.09,0,0,0,0,0,5.33,0,0,0,3.3,0,7.63,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,9.49,5.18,4.52,0,0,0,0,3.61,0,0,0,0,0,0,0,1.69,0,0,6.64,0,4.35,0,4.98,3.72,0,4.17,0,7.63
2008-12-01,0,0,0,0,0,0,3.8,4.52,0,0,0,5.09,0,0,0,0,0,5.33,0,0,0,3.3,0,7.63,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,9.49,5.18,4.52,0,0,0,0,3.61,0,0,0,0,0,0,0,1.69,0,0,6.64,0,4.35,0,4.98,3.72,0,4.17,0,7.63
2009-01-01,0,0,0,0,0,0,2.21,5.4,0,0,0,4.94,0,0,0,0,0,2.36,0,0,0,3.52,0,9.21,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,7.78,5.22,4.38,0,0,0,0,4.48,0,0,0,0,3.75,0,0,0,0,0,6.67,0,3.41,0,4.61,4.56,0,4.21,0,5.11
2009-02-01,0,0,0,0,0,0,2.21,5.4,0,0,0,4.94,0,0,0,0,0,2.36,0,0,0,3.52,0,9.21,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,7.78,5.22,4.38,0,0,0,0,4.48,0,0,0,0,3.75,0,0,0,0,0,6.67,0,3.41,0,4.61,4.56,0,4.21,0,5.11
2009-03-01,0,0,0,0,0,0,2.21,5.4,0,0,0,4.94,0,0,0,0,0,2.36,0,0,0,3.52,0,9.21,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,7.78,5.22,4.38,0,0,0,0,4.48,0,0,0,0,3.75,0,0,0,0,0,6.67,0,3.41,0,4.61,4.56,0,4.21,0,5.11
2009-04-01,0,0,0,0,0,0,3.43,3.64,0,0,0,4.53,0,0,0,0,0,3.14,0,0,0,4.08,0,10.35,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,5.91,4.6,3.97,0,0,0,0,4.81,0,0,0,0,3.98,0,0,0,0,0,5.44,0,4.11,0,4.82,4.83,0,4.06,0,4.27
2009-05-01,0,0,0,0,0,0,3.43,3.64,0,0,0,4.53,0,0,0,0,0,3.14,0,0,0,4.08,0,10.35,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,5.91,4.6,3.97,0,0,0,0,4.81,0,0,0,0,3.98,0,0,0,0,0,5.44,0,4.11,0,4.82,4.83,0,4.06,0,4.27
2009-06-01,0,0,0,0,0,0,3.43,3.64,0,0,0,4.53,0,0,0,0,0,3.14,0,0,0,4.08,0,10.35,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,5.91,4.6,3.97,0,0,0,0,4.81,0,0,0,0,3.98,0,0,0,0,0,5.44,0,4.11,0,4.82,4.83,0,4.06,0,4.27
2009-07-01,0,0,0,0,0,0,4.02,4.09,0,0,0,4.49,0,0,0,0,0,4.18,0,0,0,4.15,0,11.38,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,5.68,4.79,4.45,0,0,0,0,4.46,0,0,0,0,4.34,0,0,4.58,0,0,5.18,0,4.4,0,4.48,4.11,0,0,0,3.63
2009-08-01,0,0,0,0,0,0,4.02,4.09,0,0,0,4.49,0,0,0,0,0,4.18,0,0,0,4.15,0,11.38,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,5.68,4.79,4.45,0,0,0,0,4.46,0,0,0,0,4.34,0,0,4.58,0,0,5.18,0,4.4,0,4.48,4.11,0,0,0,3.63
2009-09-01,0,0,0,0,0,0,4.02,4.09,0,0,0,4.49,0,0,0,0,0,4.18,0,0,0,4.15,0,11.38,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,5.68,4.79,4.45,0,0,0,0,4.46,0,0,0,0,4.34,0,0,4.58,0,0,5.18,0,4.4,0,4.48,4.11,0,0,0,3.63
2009-10-01,0,0,0,0,0,0,4.8,4.12,0,0,0,4.84,0,0,0,0,4.09,3.77,0,3.56,0,3.58,0,10.63,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,6.41,4.58,3.88,0,0,0,0,4.89,0,0,0,0,4.5,0,0,4.39,0,0,0,0,4.44,0,4.16,4.14,0,3.74,0,0
2009-11-01,0,0,0,0,0,0,4.8,4.12,0,0,0,4.84,0,0,0,0,4.09,3.77,0,3.56,0,3.58,0,10.63,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,6.41,4.58,3.88,0,0,0,0,4.89,0,0,0,0,4.5,0,0,4.39,0,0,0,0,4.44,0,4.16,4.14,0,3.74,0,0
2009-12-01,0,0,0,0,0,0,4.8,4.12,0,0,0,4.84,0,0,0,0,4.09,3.77,0,3.56,0,3.58,0,10.63,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,6.41,4.58,3.88,0,0,0,0,4.89,0,0,0,0,4.5,0,0,4.39,0,0,0,0,4.44,0,4.16,4.14,0,3.74,0,0
2010-01-01,0,0,0,0,0,0,4.57,4.48,0,0,0,4.75,0,0,0,0,4.27,4.12,0,4.25,0,0,0,10.58,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,4.68,4.64,3.87,0,0,0,0,4.65,0,0,0,0,4.52,0,0,5.76,0,0,0,0,4.62,0,4.15,3.92,0,3.62,0,3.51
2010-02-01,0,0,0,0,0,0,4.57,4.48,0,0,0,4.75,0,0,0,0,4.27,4.12,0,4.25,0,0,0,10.58,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,4.68,4.64,3.87,0,0,0,0,4.65,0,0,0,0,4.52,0,0,5.76,0,0,0,0,4.62,0,4.15,3.92,0,3.62,0,3.51
2010-03-01,0,0,0,0,0,0,4.57,4.48,0,0,0,4.75,0,0,0,0,4.27,4.12,0,4.25,0,0,0,10.58,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,4.68,4.64,3.87,0,0,0,0,4.65,0,0,0,0,4.52,0,0,5.76,0,0,0,0,4.62,0,4.15,3.92,0,3.62,0,3.51
2010-04-01,0,0,0,0,0,0,4.13,4.56,0,0,0,4.87,0,0,0,0,4.54,4.51,4.64,4.7,0,3.98,0,11.93,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,4.2,4.56,4.24,0,0,0,0,4.71,0,0,0,0,4.31,0,0,4.87,0,0,0,0,5.03,0,3.97,4.29,0,0,0,0
2010-05-01,0,0,0,0,0,0,4.13,4.56,0,0,0,4.87,0,0,0,0,4.54,4.51,4.64,4.7,0,3.98,0,11.93,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,4.2,4.56,4.24,0,0,0,0,4.71,0,0,0,0,4.31,0,0,4.87,0,0,0,0,5.03,0,3.97,4.29,0,0,0,0
2010-06-01,0,0,0,0,0,0,4.13,4.56,0,0,0,4.87,0,0,0,0,4.54,4.51,4.64,4.7,0,3.98,0,11.93,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,4.2,4.56,4.24,0,0,0,0,4.71,0,0,0,0,4.31,0,0,4.87,0,0,0,0,5.03,0,3.97,4.29,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,5.14,0,0,0,4.84,0,0,0,0,4.39,4.14,4.24,4.4,0,4,0,10.56,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,3.64,4.21,4.12,0,0,0,0,4.08,0,0,0,0,4.49,0,0,5.95,0,0,0,0,6.17,0,3.94,4.68,0,3.96,0,0
2010-08-01,0,0,0,0,0,0,0,5.14,0,0,0,4.84,0,0,0,0,4.39,4.14,4.24,4.4,0,4,0,10.56,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,3.64,4.21,4.12,0,0,0,0,4.08,0,0,0,0,4.49,0,0,5.95,0,0,0,0,6.17,0,3.94,4.68,0,3.96,0,0
2010-09-01,0,0,0,0,0,0,0,5.14,0,0,0,4.84,0,0,0,0,4.39,4.14,4.24,4.4,0,4,0,10.56,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,3.64,4.21,4.12,0,0,0,0,4.08,0,0,0,0,4.49,0,0,5.95,0,0,0,0,6.17,0,3.94,4.68,0,3.96,0,0
2010-10-01,0,0,0,0,0,0,3.43,4.27,0,0,0,4.52,0,0,0,0,5.14,4.26,4.35,4.59,0,4,0,9.15,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.39,0,0,0,0,4.31,0,0,0,0,5.03,0,0,6.41,0,0,0,0,7.15,0,3.95,5.36,0,3.98,0,0
2010-11-01,0,0,0,0,0,0,3.43,4.27,0,0,0,4.52,0,0,0,0,5.14,4.26,4.35,4.59,0,4,0,9.15,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.39,0,0,0,0,4.31,0,0,0,0,5.03,0,0,6.41,0,0,0,0,7.15,0,3.95,5.36,0,3.98,0,0
2010-12-01,0,0,0,0,0,0,3.43,4.27,0,0,0,4.52,0,0,0,0,5.14,4.26,4.35,4.59,0,4,0,9.15,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.39,0,0,0,0,4.31,0,0,0,0,5.03,0,0,6.41,0,0,0,0,7.15,0,3.95,5.36,0,3.98,0,0
