"Date","AAPL","ADI","ADM","ADP","AMZN","BAC","BAM","BLK","BRK","BUD","C","CFX","DE","DEO","DIS","FFH","FII","FNF","GD","GE","GOOG","GOOGL","HD","IGT","JNJ","KMX","LFG","MAR","MBI","MMC","MSFT","NVO","RLI","SPGI","SYY","TXN","UL","UNH","UPS","V","WBA","WMT","WPC","WTM","XL","XOM"
2006-10-01,0,0,0,0,0,0,2.77,0,10.82,4.13,4.03,0,0,5.37,0,7.68,0,0,0,5.28,0,0,2.21,2.15,0,7.67,0,1.76,2.48,2.05,0,0,1.88,1.75,0,0,0,0,0,0,0,1.83,0,4.45,2.23,0
2006-11-01,0,0,0,0,0,0,2.77,0,10.82,4.13,4.03,0,0,5.37,0,7.68,0,0,0,5.28,0,0,2.21,2.15,0,7.67,0,1.76,2.48,2.05,0,0,1.88,1.75,0,0,0,0,0,0,0,1.83,0,4.45,2.23,0
2006-12-01,0,0,0,0,0,0,2.77,0,10.82,4.13,4.03,0,0,5.37,0,7.68,0,0,0,5.28,0,0,2.21,2.15,0,7.67,0,1.76,2.48,2.05,0,0,1.88,1.75,0,0,0,0,0,0,0,1.83,0,4.45,2.23,0
2007-01-01,0,0,0,0,0,0,3.04,0,10.88,4.28,3.83,0,0,5.54,0,6.74,0,0,0,5.71,0,0,2.06,1.93,0,7.1,0,1.83,2.24,1.98,0,0,1.86,0,0,0,0,0,0,0,0,1.91,1.74,4.41,2.19,0
2007-02-01,0,0,0,0,0,0,3.04,0,10.88,4.28,3.83,0,0,5.54,0,6.74,0,0,0,5.71,0,0,2.06,1.93,0,7.1,0,1.83,2.24,1.98,0,0,1.86,0,0,0,0,0,0,0,0,1.91,1.74,4.41,2.19,0
2007-03-01,0,0,0,0,0,0,3.04,0,10.88,4.28,3.83,0,0,5.54,0,6.74,0,0,0,5.71,0,0,2.06,1.93,0,7.1,0,1.83,2.24,1.98,0,0,1.86,0,0,0,0,0,0,0,0,1.91,1.74,4.41,2.19,0
2007-04-01,0,0,0,0,0,0,3.35,0,10.68,4.25,3.77,0,0,5.48,0,3.46,0,0,0,6.82,0,0,2.12,2.01,0,7.09,0,1.86,2.05,2.03,0,0,1.82,0,0,0,0,0,2.19,0,0,1.94,0,4.54,2.52,0
2007-05-01,0,0,0,0,0,0,3.35,0,10.68,4.25,3.77,0,0,5.48,0,3.46,0,0,0,6.82,0,0,2.12,2.01,0,7.09,0,1.86,2.05,2.03,0,0,1.82,0,0,0,0,0,2.19,0,0,1.94,0,4.54,2.52,0
2007-06-01,0,0,0,0,0,0,3.35,0,10.68,4.25,3.77,0,0,5.48,0,3.46,0,0,0,6.82,0,0,2.12,2.01,0,7.09,0,1.86,2.05,2.03,0,0,1.82,0,0,0,0,0,2.19,0,0,1.94,0,4.54,2.52,0
2007-07-01,0,0,0,0,0,0,3.16,0,11.72,3.99,3.58,0,0,5.65,0,4.31,0,0,0,7.61,0,0,1.71,2.37,0,5.53,0,1.9,1.96,0,0,0,1.81,0,0,0,0,0,2.66,0,0,1.72,0,3.82,2.31,1.71
2007-08-01,0,0,0,0,0,0,3.16,0,11.72,3.99,3.58,0,0,5.65,0,4.31,0,0,0,7.61,0,0,1.71,2.37,0,5.53,0,1.9,1.96,0,0,0,1.81,0,0,0,0,0,2.66,0,0,1.72,0,3.82,2.31,1.71
2007-09-01,0,0,0,0,0,0,3.16,0,11.72,3.99,3.58,0,0,5.65,0,4.31,0,0,0,7.61,0,0,1.71,2.37,0,5.53,0,1.9,1.96,0,0,0,1.81,0,0,0,0,0,2.66,0,0,1.72,0,3.82,2.31,1.71
2007-10-01,0,0,0,0,0,0,2.98,0,14.16,4.22,2.3,0,0,5.57,0,4.67,0,0,1.79,6.97,0,0,0,2.53,1.83,5.48,0,1.89,0,1.72,0,0,1.83,0,0,0,0,0,2.56,0,0,1.96,0,3.66,0,1.75
2007-11-01,0,0,0,0,0,0,2.98,0,14.16,4.22,2.3,0,0,5.57,0,4.67,0,0,1.79,6.97,0,0,0,2.53,1.83,5.48,0,1.89,0,1.72,0,0,1.83,0,0,0,0,0,2.56,0,0,1.96,0,3.66,0,1.75
2007-12-01,0,0,0,0,0,0,2.98,0,14.16,4.22,2.3,0,0,5.57,0,4.67,0,0,1.79,6.97,0,0,0,2.53,1.83,5.48,0,1.89,0,1.72,0,0,1.83,0,0,0,0,0,2.56,0,0,1.96,0,3.66,0,1.75
2008-01-01,0,0,0,0,0,0,2.74,0,14.43,4.07,0,0,0,5.68,0,4.43,0,1.68,1.82,7.48,0,0,0,2.51,1.92,5.76,2.03,2.4,0,0,0,0,1.73,0,0,0,0,0,2.81,0,0,2.37,0,3.46,0,1.73
