"Date","AIG","AMGN","ANTM","APA","AXP","AZN","BAC","BHI","BK","BMY","C","CAH","CHTR","CI","CMCSA","COF","CSCO","CVX","DOW","EBAY","EMC","ESRX","FDX","FOXA","GE","GOOG","GS","GSK","HD","HPE","HPQ","JCI","JPM","LLY","MC","MCD","MCHP","MET","MRK","MSFT","NLOK","NVS","NWSA","OXY","PFE","RHHBY","RTX","S","SCHW","SLB","SNE","SNY","TRV","TWX","UNH","UNP","VOD","WB","WFC","WMT","XRX"
2006-10-01,0,0,0,0,0,0,0,0,0,0,2.08,2.47,0,0,4.04,0,0,2.81,2.09,0,0,0,2.02,0,0,0,0,0,0,0,3.89,0,0,0,2.19,2.57,0,0,0,0,0,0,3.1,0,2.91,0,0,0,0,0,2.67,2.74,1.93,2.98,0,2.2,0,2.55,0,2.88,1.7
2006-11-01,0,0,0,0,0,0,0,0,0,0,2.08,2.47,0,0,4.04,0,0,2.81,2.09,0,0,0,2.02,0,0,0,0,0,0,0,3.89,0,0,0,2.19,2.57,0,0,0,0,0,0,3.1,0,2.91,0,0,0,0,0,2.67,2.74,1.93,2.98,0,2.2,0,2.55,0,2.88,1.7
2006-12-01,0,0,0,0,0,0,0,0,0,0,2.08,2.47,0,0,4.04,0,0,2.81,2.09,0,0,0,2.02,0,0,0,0,0,0,0,3.89,0,0,0,2.19,2.57,0,0,0,0,0,0,3.1,0,2.91,0,0,0,0,0,2.67,2.74,1.93,2.98,0,2.2,0,2.55,0,2.88,1.7
2007-01-01,0,0,0,0,0,0,0,0,0,0,1.85,2.71,0,0,3.6,0,0,2.74,2.32,0,0,0,1.93,0,0,0,0,2.08,0,0,3.67,0,0,0,2.48,2.53,0,0,0,0,0,0,3.23,0,2.74,0,0,0,0,0,3.04,2.78,1.8,2.67,0,2.35,0,2.62,0,3.04,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,1.85,2.71,0,0,3.6,0,0,2.74,2.32,0,0,0,1.93,0,0,0,0,2.08,0,0,3.67,0,0,0,2.48,2.53,0,0,0,0,0,0,3.23,0,2.74,0,0,0,0,0,3.04,2.78,1.8,2.67,0,2.35,0,2.62,0,3.04,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,1.85,2.71,0,0,3.6,0,0,2.74,2.32,0,0,0,1.93,0,0,0,0,2.08,0,0,3.67,0,0,0,2.48,2.53,0,0,0,0,0,0,3.23,0,2.74,0,0,0,0,0,3.04,2.78,1.8,2.67,0,2.35,0,2.62,0,3.04,0
2007-04-01,0,0,2,0,0,0,0,0,0,0,0,2.43,0,0,3.63,1.84,0,2.75,2.1,0,0,0,1.87,0,0,0,0,2.25,0,0,3.71,0,0,0,2.25,2.44,0,0,0,0,0,0,2.76,0,2.59,0,0,0,0,0,2.82,2.44,0,2.63,0,2.13,0,2.31,0,2.9,0
2007-05-01,0,0,2,0,0,0,0,0,0,0,0,2.43,0,0,3.63,1.84,0,2.75,2.1,0,0,0,1.87,0,0,0,0,2.25,0,0,3.71,0,0,0,2.25,2.44,0,0,0,0,0,0,2.76,0,2.59,0,0,0,0,0,2.82,2.44,0,2.63,0,2.13,0,2.31,0,2.9,0
2007-06-01,0,0,2,0,0,0,0,0,0,0,0,2.43,0,0,3.63,1.84,0,2.75,2.1,0,0,0,1.87,0,0,0,0,2.25,0,0,3.71,0,0,0,2.25,2.44,0,0,0,0,0,0,2.76,0,2.59,0,0,0,0,0,2.82,2.44,0,2.63,0,2.13,0,2.31,0,2.9,0
2007-07-01,0,0,2.11,0,0,0,0,0,0,0,0,2.14,0,0,3.28,1.89,0,2.98,2.15,0,0,0,0,0,0,0,0,2.46,0,0,4.18,0,0,0,2.28,2.04,0,0,0,0,0,2.15,2.95,0,2.55,0,0,0,0,0,2.72,2.65,0,2.45,0,1.86,0,2.58,0,2.94,0
2007-08-01,0,0,2.11,0,0,0,0,0,0,0,0,2.14,0,0,3.28,1.89,0,2.98,2.15,0,0,0,0,0,0,0,0,2.46,0,0,4.18,0,0,0,2.28,2.04,0,0,0,0,0,2.15,2.95,0,2.55,0,0,0,0,0,2.72,2.65,0,2.45,0,1.86,0,2.58,0,2.94,0
2007-09-01,0,0,2.11,0,0,0,0,0,0,0,0,2.14,0,0,3.28,1.89,0,2.98,2.15,0,0,0,0,0,0,0,0,2.46,0,0,4.18,0,0,0,2.28,2.04,0,0,0,0,0,2.15,2.95,0,2.55,0,0,0,0,0,2.72,2.65,0,2.45,0,1.86,0,2.58,0,2.94,0
2007-10-01,1.85,0,2.56,0,0,0,0,0,0,0,0,2.16,0,0,4.05,0,0,2.85,2.14,0,0,0,0,0,0,0,0,2.54,0,0,4.47,0,0,0,2.98,0,0,0,0,0,0,2.57,3.04,1.79,2.58,0,0,0,0,0,3.05,3.1,1.81,2.68,0,0,0,3.31,0,3.49,0
2007-11-01,1.85,0,2.56,0,0,0,0,0,0,0,0,2.16,0,0,4.05,0,0,2.85,2.14,0,0,0,0,0,0,0,0,2.54,0,0,4.47,0,0,0,2.98,0,0,0,0,0,0,2.57,3.04,1.79,2.58,0,0,0,0,0,3.05,3.1,1.81,2.68,0,0,0,3.31,0,3.49,0
2007-12-01,1.85,0,2.56,0,0,0,0,0,0,0,0,2.16,0,0,4.05,0,0,2.85,2.14,0,0,0,0,0,0,0,0,2.54,0,0,4.47,0,0,0,2.98,0,0,0,0,0,0,2.57,3.04,1.79,2.58,0,0,0,0,0,3.05,3.1,1.81,2.68,0,0,0,3.31,0,3.49,0
2008-01-01,2.16,0,0,0,0,0,0,0,0,0,0,2.26,0,0,5.04,2.42,0,2.01,2.34,0,0,0,2.09,0,0,0,0,2.54,0,0,4.62,0,0,0,2.83,0,0,0,0,0,0,2.84,3.25,1.73,2.49,0,0,0,0,0,2.62,2.73,0,2.66,0,0,0,3.5,0,3.03,0
2008-02-01,2.16,0,0,0,0,0,0,0,0,0,0,2.26,0,0,5.04,2.42,0,2.01,2.34,0,0,0,2.09,0,0,0,0,2.54,0,0,4.62,0,0,0,2.83,0,0,0,0,0,0,2.84,3.25,1.73,2.49,0,0,0,0,0,2.62,2.73,0,2.66,0,0,0,3.5,0,3.03,0
2008-03-01,2.16,0,0,0,0,0,0,0,0,0,0,2.26,0,0,5.04,2.42,0,2.01,2.34,0,0,0,2.09,0,0,0,0,2.54,0,0,4.62,0,0,0,2.83,0,0,0,0,0,0,2.84,3.25,1.73,2.49,0,0,0,0,0,2.62,2.73,0,2.66,0,0,0,3.5,0,3.03,0
2008-04-01,2.6,1.96,2.25,0,0,0,0,0,0,0,0,2.26,0,0,4.61,1.93,0,2,2.12,0,0,0,0,0,0,0,0,2.74,0,0,4.58,0,0,0,2.28,0,0,0,0,0,0,3.15,2.69,0,2.03,0,0,0,0,0,2.81,2.74,0,2.9,0,0,0,3.22,0,2.87,0
2008-05-01,2.6,1.96,2.25,0,0,0,0,0,0,0,0,2.26,0,0,4.61,1.93,0,2,2.12,0,0,0,0,0,0,0,0,2.74,0,0,4.58,0,0,0,2.28,0,0,0,0,0,0,3.15,2.69,0,2.03,0,0,0,0,0,2.81,2.74,0,2.9,0,0,0,3.22,0,2.87,0
2008-06-01,2.6,1.96,2.25,0,0,0,0,0,0,0,0,2.26,0,0,4.61,1.93,0,2,2.12,0,0,0,0,0,0,0,0,2.74,0,0,4.58,0,0,0,2.28,0,0,0,0,0,0,3.15,2.69,0,2.03,0,0,0,0,0,2.81,2.74,0,2.9,0,0,0,3.22,0,2.87,0
2008-07-01,0,2.78,2.59,0,0,0,0,0,0,0,2.26,2.51,0,0,5.13,3.04,0,0,2.16,0,0,0,0,0,2.73,0,0,3.03,0,0,5.46,0,0,0,0,0,0,0,0,0,0,3.41,2.52,2.18,2.37,0,0,0,0,0,2.32,3.07,0,3.09,0,0,0,0,2.63,2.45,0
2008-08-01,0,2.78,2.59,0,0,0,0,0,0,0,2.26,2.51,0,0,5.13,3.04,0,0,2.16,0,0,0,0,0,2.73,0,0,3.03,0,0,5.46,0,0,0,0,0,0,0,0,0,0,3.41,2.52,2.18,2.37,0,0,0,0,0,2.32,3.07,0,3.09,0,0,0,0,2.63,2.45,0
2008-09-01,0,2.78,2.59,0,0,0,0,0,0,0,2.26,2.51,0,0,5.13,3.04,0,0,2.16,0,0,0,0,0,2.73,0,0,3.03,0,0,5.46,0,0,0,0,0,0,0,0,0,0,3.41,2.52,2.18,2.37,0,0,0,0,0,2.32,3.07,0,3.09,0,0,0,0,2.63,2.45,0
2008-10-01,0,3.43,3.08,0,0,0,0,0,0,0,0,2.35,0,0,5.22,2.62,0,0,0,0,0,0,2.31,0,2.67,0,0,3.37,0,0,5.04,0,0,0,0,0,0,0,0,0,0,4.32,2.74,2.61,2.35,0,0,0,0,2.75,2.17,3.65,0,3.32,2.47,0,0,0,2.28,2.37,0
2008-11-01,0,3.43,3.08,0,0,0,0,0,0,0,0,2.35,0,0,5.22,2.62,0,0,0,0,0,0,2.31,0,2.67,0,0,3.37,0,0,5.04,0,0,0,0,0,0,0,0,0,0,4.32,2.74,2.61,2.35,0,0,0,0,2.75,2.17,3.65,0,3.32,2.47,0,0,0,2.28,2.37,0
2008-12-01,0,3.43,3.08,0,0,0,0,0,0,0,0,2.35,0,0,5.22,2.62,0,0,0,0,0,0,2.31,0,2.67,0,0,3.37,0,0,5.04,0,0,0,0,0,0,0,0,0,0,4.32,2.74,2.61,2.35,0,0,0,0,2.75,2.17,3.65,0,3.32,2.47,0,0,0,2.28,2.37,0
2009-01-01,0,3.45,3.25,0,0,0,0,0,0,0,0,2.54,0,0,4.88,0,0,2.25,0,0,0,0,0,0,2.35,0,0,3.28,2.07,0,5.24,0,0,0,0,0,0,0,0,0,0,3.74,2.4,2.94,0,0,0,0,0,3.78,2.3,2.37,0,2.58,0,0,0,0,2.26,2.29,0
2009-02-01,0,3.45,3.25,0,0,0,0,0,0,0,0,2.54,0,0,4.88,0,0,2.25,0,0,0,0,0,0,2.35,0,0,3.28,2.07,0,5.24,0,0,0,0,0,0,0,0,0,0,3.74,2.4,2.94,0,0,0,0,0,3.78,2.3,2.37,0,2.58,0,0,0,0,2.26,2.29,0
