"Date","ABG","ACM","ADNT","ADT","AGCO","ALK","ARRS","ASH","ATI","AVT","AXL","AXTA","BDC","BHI","BW","CAG","CAH","CBT","CCK","COMM","CPRI","CR","CSC","CSX","CTB","CW","DAN","DBD","DRC","EMN","FLEX","FLS","FMC","FTI","GDI","GEO","GPI","GPK","GRA","GT","HAR","HII","HPE","HPQ","HSC","HUN","IGT","IM","IP","IPGP","ITT","KEX","KFY","KMT","KS","MAS","MGA","MHK","MOS","MRC","MTW","MU","MWA","NAV","NCR","NOMD","NOV","NSC","NWSA","OI","OIS","OSK","PAY","RHI","RL","ROC","RRD","SCS","SEE","SJM","SPR","SPXC","TAM","TECD","TEN","TEX","TGI","TIF","TKR","TSLA","TW","VC","WCC","WRK","ZTO"
2012-01-01,0,1.11,0,0,0,0,0,12.88,0,0,0,0,0,0,0,0,0,0,2.28,0,0,1.66,0,0,0,0,0,0,0,0,0,10.27,0,0,0,1.1,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,6.08,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,1.11,0,0,0,0,0,12.88,0,0,0,0,0,0,0,0,0,0,2.28,0,0,1.66,0,0,0,0,0,0,0,0,0,10.27,0,0,0,1.1,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,6.08,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,1.11,0,0,0,0,0,12.88,0,0,0,0,0,0,0,0,0,0,2.28,0,0,1.66,0,0,0,0,0,0,0,0,0,10.27,0,0,0,1.1,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,6.08,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,1.54,0,0,0,0,0,14.48,0,0,0,0,0,0,0,0,0,0,2.26,0,0,1.55,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0.8,0,0,0,0,0,1.69,0,0,14.52,1.69,0,0,0,0,11.14,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,1.54,0,0,0,0,0,14.48,0,0,0,0,0,0,0,0,0,0,2.26,0,0,1.55,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0.8,0,0,0,0,0,1.69,0,0,14.52,1.69,0,0,0,0,11.14,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,1.54,0,0,0,0,0,14.48,0,0,0,0,0,0,0,0,0,0,2.26,0,0,1.55,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0.8,0,0,0,0,0,1.69,0,0,14.52,1.69,0,0,0,0,11.14,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,11.79,0,0,0,0,0,0,0,0,0,0,2.09,0,0,1.57,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,1.52,0,0,0,0,14.66,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,11.79,0,0,0,0,0,0,0,0,0,0,2.09,0,0,1.57,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,1.52,0,0,0,0,14.66,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,11.79,0,0,0,0,0,0,0,0,0,0,2.09,0,0,1.57,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,1.52,0,0,0,0,14.66,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,1.84,0,0,1.16,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,7.44,0,0,0,0,19.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0
