"","V1"
"FLIR",-0.292134688613655
"MSI",0.0616393930441333
"ACN",-0.252612314907769
"CTAS",0.0558923669402075
"FISV",0.125445445983452
"EA",-0.00501400691338414
"ULTA",-0.0677920680690065
"NTES",0.00367388621003311
"EXPE",-0.101282820975756
"MA",-0.355830131427955
"V",0.531822088673517
"DLTR",0.174138680444821
"VRSN",0.0690151802717496
"BIDU",0.166534725353743
"UAL",0.0927743508578862
"ROST",0.00299617698590977
"XLNX",0.0980078800427297
"PEP",0.282489266752532
"TMUS",0.0414157988116308
"ORLY",0.0685669225093333
"AMZN",-0.0330517328833768
"WU",-0.222623074575047
"SIRI",0.0421924529866511
"ADI",0.143222211403654
"AKAM",0.0365126754162052
"NLOK",-0.0352645091411198
"CPRT",0.111849806304167
"ADBE",0.0994420135902527
"BKNG",0.157974024924462
