Date,WHR
1973-02-21,16.0
1973-02-22,15.8125
1973-02-23,15.25
1973-02-26,15.25
1973-02-27,14.875
1973-02-28,15.125
1973-03-01,15.1875
1973-03-02,15.1875
1973-03-05,15.25
1973-03-06,15.875
1973-03-07,16.1875
1973-03-08,16.3125
1973-03-09,16.1875
1973-03-12,16.3125
1973-03-13,16.6875
1973-03-14,17.0
1973-03-15,16.8125
1973-03-16,16.375
1973-03-19,15.625
1973-03-20,15.5
1973-03-21,15.25
1973-03-22,15.125
1973-03-23,15.0625
1973-03-26,15.1875
1973-03-27,16.125
1973-03-28,16.5
1973-03-29,16.3125
1973-03-30,15.8125
1973-04-02,15.4375
1973-04-03,15.0625
1973-04-04,15.0
1973-04-05,15.0
1973-04-06,15.0
1973-04-09,14.875
1973-04-10,15.25
1973-04-11,15.75
1973-04-12,16.125
1973-04-13,16.5625
1973-04-16,16.125
1973-04-17,16.5
1973-04-18,16.375
1973-04-19,16.5
1973-04-23,15.875
1973-04-24,15.75
1973-04-25,15.0
1973-04-26,14.8125
1973-04-27,14.25
1973-04-30,13.75
1973-05-01,13.0
1973-05-02,13.375
1973-05-03,13.5
1973-05-04,14.1875
1973-05-07,14.375
1973-05-08,14.125
1973-05-09,13.875
1973-05-10,13.75
1973-05-11,13.0
1973-05-14,12.5625
1973-05-15,12.8125
1973-05-16,13.125
1973-05-17,13.0625
1973-05-18,13.0
1973-05-21,12.75
1973-05-22,12.8125
1973-05-23,13.0
1973-05-24,13.8125
1973-05-25,13.875
1973-05-29,13.25
1973-05-30,13.1875
1973-05-31,13.25
1973-06-01,13.0
1973-06-04,12.5
1973-06-05,12.75
1973-06-06,12.125
1973-06-07,12.25
1973-06-08,12.625
1973-06-11,12.375
1973-06-12,12.875
1973-06-13,12.9375
1973-06-14,12.8125
1973-06-15,12.5
1973-06-18,11.875
1973-06-19,12.125
1973-06-20,12.5625
1973-06-21,12.75
1973-06-22,13.0625
1973-06-25,12.75
1973-06-26,13.25
1973-06-27,13.1875
1973-06-28,13.875
1973-06-29,13.875
1973-07-02,13.875
1973-07-03,13.375
1973-07-05,13.25
1973-07-06,12.9375
1973-07-09,13.5
1973-07-10,13.625
1973-07-11,14.1875
1973-07-12,14.25
1973-07-13,14.3125
1973-07-16,15.25
1973-07-17,15.625
1973-07-18,15.75
1973-07-19,15.625
1973-07-20,16.125
1973-07-23,15.625
1973-07-24,15.625
1973-07-25,16.125
1973-07-26,16.25
1973-07-27,15.5625
1973-07-30,15.75
1973-07-31,15.25
1973-08-01,14.875
1973-08-02,15.0
1973-08-03,15.625
1973-08-06,15.5
1973-08-07,15.5
1973-08-08,14.75
1973-08-09,15.375
1973-08-10,15.0625
1973-08-13,14.625
1973-08-14,14.625
1973-08-15,14.5
1973-08-16,14.5
1973-08-17,14.625
1973-08-20,14.125
1973-08-21,14.125
1973-08-22,14.125
1973-08-23,14.5
1973-08-24,14.75
1973-08-27,14.75
1973-08-28,14.8125
1973-08-29,15.0625
1973-08-30,14.875
1973-08-31,14.8125
1973-09-04,14.9375
1973-09-05,14.875
1973-09-06,15.125
1973-09-07,15.1875
1973-09-10,15.125
1973-09-11,15.4375
1973-09-12,15.625
1973-09-13,15.8125
1973-09-14,16.0
1973-09-17,16.1875
1973-09-18,15.875
1973-09-19,16.125
1973-09-20,16.4375
1973-09-21,17.0
1973-09-24,16.625
1973-09-25,16.875
1973-09-26,16.875
1973-09-27,16.75
1973-09-28,16.125
1973-10-01,16.25
1973-10-02,16.0
1973-10-03,15.75
1973-10-04,15.8125
1973-10-05,16.125
1973-10-08,16.125
1973-10-09,16.125
1973-10-10,16.0625
1973-10-11,16.125
1973-10-12,16.125
1973-10-15,16.0625
1973-10-16,16.125
1973-10-17,16.1875
1973-10-18,15.9375
1973-10-19,16.0
1973-10-22,16.125
1973-10-23,16.0
1973-10-24,16.0
1973-10-25,15.625
1973-10-26,15.6875
1973-10-29,15.0
1973-10-30,15.125
1973-10-31,15.0
1973-11-01,15.0
1973-11-02,15.125
1973-11-05,15.25
1973-11-06,14.875
1973-11-07,15.125
1973-11-08,15.0
1973-11-09,14.75
1973-11-12,14.875
1973-11-13,14.75
1973-11-14,14.75
1973-11-15,14.125
1973-11-16,14.0
1973-11-19,13.75
1973-11-20,13.3125
1973-11-21,13.5
1973-11-23,13.5
1973-11-26,12.75
1973-11-27,12.0625
1973-11-28,12.5
1973-11-29,12.625
1973-11-30,12.4375
1973-12-03,12.3125
1973-12-04,12.5
1973-12-05,12.5
1973-12-06,13.25
1973-12-07,13.0
1973-12-10,12.75
1973-12-11,12.375
1973-12-12,12.0
1973-12-13,12.125
1973-12-14,11.75
1973-12-17,12.125
1973-12-18,12.375
1973-12-19,12.625
1973-12-20,12.75
1973-12-21,12.625
1973-12-24,13.25
1973-12-26,13.0
1973-12-27,13.3125
1973-12-28,13.0
1973-12-31,12.5625
1974-01-02,12.875
1974-01-03,12.625
1974-01-04,12.75
1974-01-07,12.75
1974-01-08,12.125
