Date,PAYC
2014-04-15,15.35
2014-04-16,15.62
2014-04-17,16.25
2014-04-21,16.1
2014-04-22,15.98
2014-04-23,16.07
2014-04-24,15.75
2014-04-25,15.3
2014-04-28,14.97
2014-04-29,15.28
2014-04-30,15.41
2014-05-01,15.67
2014-05-02,15.8
2014-05-05,15.68
2014-05-06,15.31
2014-05-07,15.05
2014-05-08,15.18
2014-05-09,14.51
2014-05-12,14.09
2014-05-13,13.87
2014-05-14,14.07
2014-05-15,14.29
2014-05-16,13.81
2014-05-19,13.24
2014-05-20,14.0
2014-05-21,14.0
2014-05-22,15.38
2014-05-23,14.53
2014-05-27,14.03
2014-05-28,13.25
2014-05-29,13.48
2014-05-30,13.35
2014-06-02,13.54
2014-06-03,14.03
2014-06-04,14.3
2014-06-05,14.17
2014-06-06,14.45
2014-06-09,14.64
2014-06-10,14.43
2014-06-11,14.46
2014-06-12,13.97
2014-06-13,14.0
2014-06-16,14.44
2014-06-17,14.0
2014-06-18,14.17
2014-06-19,14.29
2014-06-20,14.12
2014-06-23,14.64
2014-06-24,14.7
2014-06-25,14.72
2014-06-26,14.72
2014-06-27,13.98
2014-06-30,14.59
2014-07-01,14.6
2014-07-02,14.25
2014-07-03,14.68
2014-07-07,14.02
2014-07-08,13.43
2014-07-09,13.42
2014-07-10,13.3
2014-07-11,13.03
2014-07-14,13.29
2014-07-15,12.97
2014-07-16,12.85
2014-07-17,12.41
2014-07-18,12.48
2014-07-21,12.78
2014-07-22,12.62
2014-07-23,12.84
2014-07-24,13.0
2014-07-25,13.0
2014-07-28,12.96
2014-07-29,12.88
2014-07-30,13.0
2014-07-31,12.78
2014-08-01,12.65
2014-08-04,12.69
2014-08-05,12.49
2014-08-06,13.83
2014-08-07,13.82
2014-08-08,13.58
2014-08-11,13.91
2014-08-12,13.89
2014-08-13,14.75
2014-08-14,15.26
2014-08-15,16.84
2014-08-18,16.450001
2014-08-19,16.190001000000002
2014-08-20,15.77
2014-08-21,16.540001
2014-08-22,17.450001
2014-08-25,17.25
2014-08-26,18.049999
2014-08-27,17.98
2014-08-28,17.879998999999998
2014-08-29,17.92
2014-09-02,18.08
2014-09-03,17.35
2014-09-04,16.65
2014-09-05,16.43
2014-09-08,16.389999
2014-09-09,16.110001
2014-09-10,16.360001
2014-09-11,16.700001
2014-09-12,17.74
2014-09-15,17.16
2014-09-16,17.889999
2014-09-17,17.73
2014-09-18,18.049999
2014-09-19,18.99
2014-09-22,18.280001000000002
2014-09-23,18.299999
2014-09-24,18.42
2014-09-25,16.99
2014-09-26,17.219998999999998
2014-09-29,16.91
2014-09-30,16.559998999999998
2014-10-01,16.1
2014-10-02,16.299999
2014-10-03,16.57
2014-10-06,16.15
2014-10-07,15.76
2014-10-08,15.68
2014-10-09,14.88
2014-10-10,14.88
2014-10-13,14.98
2014-10-14,15.04
2014-10-15,16.26
2014-10-16,16.76
2014-10-17,16.43
2014-10-20,16.34
2014-10-21,16.67
2014-10-22,16.48
2014-10-23,16.530001000000002
2014-10-24,16.51
2014-10-27,16.57
2014-10-28,16.91
2014-10-29,16.77
2014-10-30,17.43
2014-10-31,17.75
2014-11-03,17.68
2014-11-04,17.73
2014-11-05,21.15
2014-11-06,21.59
2014-11-07,21.42
2014-11-10,22.07
2014-11-11,22.5
2014-11-12,22.35
2014-11-13,22.6
2014-11-14,23.690001000000002
2014-11-17,24.85
