Date,PEAK
1985-05-23,4.838343
1985-05-24,4.838343
1985-05-28,4.923725
1985-05-29,4.980647
1985-05-30,4.980647
1985-05-31,4.952186
1985-06-03,5.1514120000000005
1985-06-04,5.1514120000000005
1985-06-05,5.1514120000000005
1985-06-06,5.236794000000001
1985-06-07,5.265255000000001
1985-06-10,5.236794000000001
1985-06-11,5.265255000000001
1985-06-12,5.236794000000001
1985-06-13,5.2083330000000005
1985-06-14,5.066029
1985-06-17,4.952186
1985-06-18,5.009108
1985-06-19,5.179873000000001
1985-06-20,5.1229510000000005
1985-06-21,5.2083330000000005
1985-06-24,5.1514120000000005
1985-06-25,5.1229510000000005
1985-06-26,5.1514120000000005
1985-06-27,5.1229510000000005
1985-06-28,5.066029
1985-07-01,5.1514120000000005
1985-07-02,5.1514120000000005
1985-07-03,5.1514120000000005
1985-07-05,5.179873000000001
1985-07-08,5.2083330000000005
1985-07-09,5.236794000000001
1985-07-10,5.1514120000000005
1985-07-11,5.179873000000001
1985-07-12,5.179873000000001
1985-07-15,5.236794000000001
1985-07-16,5.2083330000000005
1985-07-17,5.2083330000000005
1985-07-18,5.2083330000000005
1985-07-19,5.179873000000001
1985-07-22,5.179873000000001
1985-07-23,5.2083330000000005
1985-07-24,5.236794000000001
1985-07-25,5.179873000000001
1985-07-26,5.1514120000000005
1985-07-29,5.1229510000000005
1985-07-30,5.1229510000000005
1985-07-31,5.09449
1985-08-01,5.1514120000000005
1985-08-02,5.1514120000000005
1985-08-05,5.1229510000000005
1985-08-06,5.1229510000000005
1985-08-07,5.037568
1985-08-08,5.009108
1985-08-09,4.952186
1985-08-12,4.980647
1985-08-13,4.952186
1985-08-14,4.952186
1985-08-15,5.009108
1985-08-16,4.952186
1985-08-19,4.952186
1985-08-20,4.809882
1985-08-21,4.838343
1985-08-22,4.895264
1985-08-23,4.895264
1985-08-26,4.866803
1985-08-27,4.895264
1985-08-28,4.866803
1985-08-29,4.866803
1985-08-30,4.866803
1985-09-03,4.838343
1985-09-04,4.838343
1985-09-05,4.838343
1985-09-06,4.838343
1985-09-09,4.809882
1985-09-10,4.5537339999999995
1985-09-11,4.724499
1985-09-12,4.610656
1985-09-13,4.639117
1985-09-16,4.667577
1985-09-17,4.610656
1985-09-18,4.75296
1985-09-19,4.696038
1985-09-20,4.639117
1985-09-23,4.724499
1985-09-24,4.667577
1985-09-25,4.667577
1985-09-26,4.610656
1985-09-30,4.639117
1985-10-01,4.582195
1985-10-02,4.354508
1985-10-03,4.667577
1985-10-04,4.610656
1985-10-07,4.582195
1985-10-08,4.582195
1985-10-09,4.496812
1985-10-10,4.5537339999999995
1985-10-11,4.5537339999999995
1985-10-14,4.525273
1985-10-15,4.639117
1985-10-16,4.667577
1985-10-17,4.610656
1985-10-18,4.639117
1985-10-21,4.639117
1985-10-22,4.696038
1985-10-23,4.724499
1985-10-24,4.696038
1985-10-25,4.75296
1985-10-28,4.696038
1985-10-29,4.667577
1985-10-30,4.667577
1985-10-31,4.667577
1985-11-01,4.639117
1985-11-04,4.781421
