Date,MKC
1973-02-21,1.71875
1973-02-22,1.734375
1973-02-23,1.75
1973-02-26,1.71875
1973-02-27,1.703125
1973-02-28,1.671875
1973-03-01,1.6015629999999998
1973-03-02,1.5625
1973-03-05,1.5625
1973-03-06,1.609375
1973-03-07,1.625
1973-03-08,1.648438
1973-03-09,1.578125
1973-03-12,1.5625
1973-03-13,1.546875
1973-03-14,1.484375
1973-03-15,1.421875
1973-03-16,1.3125
1973-03-19,1.328125
1973-03-20,1.390625
1973-03-21,1.421875
1973-03-22,1.46875
1973-03-23,1.53125
1973-03-26,1.53125
1973-03-27,1.5625
1973-03-28,1.5625
1973-03-29,1.59375
1973-03-30,1.59375
1973-04-02,1.59375
1973-04-03,1.59375
1973-04-04,1.578125
1973-04-05,1.53125
1973-04-06,1.546875
1973-04-09,1.5390629999999998
1973-04-10,1.546875
1973-04-11,1.546875
1973-04-12,1.53125
1973-04-13,1.546875
1973-04-16,1.546875
1973-04-17,1.5546879999999998
1973-04-18,1.546875
1973-04-19,1.5390629999999998
1973-04-23,1.53125
1973-04-24,1.5
1973-04-25,1.46875
1973-04-26,1.46875
1973-04-27,1.46875
1973-04-30,1.46875
1973-05-01,1.453125
1973-05-02,1.4375
1973-05-03,1.359375
1973-05-04,1.359375
1973-05-07,1.359375
1973-05-08,1.3828129999999998
1973-05-09,1.390625
1973-05-10,1.390625
1973-05-11,1.390625
1973-05-14,1.3828129999999998
1973-05-15,1.359375
1973-05-16,1.34375
1973-05-17,1.34375
1973-05-18,1.3125
1973-05-21,1.21875
1973-05-22,1.25
1973-05-23,1.265625
1973-05-24,1.28125
1973-05-25,1.3125
1973-05-29,1.3125
1973-05-30,1.3125
1973-05-31,1.328125
1973-06-01,1.328125
1973-06-04,1.328125
1973-06-05,1.328125
1973-06-06,1.3125
1973-06-07,1.328125
1973-06-08,1.34375
1973-06-11,1.328125
1973-06-12,1.296875
1973-06-13,1.28125
1973-06-14,1.2734379999999998
1973-06-15,1.25
1973-06-18,1.203125
1973-06-19,1.15625
1973-06-20,1.140625
1973-06-21,1.15625
1973-06-22,1.203125
1973-06-25,1.21875
1973-06-26,1.21875
1973-06-27,1.234375
1973-06-28,1.21875
1973-06-29,1.203125
1973-07-02,1.21875
1973-07-03,1.203125
1973-07-05,1.203125
1973-07-06,1.203125
1973-07-09,1.203125
1973-07-10,1.203125
1973-07-11,1.2109379999999998
1973-07-12,1.265625
1973-07-13,1.28125
1973-07-16,1.28125
1973-07-17,1.265625
1973-07-18,1.25
1973-07-19,1.28125
1973-07-20,1.28125
1973-07-23,1.265625
1973-07-24,1.265625
1973-07-25,1.234375
1973-07-26,1.234375
1973-07-27,1.265625
1973-07-30,1.265625
1973-07-31,1.265625
1973-08-01,1.25
1973-08-02,1.25
1973-08-03,1.25
1973-08-06,1.2578129999999998
1973-08-07,1.2734379999999998
1973-08-08,1.2734379999999998
1973-08-09,1.28125
1973-08-10,1.2734379999999998
1973-08-13,1.265625
1973-08-14,1.2578129999999998
1973-08-15,1.2578129999999998
1973-08-16,1.265625
1973-08-17,1.2578129999999998
1973-08-20,1.2578129999999998
1973-08-21,1.265625
1973-08-22,1.265625
1973-08-23,1.265625
1973-08-24,1.265625
1973-08-27,1.265625
1973-08-28,1.265625
1973-08-29,1.265625
1973-08-30,1.265625
1973-08-31,1.2890629999999998
1973-09-04,1.296875
1973-09-05,1.296875
1973-09-06,1.296875
1973-09-07,1.28125
1973-09-10,1.2578129999999998
1973-09-11,1.2578129999999998
1973-09-12,1.25
1973-09-13,1.25
1973-09-14,1.25
1973-09-17,1.234375
1973-09-18,1.2265629999999998
1973-09-19,1.21875
1973-09-20,1.234375
1973-09-21,1.2421879999999998
1973-09-24,1.25
1973-09-25,1.25
1973-09-26,1.234375
1973-09-27,1.234375
1973-09-28,1.234375
1973-10-01,1.21875
1973-10-02,1.21875
1973-10-03,1.2109379999999998
1973-10-04,1.2109379999999998
1973-10-05,1.203125
1973-10-08,1.1953129999999998
1973-10-09,1.203125
1973-10-10,1.1640629999999998
1973-10-11,1.171875
1973-10-12,1.15625
1973-10-15,1.1484379999999998
1973-10-16,1.140625
1973-10-17,1.1484379999999998
1973-10-18,1.140625
1973-10-19,1.1328129999999998
1973-10-22,1.1328129999999998
1973-10-23,1.1328129999999998
1973-10-24,1.1328129999999998
1973-10-25,1.1953129999999998
1973-10-26,1.234375
1973-10-29,1.28125
1973-10-30,1.2734379999999998
1973-10-31,1.265625
1973-11-01,1.2578129999999998
1973-11-02,1.25
1973-11-05,1.21875
1973-11-06,1.21875
1973-11-07,1.2109379999999998
1973-11-08,1.21875
1973-11-09,1.2109379999999998
1973-11-12,1.203125
1973-11-13,1.15625
1973-11-14,1.171875
1973-11-15,1.1953129999999998
1973-11-16,1.1953129999999998
1973-11-19,1.1953129999999998
1973-11-20,1.1953129999999998
1973-11-21,1.1875
1973-11-23,1.1875
1973-11-26,1.1875
1973-11-27,1.1640629999999998
1973-11-28,1.1640629999999998
1973-11-29,1.15625
1973-11-30,1.15625
1973-12-03,1.1484379999999998
1973-12-04,1.1328129999999998
1973-12-05,1.125
1973-12-06,1.125
1973-12-07,1.1484379999999998
1973-12-10,1.15625
1973-12-11,1.171875
1973-12-12,1.171875
1973-12-13,1.171875
1973-12-14,1.1640629999999998
1973-12-17,1.1640629999999998
1973-12-18,1.1640629999999998
1973-12-19,1.1796879999999998
1973-12-20,1.1875
1973-12-21,1.1796879999999998
1973-12-24,1.171875
1973-12-26,1.1796879999999998
1973-12-27,1.1796879999999998
1973-12-28,1.1796879999999998
1973-12-31,1.171875
1974-01-02,1.171875
1974-01-03,1.171875
1974-01-04,1.171875
1974-01-07,1.1640629999999998
1974-01-08,1.171875
1974-01-09,1.1640629999999998
1974-01-10,1.1484379999999998
1974-01-11,1.125
1974-01-14,1.125
1974-01-15,1.1171879999999998
1974-01-16,1.1328129999999998
1974-01-17,1.1328129999999998
1974-01-18,1.1328129999999998
1974-01-21,1.125
1974-01-22,1.1328129999999998
1974-01-23,1.140625
1974-01-24,1.140625
1974-01-25,1.1484379999999998
1974-01-28,1.15625
1974-01-29,1.15625
1974-01-30,1.15625
1974-01-31,1.1640629999999998
1974-02-01,1.1640629999999998
1974-02-04,1.1484379999999998
1974-02-05,1.140625
1974-02-06,1.140625
1974-02-07,1.1328129999999998
1974-02-08,1.125
1974-02-11,1.109375
1974-02-12,1.0703129999999998
1974-02-13,1.046875
1974-02-14,1.046875
1974-02-15,1.046875
1974-02-19,1.0390629999999998
1974-02-20,1.0390629999999998
1974-02-21,1.0390629999999998
1974-02-22,1.0390629999999998
1974-02-25,1.03125
1974-02-26,1.015625
1974-02-27,1.015625
1974-02-28,1.015625
