Date,FRC
2011-11-04,28.26
2011-11-07,28.75
2011-11-08,28.940001000000002
2011-11-09,27.809998999999998
2011-11-10,28.0
2011-11-11,28.389999
2011-11-14,27.809998999999998
2011-11-15,27.98
2011-11-16,27.950001
2011-11-17,28.629998999999998
2011-11-18,28.940001000000002
2011-11-21,28.299999
2011-11-22,28.709999
2011-11-23,27.559998999999998
2011-11-25,27.809998999999998
2011-11-28,28.09
2011-11-29,28.360001
2011-11-30,28.379998999999998
2011-12-01,28.41
2011-12-02,28.959999
2011-12-05,29.75
2011-12-06,29.15
2011-12-07,29.389999
2011-12-08,28.83
2011-12-09,29.26
2011-12-12,28.98
2011-12-13,29.25
2011-12-14,29.389999
2011-12-15,29.74
2011-12-16,29.82
2011-12-19,29.68
2011-12-20,30.049999
2011-12-21,29.879998999999998
2011-12-22,30.85
2011-12-23,30.85
2011-12-27,31.379998999999998
2011-12-28,30.809998999999998
2011-12-29,30.74
2011-12-30,30.610001
2012-01-03,30.860001
2012-01-04,31.26
2012-01-05,31.200001
2012-01-06,31.01
2012-01-09,31.299999
2012-01-10,31.42
2012-01-11,31.68
2012-01-12,31.459999
2012-01-13,31.75
2012-01-17,31.27
2012-01-18,31.25
2012-01-19,31.110001
2012-01-20,30.790001
2012-01-23,30.540001
2012-01-24,30.15
2012-01-25,30.559998999999998
2012-01-26,29.93
2012-01-27,29.969998999999998
2012-01-30,29.83
2012-01-31,29.98
2012-02-01,30.51
2012-02-02,30.379998999999998
2012-02-03,31.01
2012-02-06,31.15
2012-02-07,31.24
2012-02-08,31.389999
2012-02-09,31.18
2012-02-10,30.83
2012-02-13,31.16
2012-02-14,31.07
2012-02-15,31.360001
2012-02-16,31.940001000000002
2012-02-17,32.470001
2012-02-21,32.240002000000004
2012-02-22,32.029999
2012-02-23,32.189999
2012-02-24,31.98
2012-02-27,31.799999
2012-02-28,30.370001000000002
2012-02-29,29.99
2012-03-01,30.059998999999998
2012-03-02,30.0
2012-03-05,29.98
2012-03-06,29.66
2012-03-07,30.120001000000002
2012-03-08,30.040001
2012-03-09,30.58
2012-03-12,30.49
2012-03-13,31.34
2012-03-14,31.299999
2012-03-15,31.610001
2012-03-16,31.84
2012-03-19,31.969998999999998
2012-03-20,31.92
2012-03-21,31.67
2012-03-22,31.5
2012-03-23,32.0
2012-03-26,32.299999
2012-03-27,33.060001
2012-03-28,33.68
2012-03-29,33.209998999999996
2012-03-30,32.939999
2012-04-02,33.09
2012-04-03,33.48
2012-04-04,32.849998
2012-04-05,32.689999
2012-04-09,32.150002
2012-04-10,31.809998999999998
2012-04-11,32.549999
2012-04-12,32.959998999999996
2012-04-13,32.189999
2012-04-16,32.509997999999996
2012-04-17,33.509997999999996
2012-04-18,33.0
2012-04-19,33.27
2012-04-20,33.049999
2012-04-23,32.66
2012-04-24,32.970001
2012-04-25,33.400002
2012-04-26,33.360001000000004
2012-04-27,33.639998999999996
2012-04-30,33.029999
2012-05-01,33.509997999999996
2012-05-02,33.400002
2012-05-03,33.16
2012-05-04,32.740002000000004
2012-05-07,32.68
2012-05-08,32.639998999999996
2012-05-09,32.380001
2012-05-10,32.59
2012-05-11,33.599998
2012-05-14,33.220001
2012-05-15,32.919998
2012-05-16,33.610001000000004
2012-05-17,33.0
2012-05-18,32.450001
2012-05-21,32.720001
2012-05-22,32.970001
2012-05-23,32.790001000000004
2012-05-24,32.950001
2012-05-25,32.849998
2012-05-29,32.82
2012-05-30,31.799999
2012-05-31,31.4
2012-06-01,30.110001
2012-06-04,29.530001000000002
2012-06-05,30.15
2012-06-06,31.26
2012-06-07,31.34
2012-06-08,31.809998999999998
2012-06-11,31.5
2012-06-12,31.82
2012-06-13,31.84
2012-06-14,31.75
2012-06-15,31.959999
2012-06-18,32.200001
2012-06-19,32.599998
2012-06-20,33.139998999999996
2012-06-21,32.700001
2012-06-22,32.349998
2012-06-25,32.43
2012-06-26,32.66
2012-06-27,32.759997999999996
2012-06-28,33.02
2012-06-29,33.599998
2012-07-02,33.490002000000004
2012-07-03,33.619999
2012-07-05,33.380001
2012-07-06,33.130001
2012-07-09,32.990002000000004
2012-07-10,32.939999
2012-07-11,32.830002
2012-07-12,32.790001000000004
2012-07-13,33.23
2012-07-16,33.009997999999996
2012-07-17,33.189999
2012-07-18,32.75
2012-07-19,32.889998999999996
2012-07-20,32.82
2012-07-23,32.299999
2012-07-24,32.209998999999996
2012-07-25,32.209998999999996
2012-07-26,32.41
2012-07-27,32.57
2012-07-30,32.419998
2012-07-31,32.529999
2012-08-01,32.279999
2012-08-02,32.189999
2012-08-03,32.25
2012-08-06,32.139998999999996
2012-08-07,32.349998
2012-08-08,32.279999
2012-08-09,32.299999
2012-08-10,32.25
2012-08-13,32.099998
2012-08-14,32.049999
2012-08-15,32.220001
2012-08-16,32.380001
2012-08-17,32.5
2012-08-20,32.880001
2012-08-21,33.049999
2012-08-22,32.700001
2012-08-23,32.32
2012-08-24,32.450001
2012-08-27,32.25
2012-08-28,32.310001
2012-08-29,32.610001000000004
