Date,CNC
2001-12-13,1.433333
2001-12-14,1.391667
2001-12-17,1.415
2001-12-18,1.438333
2001-12-19,1.7258330000000002
2001-12-20,1.6541669999999997
2001-12-21,1.6583330000000003
2001-12-24,1.6625
2001-12-26,1.6933330000000002
2001-12-27,1.7333330000000002
2001-12-28,1.791667
2001-12-31,1.8291669999999998
2002-01-02,1.833333
2002-01-03,1.833333
2002-01-04,1.8125
2002-01-07,1.7141669999999998
2002-01-08,1.7666669999999998
2002-01-09,1.7266669999999997
2002-01-10,1.7133330000000002
2002-01-11,1.7666669999999998
2002-01-14,1.7466669999999997
2002-01-15,1.75
2002-01-16,1.6708330000000002
2002-01-17,1.629167
2002-01-18,1.625
2002-01-22,1.6833330000000002
2002-01-23,1.8091669999999997
2002-01-24,1.7958330000000002
2002-01-25,1.8041669999999999
2002-01-28,1.6933330000000002
2002-01-29,1.708333
2002-01-30,1.676667
2002-01-31,1.541667
2002-02-01,1.616667
2002-02-04,1.566667
2002-02-05,1.591667
2002-02-06,1.675
2002-02-07,1.600833
2002-02-08,1.600833
2002-02-11,1.604167
2002-02-12,1.605833
2002-02-13,1.565
2002-02-14,1.605833
2002-02-15,1.583333
2002-02-19,1.563333
2002-02-20,1.571667
2002-02-21,1.579167
2002-02-22,1.566667
2002-02-25,1.575
2002-02-26,1.575833
2002-02-27,1.569167
2002-02-28,1.5625
2002-03-01,1.565
2002-03-04,1.57
2002-03-05,1.574167
2002-03-06,1.575
2002-03-07,1.575
2002-03-08,1.591667
2002-03-11,1.5725
2002-03-12,1.625
2002-03-13,1.7283330000000001
2002-03-14,1.833333
2002-03-15,1.8833330000000001
2002-03-18,1.9083330000000003
2002-03-19,1.925
2002-03-20,1.916667
2002-03-21,1.9208330000000002
2002-03-22,1.9233330000000002
2002-03-25,1.9125
2002-03-26,1.916667
2002-03-27,1.9125
2002-03-28,1.9083330000000003
2002-04-01,1.9125
2002-04-02,1.9083330000000003
2002-04-03,1.9141669999999997
2002-04-04,1.9083330000000003
2002-04-05,1.9083330000000003
2002-04-08,1.9125
2002-04-09,2.0916669999999997
2002-04-10,2.2125
2002-04-11,2.3658330000000003
2002-04-12,2.4125
2002-04-15,2.3833330000000004
2002-04-16,2.415
2002-04-17,2.3233330000000003
2002-04-18,2.416667
2002-04-19,2.438333
2002-04-22,2.435
2002-04-23,2.499167
2002-04-24,2.4691669999999997
2002-04-25,2.389167
2002-04-26,2.291667
2002-04-29,2.250833
2002-04-30,2.149167
2002-05-01,1.9941669999999998
2002-05-02,2.0283330000000004
2002-05-03,2.099167
2002-05-06,2.0325
2002-05-07,2.014167
2002-05-08,1.9933330000000002
2002-05-09,2.165
2002-05-10,2.1583330000000003
2002-05-13,2.0958330000000003
2002-05-14,2.0825
2002-05-15,2.083333
2002-05-16,2.1333330000000004
2002-05-17,2.063333
2002-05-20,1.9833330000000002
2002-05-21,1.9375
2002-05-22,2.0066669999999998
2002-05-23,2.0625
2002-05-24,2.0
2002-05-28,2.05
2002-05-29,2.0908330000000004
2002-05-30,2.2391669999999997
2002-05-31,2.18
2002-06-03,2.079167
2002-06-04,2.041667
2002-06-05,2.0
2002-06-06,1.9925
2002-06-07,2.0575
2002-06-10,2.03
2002-06-11,2.0475
2002-06-12,2.058333
2002-06-13,2.274167
2002-06-14,2.375
2002-06-17,2.3675
2002-06-18,2.4175
2002-06-19,2.391667
2002-06-20,2.3375
2002-06-21,2.354167
2002-06-24,2.335
2002-06-25,2.3866669999999996
2002-06-26,2.3125
2002-06-27,2.4875
2002-06-28,2.581667
2002-07-01,2.375
2002-07-02,2.2225
2002-07-03,2.25
2002-07-05,2.2583330000000004
2002-07-08,2.2383330000000004
2002-07-09,2.254167
2002-07-10,2.2833330000000003
2002-07-11,2.248333
2002-07-12,2.245833
2002-07-15,2.225
2002-07-16,2.1791669999999996
2002-07-17,2.24
2002-07-18,2.1925
2002-07-19,2.145
2002-07-22,1.92
2002-07-23,1.8925
2002-07-24,2.0025
2002-07-25,2.1025
2002-07-26,2.06
2002-07-29,2.083333
2002-07-30,1.95
2002-07-31,1.979167
2002-08-01,2.140833
2002-08-02,2.066667
2002-08-05,1.956667
2002-08-06,2.125
2002-08-07,2.110833
2002-08-08,2.3666669999999996
2002-08-09,2.291667
2002-08-12,2.226667
2002-08-13,2.155
2002-08-14,2.166667
2002-08-15,2.25
2002-08-16,2.2791669999999997
2002-08-19,2.313333
2002-08-20,2.2825
2002-08-21,2.271667
2002-08-22,2.274167
2002-08-23,2.249167
2002-08-26,2.2841669999999996
2002-08-27,2.143333
2002-08-28,2.1983330000000003
2002-08-29,2.32
2002-08-30,2.2166669999999997
2002-09-03,2.119167
2002-09-04,2.0125
2002-09-05,2.015
2002-09-06,2.0083330000000004
2002-09-09,2.0083330000000004
2002-09-10,2.0025
2002-09-11,1.9833330000000002
2002-09-12,1.975
2002-09-13,1.958333
2002-09-16,1.875
2002-09-17,1.8883330000000003
2002-09-18,2.016667
2002-09-19,2.0358330000000002
2002-09-20,2.0425
2002-09-23,2.1333330000000004
2002-09-24,2.14
2002-09-25,2.2191669999999997
2002-09-26,2.2166669999999997
2002-09-27,2.245833
2002-09-30,2.224167
2002-10-01,2.3325
2002-10-02,2.251667
2002-10-03,2.2616669999999996
2002-10-04,2.291667
2002-10-07,2.1975
2002-10-08,2.25
2002-10-09,2.13
2002-10-10,2.175
2002-10-11,2.208333
2002-10-14,2.228333
2002-10-15,2.500833
2002-10-16,2.4575
