Date,SLG
1997-08-15,25.0
1997-08-18,24.875
1997-08-19,24.375
1997-08-20,23.75
1997-08-21,23.0625
1997-08-22,23.5
1997-08-25,23.5
1997-08-26,23.625
1997-08-27,23.5
1997-08-28,23.6875
1997-08-29,23.875
1997-09-02,24.375
1997-09-03,24.3125
1997-09-04,24.5
1997-09-05,24.375
1997-09-08,24.25
1997-09-09,24.5
1997-09-10,24.6875
1997-09-11,24.3125
1997-09-12,24.3125
1997-09-15,24.0
1997-09-16,25.25
1997-09-17,24.75
1997-09-18,25.125
1997-09-19,25.0625
1997-09-22,25.25
1997-09-23,24.9375
1997-09-24,24.8125
1997-09-25,25.25
1997-09-26,25.5
1997-09-29,25.6875
1997-09-30,25.875
1997-10-01,25.875
1997-10-02,26.375
1997-10-03,26.9375
1997-10-06,26.375
1997-10-07,26.125
1997-10-08,26.25
1997-10-09,26.0
1997-10-10,25.8125
1997-10-13,25.875
1997-10-14,26.0625
1997-10-15,25.9375
1997-10-16,25.75
1997-10-17,25.5
1997-10-20,25.375
1997-10-21,26.375
1997-10-22,26.0
1997-10-23,25.625
1997-10-24,25.625
1997-10-27,23.6875
1997-10-28,25.6875
1997-10-29,25.1875
1997-10-30,25.0
1997-10-31,25.0625
1997-11-03,24.875
1997-11-04,24.4375
1997-11-05,24.6875
1997-11-06,24.375
1997-11-07,24.25
1997-11-10,24.875
1997-11-11,25.125
1997-11-12,25.625
1997-11-13,25.1875
1997-11-14,25.3125
1997-11-17,25.25
1997-11-18,25.75
1997-11-19,25.8125
1997-11-20,26.0
1997-11-21,26.0
1997-11-24,25.5
1997-11-25,25.6875
1997-11-26,25.75
1997-11-28,26.0
1997-12-01,26.0
1997-12-02,26.125
1997-12-03,25.6875
1997-12-04,25.75
1997-12-05,26.0
1997-12-08,25.75
1997-12-09,26.0
1997-12-10,25.875
1997-12-11,25.875
1997-12-12,25.6875
1997-12-15,26.0
1997-12-16,26.5
1997-12-17,26.625
1997-12-18,26.5
1997-12-19,26.1875
1997-12-22,26.125
1997-12-23,26.1875
1997-12-24,26.25
1997-12-26,26.125
1997-12-29,26.125
1997-12-30,26.25
1997-12-31,25.9375
1998-01-02,25.9375
1998-01-05,25.875
1998-01-06,25.75
1998-01-07,25.625
1998-01-08,25.5
1998-01-09,25.5
1998-01-12,25.0
1998-01-13,25.125
1998-01-14,25.5625
1998-01-15,25.25
1998-01-16,25.5
1998-01-20,26.0
1998-01-21,26.125
1998-01-22,26.5
1998-01-23,26.5
1998-01-26,26.625
1998-01-27,26.75
1998-01-28,26.75
1998-01-29,26.75
1998-01-30,27.875
1998-02-02,27.4375
1998-02-03,26.875
1998-02-04,26.5625
1998-02-05,26.4375
1998-02-06,26.3125
1998-02-09,26.1875
1998-02-10,26.0
1998-02-11,26.5
1998-02-12,26.125
1998-02-13,26.5
1998-02-17,26.5625
1998-02-18,26.125
1998-02-19,26.25
1998-02-20,26.5
1998-02-23,27.125
1998-02-24,27.0
1998-02-25,26.875
1998-02-26,26.5
1998-02-27,26.5625
1998-03-02,26.125
1998-03-03,25.75
1998-03-04,25.875
1998-03-05,25.0
1998-03-06,25.25
1998-03-09,25.625
1998-03-10,25.625
1998-03-11,25.0
1998-03-12,25.1875
1998-03-13,24.25
1998-03-16,24.125
1998-03-17,24.375
1998-03-18,24.0
1998-03-19,24.1875
1998-03-20,24.875
1998-03-23,25.1875
1998-03-24,25.375
1998-03-25,25.0625
1998-03-26,25.0
1998-03-27,25.5625
1998-03-30,25.375
1998-03-31,25.5625
1998-04-01,25.6875
1998-04-02,26.25
1998-04-03,26.4375
1998-04-06,26.5
1998-04-07,26.5
1998-04-08,26.375
1998-04-09,26.375
1998-04-13,26.0
1998-04-14,25.75
1998-04-15,25.625
1998-04-16,25.5
1998-04-17,25.0
1998-04-20,24.625
1998-04-21,23.75
1998-04-22,23.875
1998-04-23,23.875
1998-04-24,23.5625
1998-04-27,23.375
1998-04-28,23.5
1998-04-29,23.8125
1998-04-30,24.0
1998-05-01,24.0625
1998-05-04,24.0
1998-05-05,23.9375
1998-05-06,23.5625
1998-05-07,23.125
1998-05-08,22.75
1998-05-11,22.25
1998-05-12,22.25
1998-05-13,22.375
1998-05-14,22.25
1998-05-15,22.3125
1998-05-18,22.4375
1998-05-19,22.6875
1998-05-20,22.5
1998-05-21,22.25
1998-05-22,22.5
1998-05-26,22.5
1998-05-27,22.25
1998-05-28,22.25
1998-05-29,22.6875
1998-06-01,22.5625
1998-06-02,22.625
1998-06-03,22.875
1998-06-04,22.625
1998-06-05,22.5625
1998-06-08,22.5625
1998-06-09,22.75
1998-06-10,22.625
1998-06-11,22.375
1998-06-12,22.25
1998-06-15,22.0
1998-06-16,22.1875
1998-06-17,22.0
1998-06-18,22.0
1998-06-19,22.25
1998-06-22,22.1875
1998-06-23,21.9375
1998-06-24,22.3125
1998-06-25,22.25
1998-06-26,22.0625
1998-06-29,22.375
1998-06-30,22.5
1998-07-01,22.25
1998-07-02,22.5
1998-07-06,22.875
1998-07-07,23.75
1998-07-08,23.9375
1998-07-09,24.375
1998-07-10,24.375
1998-07-13,23.8125
1998-07-14,24.0
1998-07-15,24.0625
1998-07-16,24.0625
1998-07-17,23.75
1998-07-20,23.4375
1998-07-21,23.25
1998-07-22,22.875
1998-07-23,22.9375
1998-07-24,22.875
1998-07-27,22.5
1998-07-28,22.6875
1998-07-29,22.125
1998-07-30,21.375
1998-07-31,22.0
1998-08-03,22.0625
1998-08-04,21.375
1998-08-05,21.0
1998-08-06,20.75
1998-08-07,21.5
1998-08-10,22.0
1998-08-11,21.1875
1998-08-12,21.5625
1998-08-13,21.625
1998-08-14,21.625
1998-08-17,21.6875
1998-08-18,21.625
1998-08-19,21.9375
1998-08-20,21.5625
1998-08-21,21.25
1998-08-24,20.5625
1998-08-25,20.4375
1998-08-26,20.3125
1998-08-27,19.875
1998-08-28,19.5625
1998-08-31,19.25
1998-09-01,19.0
1998-09-02,18.875
1998-09-03,18.4375
1998-09-04,18.1875
1998-09-08,19.3125
1998-09-09,19.0625
1998-09-10,18.625
1998-09-11,18.6875
1998-09-14,17.875
1998-09-15,18.0
1998-09-16,18.0625
1998-09-17,18.0
1998-09-18,19.0
1998-09-21,20.25
1998-09-22,21.5
1998-09-23,21.75
1998-09-24,21.0
1998-09-25,20.5625
1998-09-28,20.0625
1998-09-29,20.375
1998-09-30,21.0
1998-10-01,20.0
1998-10-02,19.9375
1998-10-05,19.5
1998-10-06,18.9375
1998-10-07,19.25
1998-10-08,18.0
1998-10-09,17.9375
1998-10-12,17.625
1998-10-13,17.625
1998-10-14,17.484375
1998-10-15,18.4375
1998-10-16,18.6875
1998-10-19,18.25
1998-10-20,18.75
1998-10-21,19.0
1998-10-22,19.0
1998-10-23,18.8125
1998-10-26,18.8125
1998-10-27,18.9375
1998-10-28,19.0
1998-10-29,18.9375
1998-10-30,18.9375
1998-11-02,18.5
1998-11-03,18.75
1998-11-04,19.25
1998-11-05,19.6875
1998-11-06,20.0625
1998-11-09,19.875
1998-11-10,19.5
1998-11-11,19.5
1998-11-12,20.5
1998-11-13,19.8125
1998-11-16,20.0
1998-11-17,19.6875
1998-11-18,20.0
1998-11-19,20.5
1998-11-20,20.6875
1998-11-23,21.125
1998-11-24,21.0625
1998-11-25,21.75
1998-11-27,21.625
1998-11-30,21.375
1998-12-01,21.0
1998-12-02,20.75
1998-12-03,21.0
1998-12-04,21.0625
1998-12-07,21.5
1998-12-08,21.0625
1998-12-09,20.625
1998-12-10,20.4375
1998-12-11,20.375
1998-12-14,20.5625
1998-12-15,20.9375
1998-12-16,21.0
1998-12-17,21.125
1998-12-18,20.9375
1998-12-21,20.875
1998-12-22,21.0625
1998-12-23,20.9375
1998-12-24,20.625
1998-12-28,20.25
1998-12-29,20.75
1998-12-30,21.3125
1998-12-31,21.625
1999-01-04,22.0
1999-01-05,22.1875
1999-01-06,21.9375
1999-01-07,21.8125
1999-01-08,21.6875
1999-01-11,21.1875
1999-01-12,21.9375
1999-01-13,22.0
1999-01-14,21.25
1999-01-15,21.75
1999-01-19,21.5
1999-01-20,20.8125
1999-01-21,20.5
1999-01-22,20.0
1999-01-25,20.0
1999-01-26,20.4375
1999-01-27,20.5
1999-01-28,20.75
1999-01-29,20.25
1999-02-01,19.9375
1999-02-02,19.75
1999-02-03,19.875
1999-02-04,20.5625
1999-02-05,20.6875
1999-02-08,20.6875
1999-02-09,20.3125
1999-02-10,20.1875
1999-02-11,20.0625
1999-02-12,20.25
1999-02-16,19.6875
1999-02-17,19.6875
1999-02-18,19.3125
1999-02-19,19.625
1999-02-22,20.125
1999-02-23,19.875
1999-02-24,19.875
1999-02-25,19.375
1999-02-26,19.3125
1999-03-01,19.3125
1999-03-02,19.4375
1999-03-03,19.125
1999-03-04,19.125
1999-03-05,19.1875
1999-03-08,19.3125
1999-03-09,18.9375
1999-03-10,18.5
1999-03-11,18.1875
1999-03-12,17.875
1999-03-15,17.8125
1999-03-16,18.1875
1999-03-17,17.9375
1999-03-18,17.875
1999-03-19,17.75
1999-03-22,18.0625
1999-03-23,18.125
1999-03-24,17.9375
1999-03-25,18.0625
1999-03-26,18.1875
1999-03-29,18.0625
1999-03-30,17.8125
1999-03-31,18.8125
1999-04-01,18.0625
1999-04-05,18.25
1999-04-06,18.3125
1999-04-07,17.6875
1999-04-08,17.75
1999-04-09,17.875
1999-04-12,18.25
1999-04-13,18.0
1999-04-14,18.1875
1999-04-15,18.9375
1999-04-16,19.4375
1999-04-19,19.6875
1999-04-20,19.875
1999-04-21,19.625
1999-04-22,20.0
1999-04-23,20.0
1999-04-26,19.875
1999-04-27,19.8125
1999-04-28,20.125
1999-04-29,19.875
1999-04-30,19.875
1999-05-03,20.0
1999-05-04,20.0
1999-05-05,20.3125
1999-05-06,20.125
1999-05-07,20.625
1999-05-10,21.1875
1999-05-11,21.4375
1999-05-12,21.9375
1999-05-13,21.5625
1999-05-14,21.125
1999-05-17,21.0
1999-05-18,20.8125
1999-05-19,21.375
1999-05-20,21.5
1999-05-21,21.625
1999-05-24,22.0
1999-05-25,22.25
1999-05-26,21.8125
1999-05-27,21.875
1999-05-28,21.75
1999-06-01,21.9375
1999-06-02,21.9375
1999-06-03,21.9375
1999-06-04,21.8125
1999-06-07,21.5625
1999-06-08,21.4375
1999-06-09,21.8125
1999-06-10,21.625
1999-06-11,21.25
1999-06-14,20.1875
1999-06-15,20.375
1999-06-16,20.6875
1999-06-17,20.6875
1999-06-18,20.5625
1999-06-21,20.5625
1999-06-22,20.0625
1999-06-23,20.125
1999-06-24,20.3125
1999-06-25,20.375
1999-06-28,20.3125
1999-06-29,20.3125
1999-06-30,20.4375
1999-07-01,20.9375
1999-07-02,20.625
1999-07-06,20.625
1999-07-07,20.5625
1999-07-08,20.5625
1999-07-09,21.0625
1999-07-12,20.875
1999-07-13,20.625
1999-07-14,20.625
1999-07-15,21.0625
1999-07-16,21.1875
1999-07-19,21.3125
1999-07-20,21.375
1999-07-21,21.625
1999-07-22,21.3125
1999-07-23,21.125
1999-07-26,20.9375
1999-07-27,21.0
1999-07-28,20.9375
1999-07-29,20.5
1999-07-30,20.6875
1999-08-02,21.125
1999-08-03,21.0625
1999-08-04,21.0
1999-08-05,21.0
1999-08-06,20.8125
1999-08-09,20.75
1999-08-10,20.625
1999-08-11,20.6875
1999-08-12,20.6875
1999-08-13,20.6875
1999-08-16,20.6875
1999-08-17,20.625
1999-08-18,20.625
1999-08-19,20.75
1999-08-20,20.6875
1999-08-23,20.625
1999-08-24,20.625
1999-08-25,20.6875
1999-08-26,20.875
1999-08-27,21.1875
1999-08-30,21.0
1999-08-31,20.8125
1999-09-01,20.8125
1999-09-02,20.875
1999-09-03,20.875
1999-09-07,21.125
1999-09-08,20.9375
1999-09-09,20.875
1999-09-10,21.0625
1999-09-13,20.8125
1999-09-14,20.75
1999-09-15,20.6875
1999-09-16,20.625
1999-09-17,20.4375
1999-09-20,20.5
1999-09-21,20.125
1999-09-22,20.1875
1999-09-23,20.3125
1999-09-24,20.25
1999-09-27,20.125
1999-09-28,19.5
1999-09-29,19.6875
1999-09-30,20.5
1999-10-01,19.8125
1999-10-04,19.875
1999-10-05,20.0
1999-10-06,19.75
1999-10-07,19.625
1999-10-08,19.25
1999-10-11,19.75
1999-10-12,19.6875
1999-10-13,19.5
1999-10-14,19.375
1999-10-15,19.25
1999-10-18,18.8125
1999-10-19,18.9375
1999-10-20,18.9375
1999-10-21,18.375
1999-10-22,18.375
1999-10-25,18.0
1999-10-26,17.875
1999-10-27,17.9375
1999-10-28,18.0
1999-10-29,18.1875
1999-11-01,18.8125
1999-11-02,19.5
1999-11-03,20.4375
1999-11-04,20.0625
1999-11-05,20.125
1999-11-08,20.3125
1999-11-09,20.1875
1999-11-10,20.375
1999-11-11,20.0
1999-11-12,20.125
1999-11-15,19.875
1999-11-16,20.125
1999-11-17,20.0625
1999-11-18,20.375
1999-11-19,20.3125
