Date,IR
2017-05-12,21.1
2017-05-15,22.02
2017-05-16,22.1
2017-05-17,22.1
2017-05-18,22.5
2017-05-19,22.719998999999998
2017-05-22,22.889999
2017-05-23,23.450001
2017-05-24,23.35
2017-05-25,22.51
2017-05-26,23.030001000000002
2017-05-30,22.950001
2017-05-31,22.93
2017-06-01,22.93
2017-06-02,22.65
2017-06-05,22.629998999999998
2017-06-06,22.290001
2017-06-07,21.76
2017-06-08,21.65
2017-06-09,22.49
2017-06-12,23.030001000000002
2017-06-13,23.49
2017-06-14,23.25
2017-06-15,22.99
2017-06-16,23.92
2017-06-19,23.92
2017-06-20,22.620001000000002
2017-06-21,20.719998999999998
2017-06-22,21.059998999999998
2017-06-23,20.469998999999998
2017-06-26,20.5
2017-06-27,21.290001
2017-06-28,21.27
2017-06-29,21.43
2017-06-30,21.610001
2017-07-03,22.34
2017-07-05,21.82
2017-07-06,20.969998999999998
2017-07-07,20.67
2017-07-10,21.34
2017-07-11,21.73
2017-07-12,22.129998999999998
2017-07-13,22.059998999999998
2017-07-14,22.08
2017-07-17,22.969998999999998
2017-07-18,23.040001
2017-07-19,23.42
2017-07-20,23.549999
2017-07-21,23.01
2017-07-24,23.139999
2017-07-25,23.450001
2017-07-26,22.82
2017-07-27,23.23
2017-07-28,23.09
2017-07-31,22.959999
2017-08-01,22.5
2017-08-02,23.02
2017-08-03,23.26
2017-08-04,24.07
2017-08-07,24.040001
2017-08-08,24.129998999999998
2017-08-09,23.6
2017-08-10,22.66
2017-08-11,22.68
2017-08-14,22.59
2017-08-15,22.690001000000002
2017-08-16,22.75
2017-08-17,22.0
2017-08-18,21.969998999999998
2017-08-21,22.389999
2017-08-22,22.780001000000002
2017-08-23,22.959999
2017-08-24,22.700001
2017-08-25,22.98
2017-08-28,22.950001
2017-08-29,23.059998999999998
2017-08-30,23.299999
2017-08-31,23.49
2017-09-01,23.700001
2017-09-05,23.120001000000002
2017-09-06,23.35
2017-09-07,23.610001
2017-09-08,23.76
2017-09-11,23.889999
2017-09-12,24.530001000000002
2017-09-13,24.67
2017-09-14,24.969998999999998
2017-09-15,25.09
2017-09-18,25.780001000000002
2017-09-19,25.82
2017-09-20,25.98
2017-09-21,25.85
2017-09-22,26.280001000000002
2017-09-25,26.4
2017-09-26,26.309998999999998
2017-09-27,27.07
2017-09-28,27.33
2017-09-29,27.52
2017-10-02,27.549999
2017-10-03,27.629998999999998
2017-10-04,26.889999
2017-10-05,26.790001
2017-10-06,26.6
2017-10-09,26.780001000000002
2017-10-10,26.9
2017-10-11,26.860001
2017-10-12,26.889999
2017-10-13,26.959999
2017-10-16,26.92
2017-10-17,26.99
2017-10-18,26.75
2017-10-19,26.360001
2017-10-20,26.58
2017-10-23,26.42
2017-10-24,26.6
2017-10-25,26.620001000000002
2017-10-26,29.1
2017-10-27,30.42
2017-10-30,29.120001000000002
2017-10-31,28.85
2017-11-01,28.940001000000002
2017-11-02,29.309998999999998
2017-11-03,28.58
2017-11-06,27.959999
2017-11-07,28.0
2017-11-08,28.07
2017-11-09,28.139999
2017-11-10,28.76
2017-11-13,29.41
2017-11-14,28.66
2017-11-15,27.540001
2017-11-16,28.889999
2017-11-17,30.049999
2017-11-20,30.57
2017-11-21,30.73
2017-11-22,30.98
2017-11-24,31.139999
2017-11-27,31.459999
2017-11-28,31.23
2017-11-29,31.15
2017-11-30,32.41
2017-12-01,32.080002
2017-12-04,31.450001
2017-12-05,31.16
2017-12-06,31.469998999999998
2017-12-07,32.18
2017-12-08,32.330002
2017-12-11,32.029999
2017-12-12,31.68
2017-12-13,31.83
2017-12-14,31.690001000000002
2017-12-15,32.610001000000004
2017-12-18,33.380001
2017-12-19,33.290001000000004
2017-12-20,34.009997999999996
2017-12-21,34.43
2017-12-22,34.200001
2017-12-26,34.029999
2017-12-27,34.110001000000004
2017-12-28,33.970001
2017-12-29,33.93
2018-01-02,33.709998999999996
2018-01-03,33.91
2018-01-04,34.07
2018-01-05,34.549999
2018-01-08,34.91
2018-01-09,35.09
2018-01-10,34.450001
2018-01-11,34.889998999999996
2018-01-12,34.560001
2018-01-16,35.099998
2018-01-17,34.959998999999996
2018-01-18,35.200001
2018-01-19,35.919998
2018-01-22,36.189999
2018-01-23,36.689999
2018-01-24,36.27
2018-01-25,35.939999
2018-01-26,36.279999
2018-01-29,36.240002000000004
2018-01-30,35.470001
2018-01-31,34.580002
2018-02-01,35.040001000000004
2018-02-02,34.169998
2018-02-05,33.509997999999996
2018-02-06,33.389998999999996
2018-02-07,32.810001
2018-02-08,31.57
2018-02-09,31.75
2018-02-12,32.700001
2018-02-13,33.080002
2018-02-14,33.509997999999996
2018-02-15,34.529999
2018-02-16,32.849998
2018-02-20,31.73
2018-02-21,31.780001000000002
2018-02-22,32.060001
2018-02-23,32.880001
2018-02-26,33.0
2018-02-27,32.68
2018-02-28,32.009997999999996
2018-03-01,30.889999
2018-03-02,31.799999
2018-03-05,32.040001000000004
2018-03-06,31.809998999999998
2018-03-07,31.82
2018-03-08,32.369999
2018-03-09,33.0
2018-03-12,32.639998999999996
2018-03-13,32.529999
2018-03-14,32.959998999999996
2018-03-15,32.66
2018-03-16,32.959998999999996
2018-03-19,32.709998999999996
2018-03-20,32.549999
2018-03-21,33.130001
2018-03-22,31.209999
2018-03-23,30.32
2018-03-26,30.73
2018-03-27,30.4
2018-03-28,30.049999
2018-03-29,30.68
2018-04-02,29.129998999999998
2018-04-03,29.73
2018-04-04,29.790001
2018-04-05,30.809998999999998
2018-04-06,29.83
2018-04-09,29.360001
2018-04-10,30.889999
2018-04-11,31.0
2018-04-12,31.549999
2018-04-13,31.620001000000002
2018-04-16,32.040001000000004
2018-04-17,32.290001000000004
2018-04-18,32.669998
2018-04-19,32.529999
