Date,LRCX
1985-03-27,2.277778
1985-03-28,2.194444
1985-03-29,2.222222
1985-04-01,2.222222
1985-04-02,2.222222
1985-04-03,2.277778
1985-04-04,2.222222
1985-04-08,2.25
1985-04-09,2.25
1985-04-10,2.25
1985-04-11,2.25
1985-04-12,2.222222
1985-04-15,2.25
1985-04-16,2.333333
1985-04-17,2.277778
1985-04-18,2.305556
1985-04-19,2.277778
1985-04-22,2.222222
1985-04-23,2.25
1985-04-24,2.222222
1985-04-25,2.25
1985-04-26,2.25
1985-04-29,2.166667
1985-04-30,2.111111
1985-05-01,2.055556
1985-05-02,2.111111
1985-05-03,2.055556
1985-05-06,2.083333
1985-05-07,2.111111
1985-05-08,2.111111
1985-05-09,2.166667
1985-05-10,2.222222
1985-05-13,2.194444
1985-05-14,2.222222
1985-05-15,2.166667
1985-05-16,2.222222
1985-05-17,2.333333
1985-05-20,2.305556
1985-05-21,2.305556
1985-05-22,2.277778
1985-05-23,2.277778
1985-05-24,2.222222
1985-05-28,2.25
1985-05-29,2.25
1985-05-30,2.25
1985-05-31,2.166667
1985-06-03,2.111111
1985-06-04,2.083333
1985-06-05,1.9722220000000001
1985-06-06,2.0
1985-06-07,2.055556
1985-06-10,2.0
1985-06-11,1.9722220000000001
1985-06-12,2.0
1985-06-13,1.916667
1985-06-14,1.916667
1985-06-17,1.888889
1985-06-18,1.888889
1985-06-19,1.888889
1985-06-20,1.888889
1985-06-21,1.916667
1985-06-24,1.916667
1985-06-25,2.055556
1985-06-26,2.111111
1985-06-27,2.111111
1985-06-28,2.111111
1985-07-01,2.083333
1985-07-02,2.027778
1985-07-03,1.9722220000000001
1985-07-05,1.9722220000000001
1985-07-08,1.916667
1985-07-09,1.9444439999999998
1985-07-10,1.9722220000000001
1985-07-11,2.0
1985-07-12,1.9444439999999998
1985-07-15,1.9444439999999998
1985-07-16,2.055556
1985-07-17,2.111111
1985-07-18,2.138889
1985-07-19,2.111111
1985-07-22,2.055556
1985-07-23,2.083333
1985-07-24,2.083333
1985-07-25,2.111111
1985-07-26,2.111111
1985-07-29,2.111111
1985-07-30,2.083333
1985-07-31,2.194444
1985-08-01,2.222222
1985-08-02,2.222222
1985-08-05,2.166667
1985-08-06,2.166667
1985-08-07,2.083333
1985-08-08,2.055556
1985-08-09,2.083333
1985-08-12,2.083333
1985-08-13,2.055556
1985-08-14,2.055556
1985-08-15,2.083333
1985-08-16,2.027778
1985-08-19,2.0
1985-08-20,2.055556
1985-08-21,2.0
1985-08-22,2.0
1985-08-23,2.083333
1985-08-26,2.027778
1985-08-27,2.222222
1985-08-28,2.277778
1985-08-29,2.222222
1985-08-30,2.083333
1985-09-03,2.055556
1985-09-04,2.0
1985-09-05,2.055556
1985-09-06,1.9722220000000001
1985-09-09,1.9722220000000001
1985-09-10,1.7777779999999999
1985-09-11,1.6944439999999998
1985-09-12,1.75
1985-09-13,1.6944439999999998
1985-09-16,1.7222220000000001
1985-09-17,1.7222220000000001
1985-09-18,1.666667
1985-09-19,1.6944439999999998
1985-09-20,1.861111
1985-09-23,1.916667
1985-09-24,1.833333
1985-09-25,1.7777779999999999
