Date,ORLY
1993-04-23,2.40625
1993-04-26,2.34375
1993-04-27,2.3125
1993-04-28,2.28125
1993-04-29,2.3125
1993-04-30,2.34375
1993-05-03,2.34375
1993-05-04,2.375
1993-05-05,2.4375
1993-05-06,2.453125
1993-05-07,2.40625
1993-05-10,2.4375
1993-05-11,2.46875
1993-05-12,2.53125
1993-05-13,2.59375
1993-05-14,2.734375
1993-05-17,2.6875
1993-05-18,2.65625
1993-05-19,2.609375
1993-05-20,2.5625
1993-05-21,2.59375
1993-05-24,2.5625
1993-05-25,2.59375
1993-05-26,2.5625
1993-05-27,2.625
1993-05-28,2.65625
1993-06-01,2.65625
1993-06-02,2.78125
1993-06-03,2.8125
1993-06-04,2.75
1993-06-07,2.8125
1993-06-08,2.8125
1993-06-09,2.8125
1993-06-10,2.84375
1993-06-11,2.875
1993-06-14,2.84375
1993-06-15,2.8125
1993-06-16,2.75
1993-06-17,2.75
1993-06-18,2.875
1993-06-21,2.890625
1993-06-22,2.9375
1993-06-23,2.9375
1993-06-24,2.9375
1993-06-25,2.9375
1993-06-28,2.96875
1993-06-29,3.03125
1993-06-30,3.0
1993-07-01,2.90625
1993-07-02,2.9375
1993-07-06,2.9375
1993-07-07,2.9375
1993-07-08,2.9375
1993-07-09,3.0
1993-07-12,3.0
1993-07-13,2.96875
1993-07-14,3.0
1993-07-15,2.9375
1993-07-16,2.9375
1993-07-19,2.90625
1993-07-20,2.90625
1993-07-21,3.0
1993-07-22,2.90625
1993-07-23,2.9375
1993-07-26,2.9375
1993-07-27,2.9375
1993-07-28,2.9375
1993-07-29,2.9375
1993-07-30,2.96875
1993-08-02,2.96875
1993-08-03,2.96875
1993-08-04,2.90625
1993-08-05,2.9375
1993-08-06,2.90625
1993-08-09,2.890625
1993-08-10,2.875
1993-08-11,2.9375
1993-08-12,2.96875
1993-08-13,3.0
1993-08-16,2.9375
1993-08-17,3.0
1993-08-18,2.953125
1993-08-19,2.90625
1993-08-20,2.90625
1993-08-23,2.90625
1993-08-24,2.96875
1993-08-25,2.921875
1993-08-26,2.96875
1993-08-27,2.96875
1993-08-30,2.875
1993-08-31,2.9375
1993-09-01,2.875
1993-09-02,2.84375
1993-09-03,2.90625
1993-09-07,2.84375
1993-09-08,2.84375
1993-09-09,2.84375
1993-09-10,2.90625
1993-09-13,2.84375
1993-09-14,2.9375
1993-09-15,2.9375
1993-09-16,2.9375
1993-09-17,2.9375
1993-09-20,2.96875
1993-09-21,3.0
1993-09-22,2.9375
1993-09-23,3.03125
1993-09-24,3.03125
1993-09-27,3.03125
1993-09-28,3.09375
1993-09-29,3.03125
1993-09-30,2.90625
1993-10-01,2.96875
1993-10-04,2.96875
1993-10-05,2.96875
1993-10-06,2.96875
1993-10-07,3.03125
1993-10-08,3.09375
1993-10-11,3.09375
1993-10-12,3.3125
1993-10-13,3.25
1993-10-14,3.28125
1993-10-15,3.5625
1993-10-18,3.625
1993-10-19,3.625
1993-10-20,3.6875
1993-10-21,3.875
1993-10-22,3.6875
1993-10-25,3.625
1993-10-26,3.75
1993-10-27,3.90625
1993-10-28,3.90625
1993-10-29,3.84375
1993-11-01,3.84375
1993-11-02,3.96875
1993-11-03,3.84375
1993-11-04,3.875
1993-11-05,3.71875
1993-11-08,3.71875
1993-11-09,3.6875
1993-11-10,3.6875
1993-11-11,3.71875
1993-11-12,3.6875
1993-11-15,3.59375
1993-11-16,3.59375
1993-11-17,3.65625
1993-11-18,3.59375
1993-11-19,3.5625
1993-11-22,3.53125
1993-11-23,3.53125
1993-11-24,3.5
1993-11-26,3.53125
1993-11-29,3.5
1993-11-30,3.4375
1993-12-01,3.6875
1993-12-02,3.78125
1993-12-03,3.71875
1993-12-06,3.8125
1993-12-07,3.828125
1993-12-08,3.71875
1993-12-09,3.75
