Date,FMC
1981-01-28,1.3551600000000001
1981-01-29,1.3334780000000002
1981-01-30,1.311795
1981-02-02,1.2901129999999998
1981-02-03,1.311795
1981-02-04,1.328057
1981-02-05,1.322637
1981-02-06,1.317216
1981-02-09,1.328057
1981-02-10,1.306375
1981-02-11,1.295533
1981-02-12,1.2792709999999998
1981-02-13,1.26843
1981-02-17,1.252168
1981-02-18,1.2575889999999998
1981-02-19,1.284692
1981-02-20,1.2901129999999998
1981-02-23,1.2901129999999998
1981-02-24,1.311795
1981-02-25,1.26843
1981-02-26,1.2901129999999998
1981-02-27,1.311795
1981-03-02,1.3009540000000002
1981-03-03,1.2901129999999998
1981-03-04,1.2901129999999998
1981-03-05,1.2901129999999998
1981-03-06,1.284692
1981-03-09,1.34974
1981-03-10,1.376843
1981-03-11,1.34974
1981-03-12,1.366002
1981-03-13,1.366002
1981-03-16,1.3551600000000001
1981-03-17,1.338899
1981-03-18,1.376843
1981-03-19,1.366002
1981-03-20,1.366002
1981-03-23,1.409367
1981-03-24,1.403946
1981-03-25,1.425629
1981-03-26,1.425629
1981-03-27,1.414788
1981-03-30,1.463573
1981-03-31,1.512359
1981-04-01,1.528621
1981-04-02,1.5069379999999999
1981-04-03,1.5069379999999999
1981-04-06,1.485256
1981-04-07,1.425629
1981-04-08,1.458153
1981-04-09,1.51778
1981-04-10,1.51778
1981-04-13,1.474415
1981-04-14,1.463573
1981-04-15,1.463573
1981-04-16,1.463573
1981-04-20,1.474415
1981-04-21,1.420208
1981-04-22,1.474415
1981-04-23,1.4689940000000001
1981-04-24,1.485256
1981-04-27,1.479835
1981-04-28,1.474415
1981-04-29,1.458153
1981-04-30,1.4364700000000001
1981-05-01,1.414788
1981-05-04,1.398526
1981-05-05,1.398526
1981-05-06,1.387684
1981-05-07,1.382264
1981-05-08,1.376843
1981-05-11,1.3551600000000001
1981-05-12,1.366002
1981-05-13,1.3551600000000001
1981-05-14,1.398526
1981-05-15,1.393105
1981-05-18,1.420208
1981-05-19,1.409367
1981-05-20,1.414788
1981-05-21,1.371422
1981-05-22,1.371422
1981-05-26,1.360581
1981-05-27,1.414788
1981-05-28,1.403946
1981-05-29,1.371422
1981-06-01,1.34974
1981-06-02,1.322637
1981-06-03,1.3334780000000002
1981-06-04,1.338899
1981-06-05,1.311795
1981-06-08,1.311795
1981-06-09,1.3009540000000002
1981-06-10,1.2901129999999998
1981-06-11,1.3009540000000002
1981-06-12,1.3009540000000002
1981-06-15,1.317216
1981-06-16,1.322637
1981-06-17,1.322637
1981-06-18,1.387684
1981-06-19,1.393105
1981-06-22,1.387684
1981-06-23,1.420208
1981-06-24,1.425629
1981-06-25,1.463573
1981-06-26,1.485256
1981-06-29,1.447311
1981-06-30,1.441891
1981-07-01,1.420208
1981-07-02,1.403946
1981-07-06,1.382264
1981-07-07,1.344319
1981-07-08,1.317216
1981-07-09,1.382264
1981-07-10,1.3551600000000001
1981-07-13,1.366002
1981-07-14,1.344319
1981-07-15,1.3551600000000001
1981-07-16,1.34974
1981-07-17,1.3334780000000002
1981-07-20,1.3334780000000002
1981-07-21,1.3551600000000001
1981-07-22,1.322637
1981-07-23,1.338899
1981-07-24,1.3551600000000001
1981-07-27,1.344319
1981-07-28,1.338899
1981-07-29,1.3334780000000002
1981-07-30,1.344319
1981-07-31,1.344319
1981-08-03,1.3334780000000002
1981-08-04,1.3334780000000002
1981-08-05,1.344319
1981-08-06,1.34974
1981-08-07,1.344319
1981-08-10,1.344319
1981-08-11,1.322637
1981-08-12,1.338899
1981-08-13,1.322637
1981-08-14,1.328057
1981-08-17,1.2901129999999998
1981-08-18,1.3009540000000002
