Date,DTE
1962-01-02,30.375
1962-01-03,30.125
1962-01-04,29.875
1962-01-05,29.25
1962-01-08,29.3125
1962-01-09,29.375
1962-01-10,29.5
1962-01-11,29.625
1962-01-12,29.9375
1962-01-15,29.5
1962-01-16,29.5
1962-01-17,29.5
1962-01-18,29.3125
1962-01-19,29.1875
1962-01-22,29.4375
1962-01-23,29.3125
1962-01-24,29.0625
1962-01-25,29.0
1962-01-26,29.0625
1962-01-29,28.625
1962-01-30,28.5
1962-01-31,28.1875
1962-02-01,28.375
1962-02-02,28.5
1962-02-05,28.625
1962-02-06,28.625
1962-02-07,29.25
1962-02-08,29.625
1962-02-09,29.75
1962-02-12,30.25
1962-02-13,30.25
1962-02-14,29.875
1962-02-15,30.125
1962-02-16,29.75
1962-02-19,29.9375
1962-02-20,29.8125
1962-02-21,29.75
1962-02-23,29.875
1962-02-26,29.9375
1962-02-27,30.0
1962-02-28,30.0
1962-03-01,29.75
1962-03-02,29.75
1962-03-05,29.75
1962-03-06,29.5
1962-03-07,29.5
1962-03-08,29.75
1962-03-09,29.625
1962-03-12,29.3125
1962-03-13,29.375
1962-03-14,29.5
1962-03-15,29.75
1962-03-16,30.0
1962-03-19,29.8125
1962-03-20,29.8125
1962-03-21,30.0
1962-03-22,30.125
1962-03-23,30.0
1962-03-26,29.75
1962-03-27,29.6875
1962-03-28,29.5625
1962-03-29,29.375
1962-03-30,29.375
1962-04-02,29.375
1962-04-03,28.8125
1962-04-04,28.8125
1962-04-05,28.8125
1962-04-06,28.875
1962-04-09,28.375
1962-04-10,28.5
1962-04-11,28.875
1962-04-12,28.5
1962-04-13,28.5
1962-04-16,28.6875
1962-04-17,29.0
1962-04-18,29.0
1962-04-19,29.4375
1962-04-23,29.75
1962-04-24,29.625
1962-04-25,29.4375
1962-04-26,29.5625
1962-04-27,29.5625
1962-04-30,29.5
1962-05-01,29.4375
1962-05-02,29.375
1962-05-03,29.4375
1962-05-04,29.5
1962-05-07,29.5
1962-05-08,29.4375
1962-05-09,29.375
1962-05-10,29.1875
1962-05-11,29.125
1962-05-14,28.6875
1962-05-15,28.625
1962-05-16,28.5
1962-05-17,28.5
1962-05-18,28.4375
1962-05-21,28.375
1962-05-22,28.375
1962-05-23,28.3125
1962-05-24,28.25
1962-05-25,27.9375
1962-05-28,26.125
1962-05-29,24.75
1962-05-31,25.875
1962-06-01,26.9375
1962-06-04,26.5
1962-06-05,26.5
1962-06-06,26.8125
1962-06-07,26.75
1962-06-08,27.0
1962-06-11,27.25
1962-06-12,26.75
1962-06-13,26.5
1962-06-14,26.0
1962-06-15,26.0
1962-06-18,26.0
1962-06-19,25.75
1962-06-20,25.5
1962-06-21,25.4375
1962-06-22,25.0
1962-06-25,24.375
1962-06-26,24.375
