Date,NLSN
2015-10-21,45.849998
2015-10-22,47.419998
2015-10-23,48.27
2015-10-26,48.380001
2015-10-27,47.77
2015-10-28,48.349998
2015-10-29,47.950001
2015-10-30,47.509997999999996
2015-11-02,47.720001
2015-11-03,47.799999
2015-11-04,47.59
2015-11-05,47.84
2015-11-06,48.049999
2015-11-09,47.869999
2015-11-10,47.490002000000004
2015-11-11,47.52
2015-11-12,47.18
2015-11-13,46.450001
2015-11-16,46.830002
2015-11-17,46.639998999999996
2015-11-18,47.880001
2015-11-19,47.669998
2015-11-20,47.709998999999996
2015-11-23,47.259997999999996
2015-11-24,46.93
2015-11-25,46.759997999999996
2015-11-27,47.099998
2015-11-30,46.68
2015-12-01,47.459998999999996
2015-12-02,46.639998999999996
2015-12-03,45.669998
2015-12-04,46.889998999999996
2015-12-07,46.68
2015-12-08,45.610001000000004
2015-12-09,45.09
2015-12-10,45.700001
2015-12-11,45.459998999999996
2015-12-14,44.779999
2015-12-15,46.080002
2015-12-16,46.98
2015-12-17,46.25
2015-12-18,45.639998999999996
2015-12-21,46.18
2015-12-22,46.259997999999996
2015-12-23,46.59
2015-12-24,46.470001
2015-12-28,46.959998999999996
2015-12-29,47.34
2015-12-30,47.040001000000004
2015-12-31,46.599998
2016-01-04,45.669998
2016-01-05,46.400002
2016-01-06,46.130001
2016-01-07,45.139998999999996
2016-01-08,44.330002
2016-01-11,44.990002000000004
2016-01-12,45.290001000000004
2016-01-13,44.619999
2016-01-14,45.700001
2016-01-15,44.689999
2016-01-19,45.02
2016-01-20,43.939999
2016-01-21,43.889998999999996
2016-01-22,45.310001
2016-01-25,44.73
2016-01-26,45.57
2016-01-27,45.91
2016-01-28,46.860001000000004
2016-01-29,48.16
2016-02-01,48.029999
2016-02-02,47.209998999999996
2016-02-03,46.700001
2016-02-04,46.700001
2016-02-05,45.630001
2016-02-08,44.720001
2016-02-09,45.130001
2016-02-10,45.419998
2016-02-11,47.330002
2016-02-12,47.290001000000004
2016-02-16,47.990002000000004
2016-02-17,48.41
2016-02-18,47.849998
2016-02-19,48.09
2016-02-22,49.450001
2016-02-23,48.720001
2016-02-24,49.450001
2016-02-25,49.66
2016-02-26,49.75
2016-02-29,50.34
2016-03-01,50.599998
2016-03-02,50.779999
2016-03-03,51.23
2016-03-04,51.73
2016-03-07,51.860001000000004
2016-03-08,51.119999
2016-03-09,50.639998999999996
2016-03-10,50.389998999999996
2016-03-11,50.669998
2016-03-14,51.029999
2016-03-15,51.060001
2016-03-16,51.790001000000004
2016-03-17,52.84
2016-03-18,52.27
2016-03-21,52.009997999999996
2016-03-22,51.799999
2016-03-23,51.93
2016-03-24,52.0
2016-03-28,52.220001
2016-03-29,52.380001
2016-03-30,52.799999
2016-03-31,52.66
2016-04-01,53.450001
2016-04-04,53.009997999999996
2016-04-05,52.330002
2016-04-06,52.619999
2016-04-07,52.290001000000004
2016-04-08,52.509997999999996
2016-04-11,52.66
2016-04-12,52.900002
2016-04-13,53.189999
2016-04-14,52.959998999999996
2016-04-15,52.700001
2016-04-18,53.259997999999996
2016-04-19,53.959998999999996
2016-04-20,52.860001000000004
2016-04-21,51.860001000000004
2016-04-22,51.919998
2016-04-25,51.630001
2016-04-26,51.98
2016-04-27,51.560001
2016-04-28,51.779999
2016-04-29,52.139998999999996
2016-05-02,52.509997999999996
2016-05-03,51.560001
2016-05-04,51.330002
2016-05-05,50.98
2016-05-06,51.279999
2016-05-09,51.700001
2016-05-10,52.389998999999996
2016-05-11,52.040001000000004
2016-05-12,52.299999
2016-05-13,52.060001
2016-05-16,52.34
2016-05-17,51.990002000000004
2016-05-18,51.970001
2016-05-19,51.59
2016-05-20,52.200001
2016-05-23,52.220001
2016-05-24,53.009997999999996
2016-05-25,52.950001
2016-05-26,53.360001000000004
2016-05-27,53.720001
2016-05-31,53.389998999999996
2016-06-01,53.59
2016-06-02,53.720001
2016-06-03,53.700001
2016-06-06,54.299999
2016-06-07,53.900002
2016-06-08,54.689999
2016-06-09,54.98
2016-06-10,54.41
2016-06-13,53.900002
2016-06-14,54.349998
2016-06-15,54.130001
2016-06-16,53.889998999999996
2016-06-17,53.41
2016-06-20,53.599998
2016-06-21,53.529999
2016-06-22,53.470001
2016-06-23,53.689999
2016-06-24,51.099998
2016-06-27,50.169998
2016-06-28,51.029999
2016-06-29,51.939999
2016-06-30,51.970001
2016-07-01,52.130001
2016-07-05,51.66
2016-07-06,52.18
2016-07-07,52.25
2016-07-08,52.869999
2016-07-11,53.389998999999996
2016-07-12,53.919998
2016-07-13,53.77
2016-07-14,54.029999
2016-07-15,54.18
2016-07-18,54.029999
2016-07-19,54.380001
2016-07-20,55.09
2016-07-21,55.419998
2016-07-22,55.810001
2016-07-25,55.220001
2016-07-26,54.189999
2016-07-27,54.049999
2016-07-28,54.150002
2016-07-29,53.860001000000004
2016-08-01,53.490002000000004
2016-08-02,53.200001
2016-08-03,53.349998
2016-08-04,52.959998999999996
2016-08-05,52.91
2016-08-08,52.91
2016-08-09,52.68
2016-08-10,52.869999
2016-08-11,52.759997999999996
2016-08-12,52.959998999999996
2016-08-15,52.93
2016-08-16,52.759997999999996
2016-08-17,53.049999
2016-08-18,53.150002
2016-08-19,53.150002
