Date,BMY
1972-06-01,1.866375
1972-06-02,1.8849650000000002
1972-06-05,1.888682
1972-06-06,1.877529
1972-06-07,1.8738110000000001
1972-06-08,1.8849650000000002
1972-06-09,1.862657
1972-06-12,1.866375
1972-06-13,1.870093
1972-06-14,1.844068
1972-06-15,1.858939
1972-06-16,1.844068
1972-06-19,1.8477860000000002
1972-06-20,1.858939
1972-06-21,1.862657
1972-06-22,1.844068
1972-06-23,1.821761
1972-06-26,1.836632
1972-06-27,1.832914
1972-06-28,1.836632
1972-06-29,1.8477860000000002
1972-06-30,1.858939
1972-07-03,1.851504
1972-07-05,1.858939
1972-07-06,1.858939
1972-07-07,1.858939
1972-07-10,1.858939
1972-07-11,1.8477860000000002
1972-07-12,1.8477860000000002
1972-07-13,1.8552220000000001
1972-07-14,1.858939
1972-07-17,1.84035
1972-07-18,1.84035
1972-07-19,1.8477860000000002
1972-07-20,1.866375
1972-07-21,1.8812470000000001
1972-07-24,1.8812470000000001
1972-07-25,1.9035540000000002
1972-07-26,1.896118
1972-07-27,1.9109900000000002
1972-07-28,1.914708
1972-07-31,1.914708
1972-08-01,1.933297
1972-08-02,2.0076549999999997
1972-08-03,2.048551
1972-08-04,2.067141
1972-08-07,2.052269
1972-08-08,2.055987
1972-08-09,2.0820119999999998
1972-08-10,2.1526520000000002
1972-08-11,2.141498
1972-08-14,2.089448
1972-08-15,2.078294
1972-08-16,2.055987
1972-08-17,2.037398
1972-08-18,2.041116
1972-08-21,2.029962
1972-08-22,2.063423
1972-08-23,2.022526
1972-08-24,2.000219
1972-08-25,1.9965009999999999
1972-08-28,1.989065
1972-08-29,2.000219
1972-08-30,1.989065
1972-08-31,2.041116
1972-09-01,2.037398
1972-09-05,2.022526
1972-09-06,2.000219
1972-09-07,2.000219
1972-09-08,2.000219
1972-09-11,1.9853470000000002
1972-09-12,1.970476
1972-09-13,1.9556040000000001
1972-09-14,1.9741939999999998
1972-09-15,1.9667580000000002
1972-09-18,1.9741939999999998
1972-09-19,1.977912
1972-09-20,1.977912
1972-09-21,1.9630400000000001
1972-09-22,1.9630400000000001
1972-09-25,1.922143
1972-09-26,1.9109900000000002
1972-09-27,1.9556040000000001
1972-09-28,1.944451
1972-09-29,1.9295790000000002
1972-10-02,1.9035540000000002
1972-10-03,1.8849650000000002
1972-10-04,1.8849650000000002
1972-10-05,1.851504
1972-10-06,1.8738110000000001
1972-10-09,1.9035540000000002
1972-10-10,1.896118
1972-10-11,1.8924
1972-10-12,1.8812470000000001
1972-10-13,1.899836
1972-10-16,1.8849650000000002
1972-10-17,1.970476
1972-10-18,1.981629
1972-10-19,1.9556040000000001
1972-10-20,1.9407330000000003
