Date,NI
1973-02-21,4.813359999999999
1973-02-22,4.666012
1973-02-23,4.739686
1973-02-26,4.69057
1973-02-27,4.69057
1973-02-28,4.616896
1973-03-01,4.592338
1973-03-02,4.543222
1973-03-05,4.543222
1973-03-06,4.518664
1973-03-07,4.518664
1973-03-08,4.518664
1973-03-09,4.4941059999999995
1973-03-12,4.44499
1973-03-13,4.518664
1973-03-14,4.518664
1973-03-15,4.420432
1973-03-16,4.346758
1973-03-19,4.371316
1973-03-20,4.346758
1973-03-21,4.395875
1973-03-22,4.395875
1973-03-23,4.3222
1973-03-26,4.3222
1973-03-27,4.297642
1973-03-28,4.3222
1973-03-29,4.395875
1973-03-30,4.420432
1973-04-02,4.44499
1973-04-03,4.44499
1973-04-04,4.4941059999999995
1973-04-05,4.4941059999999995
1973-04-06,4.4941059999999995
1973-04-09,4.518664
1973-04-10,4.420432
1973-04-11,4.4941059999999995
1973-04-12,4.543222
1973-04-13,4.44499
1973-04-16,4.4941059999999995
1973-04-17,4.518664
1973-04-18,4.4941059999999995
1973-04-19,4.420432
1973-04-23,4.4695480000000005
1973-04-24,4.44499
1973-04-25,4.371316
1973-04-26,4.371316
1973-04-27,4.3222
1973-04-30,4.273085
1973-05-01,4.223969
1973-05-02,4.223969
1973-05-03,4.297642
1973-05-04,4.395875
1973-05-07,4.395875
1973-05-08,4.4941059999999995
1973-05-09,4.518664
1973-05-10,4.4941059999999995
1973-05-11,4.4941059999999995
1973-05-14,4.4941059999999995
1973-05-15,4.4695480000000005
1973-05-16,4.4941059999999995
1973-05-17,4.44499
1973-05-18,4.4695480000000005
1973-05-21,4.4941059999999995
1973-05-22,4.518664
1973-05-23,4.56778
1973-05-24,4.543222
1973-05-25,4.56778
1973-05-29,4.592338
1973-05-30,4.616896
1973-05-31,4.666012
1973-06-01,4.592338
1973-06-04,4.616896
1973-06-05,4.56778
1973-06-06,4.592338
1973-06-07,4.592338
1973-06-08,4.641454
1973-06-11,4.69057
1973-06-12,4.715127
1973-06-13,4.788802
1973-06-14,4.739686
1973-06-15,4.715127
1973-06-18,4.69057
1973-06-19,4.616896
1973-06-20,4.69057
1973-06-21,4.641454
1973-06-22,4.69057
1973-06-25,4.69057
1973-06-26,4.641454
1973-06-27,4.666012
1973-06-28,4.641454
1973-06-29,4.616896
1973-07-02,4.56778
1973-07-03,4.4941059999999995
1973-07-05,4.4695480000000005
1973-07-06,4.420432
1973-07-09,4.346758
1973-07-10,4.420432
1973-07-11,4.395875
1973-07-12,4.174853
1973-07-13,4.125737
1973-07-16,4.174853
1973-07-17,4.174853
1973-07-18,4.174853
1973-07-19,4.125737
1973-07-20,4.125737
1973-07-23,4.101179
1973-07-24,4.0520629999999995
1973-07-25,4.027505000000001
1973-07-26,3.978389
