Date,DFS
2008-05-27,17.15
2008-05-28,17.16
2008-05-29,17.25
2008-05-30,17.15
2008-06-02,16.299999
2008-06-03,15.8
2008-06-04,15.94
2008-06-05,16.870001000000002
2008-06-06,15.7
2008-06-09,15.33
2008-06-10,15.2
2008-06-11,14.52
2008-06-12,15.3
2008-06-13,15.65
2008-06-16,16.129998999999998
2008-06-17,15.48
2008-06-18,15.25
2008-06-19,14.82
2008-06-20,14.41
2008-06-23,14.56
2008-06-24,15.04
2008-06-25,14.33
2008-06-26,13.15
2008-06-27,13.57
2008-06-30,13.17
2008-07-01,14.0
2008-07-02,13.76
2008-07-03,13.78
2008-07-07,13.42
2008-07-08,14.17
2008-07-09,13.9
2008-07-10,13.95
2008-07-11,14.02
2008-07-14,12.93
2008-07-15,13.43
2008-07-16,14.77
2008-07-17,16.16
2008-07-18,16.33
2008-07-21,15.19
2008-07-22,14.62
2008-07-23,15.32
2008-07-24,13.82
2008-07-25,14.05
2008-07-28,13.35
2008-07-29,14.61
2008-07-30,14.92
2008-07-31,14.65
2008-08-01,14.99
2008-08-04,14.51
2008-08-05,15.34
2008-08-06,15.06
2008-08-07,14.29
2008-08-08,14.97
2008-08-11,15.39
2008-08-12,14.34
2008-08-13,14.2
2008-08-14,14.63
2008-08-15,15.61
2008-08-18,15.07
2008-08-19,14.38
2008-08-20,14.59
2008-08-21,15.21
2008-08-22,15.6
2008-08-25,15.15
2008-08-26,15.5
2008-08-27,15.57
2008-08-28,16.26
2008-08-29,16.450001
2008-09-02,17.110001
2008-09-03,17.0
2008-09-04,16.129998999999998
2008-09-05,16.42
2008-09-08,17.34
2008-09-09,16.41
2008-09-10,16.809998999999998
2008-09-11,17.08
2008-09-12,17.629998999999998
2008-09-15,15.81
2008-09-16,15.46
2008-09-17,14.15
2008-09-18,14.67
2008-09-19,16.0
2008-09-22,15.29
2008-09-23,15.5
2008-09-24,15.22
2008-09-25,14.82
2008-09-26,13.92
2008-09-29,13.5
2008-09-30,13.82
2008-10-01,13.78
2008-10-02,12.96
2008-10-03,11.07
2008-10-06,10.7
2008-10-07,9.74
2008-10-08,9.99
2008-10-09,9.63
2008-10-10,9.57
2008-10-13,10.6
2008-10-14,11.76
2008-10-15,10.02
2008-10-16,10.31
2008-10-17,10.74
2008-10-20,11.8
2008-10-21,10.97
2008-10-22,10.29
2008-10-23,10.52
2008-10-24,10.14
2008-10-27,9.68
2008-10-28,11.65
2008-10-29,11.14
2008-10-30,11.28
2008-10-31,12.25
2008-11-03,11.99
2008-11-04,12.5
2008-11-05,12.07
2008-11-06,11.77
2008-11-07,11.83
2008-11-10,11.0
2008-11-11,10.05
2008-11-12,9.07
2008-11-13,9.58
2008-11-14,9.47
2008-11-17,8.97
2008-11-18,8.06
2008-11-19,7.41
2008-11-20,6.67
2008-11-21,7.65
2008-11-24,9.74
2008-11-25,9.67
2008-11-26,10.21
2008-11-28,10.23
2008-12-01,9.4
2008-12-02,9.97
2008-12-03,10.4
2008-12-04,10.02
2008-12-05,10.88
2008-12-08,11.12
2008-12-09,10.35
2008-12-10,10.18
2008-12-11,9.11
2008-12-12,8.97
2008-12-15,8.73
2008-12-16,9.06
2008-12-17,8.58
2008-12-18,9.26
2008-12-19,9.33
2008-12-22,8.75
2008-12-23,8.67
2008-12-24,8.57
2008-12-26,8.37
2008-12-29,8.57
2008-12-30,8.98
2008-12-31,9.53
2009-01-02,9.51
2009-01-05,9.75
2009-01-06,9.71
2009-01-07,8.93
2009-01-08,8.9
2009-01-09,8.71
2009-01-12,8.66
2009-01-13,8.61
2009-01-14,7.94
2009-01-15,7.61
2009-01-16,7.6
2009-01-20,7.43
2009-01-21,7.94
2009-01-22,7.39
2009-01-23,7.5
2009-01-26,7.41
2009-01-27,7.44
2009-01-28,7.91
2009-01-29,7.46
2009-01-30,7.15
2009-02-02,7.36
2009-02-03,7.22
2009-02-04,7.18
2009-02-05,7.14
2009-02-06,7.68
2009-02-09,7.96
2009-02-10,7.01
2009-02-11,7.21
2009-02-12,7.14
2009-02-13,7.01
2009-02-17,6.1
2009-02-18,6.3
2009-02-19,5.56
2009-02-20,5.74
2009-02-23,5.57
2009-02-24,6.19
2009-02-25,6.0
2009-02-26,6.18
2009-02-27,5.73
2009-03-02,5.14
2009-03-03,5.28
2009-03-04,5.52
2009-03-05,4.89
2009-03-06,4.95
2009-03-09,5.21
2009-03-10,6.06
2009-03-11,5.94
2009-03-12,6.62
2009-03-13,6.23
2009-03-16,6.25
2009-03-17,6.57
2009-03-18,7.24
2009-03-19,6.28
2009-03-20,5.51
2009-03-23,6.54
2009-03-24,6.03
2009-03-25,6.47
2009-03-26,7.14
2009-03-27,6.8
2009-03-30,5.78
2009-03-31,6.31
2009-04-01,6.47
2009-04-02,6.59
2009-04-03,6.75
2009-04-06,6.56
2009-04-07,6.4
2009-04-08,6.83
2009-04-09,8.19
2009-04-13,8.45
2009-04-14,7.57
2009-04-15,8.15
2009-04-16,8.36
2009-04-17,8.55
2009-04-20,7.49
2009-04-21,8.23
2009-04-22,8.03
2009-04-23,8.51
2009-04-24,9.09
2009-04-27,8.08
2009-04-28,8.33
2009-04-29,8.48
2009-04-30,8.13
2009-05-01,8.12
2009-05-04,8.98
2009-05-05,9.11
2009-05-06,10.33
2009-05-07,10.36
2009-05-08,10.66
2009-05-11,9.68
2009-05-12,9.15
2009-05-13,8.54
2009-05-14,8.75
2009-05-15,8.59
2009-05-18,9.22
2009-05-19,8.83
2009-05-20,8.68
2009-05-21,8.59
2009-05-22,8.36
2009-05-26,8.89
2009-05-27,8.62
2009-05-28,9.1
2009-05-29,9.56
2009-06-01,10.09
2009-06-02,9.64
2009-06-03,9.41
2009-06-04,9.44
2009-06-05,9.41
2009-06-08,9.18
2009-06-09,9.67
2009-06-10,9.74
2009-06-11,9.65
2009-06-12,9.3
2009-06-15,9.48
2009-06-16,9.1
2009-06-17,8.91
2009-06-18,9.27
2009-06-19,9.32
2009-06-22,9.31
2009-06-23,9.18
2009-06-24,9.63
2009-06-25,10.22
2009-06-26,9.9
2009-06-29,10.69
2009-06-30,10.27
2009-07-01,10.27
2009-07-02,10.14
2009-07-06,10.5
2009-07-07,9.37
2009-07-08,9.12
2009-07-09,9.57
2009-07-10,9.61
2009-07-13,10.14
2009-07-14,10.22
2009-07-15,10.85
2009-07-16,11.08
2009-07-17,10.92
2009-07-20,11.35
2009-07-21,11.23
2009-07-22,11.39
2009-07-23,11.66
2009-07-24,12.06
2009-07-27,12.03
2009-07-28,11.93
2009-07-29,11.67
2009-07-30,11.99
2009-07-31,11.88
2009-08-03,12.23
2009-08-04,12.4
2009-08-05,12.53
2009-08-06,12.58
2009-08-07,12.76
2009-08-10,12.4
2009-08-11,12.28
2009-08-12,12.5
2009-08-13,12.6
2009-08-14,12.48
2009-08-17,12.13
2009-08-18,12.46
2009-08-19,12.52
2009-08-20,13.12
2009-08-21,13.51
2009-08-24,13.72
2009-08-25,13.62
2009-08-26,14.01
2009-08-27,13.98
2009-08-28,14.23
2009-08-31,13.75
2009-09-01,13.06
2009-09-02,12.98
2009-09-03,13.64
2009-09-04,13.55
2009-09-08,13.75
2009-09-09,14.3
2009-09-10,14.47
2009-09-11,14.71
2009-09-14,15.03
2009-09-15,15.14
2009-09-16,15.32
2009-09-17,15.52
2009-09-18,16.059998999999998
2009-09-21,16.030001000000002
2009-09-22,16.209999
2009-09-23,15.94
2009-09-24,15.9
2009-09-25,15.36
2009-09-28,16.41
2009-09-29,15.97
2009-09-30,16.23
2009-10-01,16.0
2009-10-02,15.33
2009-10-05,16.120001000000002
2009-10-06,16.66
2009-10-07,16.889999
2009-10-08,17.08
2009-10-09,16.200001
2009-10-12,16.33
