Date,SLB
1982-12-10,11.0
1982-12-13,11.0625
1982-12-14,10.5
1982-12-15,10.59375
1982-12-16,10.9375
1982-12-17,11.0625
1982-12-20,10.9375
1982-12-21,11.21875
1982-12-22,11.40625
1982-12-23,11.625
1982-12-27,11.78125
1982-12-28,11.375
1982-12-29,11.3125
1982-12-30,11.5
1982-12-31,11.65625
1983-01-03,11.40625
1983-01-04,11.90625
1983-01-05,12.40625
1983-01-06,12.78125
1983-01-07,12.625
1983-01-10,12.3125
1983-01-11,12.3125
1983-01-12,12.4375
1983-01-13,12.125
1983-01-14,12.40625
1983-01-17,12.6875
1983-01-18,12.25
1983-01-19,12.03125
1983-01-20,12.53125
1983-01-21,12.5625
1983-01-24,11.78125
1983-01-25,11.4375
1983-01-26,11.3125
1983-01-27,11.4375
1983-01-28,11.46875
1983-01-31,11.34375
1983-02-01,10.75
1983-02-02,10.75
1983-02-03,10.65625
1983-02-04,10.84375
1983-02-07,11.1875
1983-02-08,11.03125
1983-02-09,10.875
1983-02-10,11.3125
1983-02-11,11.25
1983-02-14,11.28125
1983-02-15,11.09375
1983-02-16,11.03125
1983-02-17,10.9375
1983-02-18,10.9375
1983-02-22,10.25
1983-02-23,10.21875
1983-02-24,10.6875
1983-02-25,10.625
1983-02-28,9.78125
1983-03-01,10.25
1983-03-02,10.46875
1983-03-03,10.875
1983-03-04,10.65625
1983-03-07,10.46875
1983-03-08,10.46875
1983-03-09,10.90625
1983-03-10,10.5625
1983-03-11,10.4375
1983-03-14,10.4375
1983-03-15,10.59375
1983-03-16,9.8125
1983-03-17,9.78125
1983-03-18,9.625
1983-03-21,9.90625
1983-03-22,9.65625
1983-03-23,9.84375
1983-03-24,9.90625
1983-03-25,9.6875
1983-03-28,9.6875
1983-03-29,9.875
1983-03-30,10.15625
1983-03-31,10.6875
1983-04-04,10.65625
1983-04-05,10.28125
1983-04-06,10.28125
1983-04-07,10.34375
1983-04-08,10.5625
1983-04-11,10.78125
1983-04-12,10.59375
1983-04-13,10.6875
1983-04-14,10.8125
1983-04-15,10.46875
1983-04-18,10.375
1983-04-19,10.34375
1983-04-20,10.46875
1983-04-21,10.34375
1983-04-22,10.28125
1983-04-25,10.1875
1983-04-26,10.875
1983-04-27,10.90625
1983-04-28,11.03125
1983-04-29,11.28125
1983-05-02,11.3125
1983-05-03,11.625
1983-05-04,11.34375
1983-05-05,11.28125
1983-05-06,11.375
1983-05-09,11.375
1983-05-10,11.3125
1983-05-11,11.5625
1983-05-12,11.4375
1983-05-13,11.59375
1983-05-16,11.5
1983-05-17,11.6875
1983-05-18,11.6875
1983-05-19,11.53125
1983-05-20,11.65625
1983-05-23,11.90625
1983-05-24,12.1875
1983-05-25,12.375
1983-05-26,12.09375
1983-05-27,12.09375
1983-05-31,12.125
1983-06-01,11.90625
1983-06-02,12.03125
1983-06-03,11.9375
1983-06-06,11.96875
1983-06-07,11.53125
1983-06-08,11.34375
1983-06-09,11.8125
1983-06-10,12.0625
1983-06-13,12.09375
1983-06-14,12.375
1983-06-15,12.3125
1983-06-16,12.75
1983-06-17,12.875
1983-06-20,13.125
1983-06-21,13.625
1983-06-22,14.15625
1983-06-23,13.90625
1983-06-24,13.71875
1983-06-27,13.34375
1983-06-28,13.125
1983-06-29,13.1875
1983-06-30,13.5
1983-07-01,13.6875
1983-07-05,13.90625
1983-07-06,14.8125
1983-07-07,14.4375
1983-07-08,14.25
1983-07-11,14.21875
1983-07-12,14.09375
1983-07-13,14.0
1983-07-14,14.03125
1983-07-15,13.84375
1983-07-18,13.75
1983-07-19,13.90625
1983-07-20,14.4375
1983-07-21,14.34375
1983-07-22,14.375
1983-07-25,14.5
1983-07-26,14.71875
1983-07-27,14.65625
1983-07-28,14.03125
1983-07-29,13.4375
1983-08-01,13.78125
1983-08-02,13.875
1983-08-03,14.125
1983-08-04,14.0625
1983-08-05,14.46875
1983-08-08,14.5
1983-08-09,14.65625
1983-08-10,14.96875
1983-08-11,15.0
1983-08-12,15.375
1983-08-15,15.375
1983-08-16,15.21875
1983-08-17,15.46875
1983-08-18,15.1875
1983-08-19,15.28125
1983-08-22,15.375
1983-08-23,15.0
1983-08-24,14.71875
1983-08-25,14.75
1983-08-26,14.6875
1983-08-29,14.84375
1983-08-30,14.5625
1983-08-31,14.34375
1983-09-01,14.46875
1983-09-02,15.0625
1983-09-06,14.8125
1983-09-07,14.53125
1983-09-08,14.46875
1983-09-09,14.375
1983-09-12,14.03125
1983-09-13,13.875
1983-09-14,13.875
1983-09-15,13.84375
1983-09-16,13.96875
1983-09-19,14.21875
1983-09-20,14.34375
1983-09-21,13.9375
1983-09-22,14.1875
1983-09-23,14.15625
1983-09-26,14.09375
1983-09-27,13.71875
1983-09-28,13.8125
1983-09-29,14.0
1983-09-30,13.65625
1983-10-03,13.25
1983-10-04,12.9375
1983-10-05,12.96875
1983-10-06,13.4375
1983-10-07,13.53125
1983-10-10,14.125
1983-10-11,13.59375
1983-10-12,13.6875
1983-10-13,13.5
1983-10-14,13.4375
1983-10-17,13.78125
1983-10-18,13.34375
1983-10-19,13.5625
1983-10-20,13.34375
1983-10-21,13.15625
1983-10-24,13.40625
1983-10-25,13.53125
1983-10-26,13.46875
1983-10-27,13.15625
1983-10-28,13.15625
1983-10-31,13.0625
1983-11-01,13.0625
1983-11-02,13.3125
1983-11-03,13.0
1983-11-04,12.90625
1983-11-07,12.59375
1983-11-08,12.4375
1983-11-09,12.90625
1983-11-10,12.9375
1983-11-11,12.6875
1983-11-14,12.625
1983-11-15,12.5
1983-11-16,12.65625
1983-11-17,12.625
1983-11-18,12.03125
1983-11-21,11.75
1983-11-22,11.5625
1983-11-23,12.03125
1983-11-25,12.09375
1983-11-28,12.21875
1983-11-29,12.3125
1983-11-30,11.96875
1983-12-01,11.8125
1983-12-02,11.8125
1983-12-05,12.03125
1983-12-06,12.0625
1983-12-07,11.9375
1983-12-08,11.9375
1983-12-09,11.84375
1983-12-12,12.03125
1983-12-13,11.9375
1983-12-14,11.875
1983-12-15,11.71875
1983-12-16,11.65625
1983-12-19,11.375
1983-12-20,11.34375
1983-12-21,11.78125
1983-12-22,12.03125
1983-12-23,11.96875
1983-12-27,12.5
1983-12-28,12.8125
1983-12-29,12.6875
1983-12-30,12.5
1984-01-03,12.28125
1984-01-04,12.8125
1984-01-05,12.6875
1984-01-06,12.4375
1984-01-09,12.1875
1984-01-10,11.53125
1984-01-11,11.75
1984-01-12,11.9375
1984-01-13,11.75
1984-01-16,11.71875
1984-01-17,11.78125
1984-01-18,11.5
1984-01-19,11.4375
1984-01-20,11.65625
1984-01-23,11.6875
1984-01-24,11.9375
1984-01-25,11.90625
1984-01-26,11.84375
1984-01-27,11.59375
1984-01-30,11.3125
1984-01-31,11.59375
1984-02-01,11.875
1984-02-02,11.46875
1984-02-03,11.09375
1984-02-06,11.15625
1984-02-07,11.375
1984-02-08,11.5
1984-02-09,11.34375
1984-02-10,11.15625
1984-02-13,11.09375
1984-02-14,10.96875
1984-02-15,11.0
1984-02-16,11.1875
1984-02-17,11.21875
1984-02-21,11.5
1984-02-22,11.84375
1984-02-23,11.9375
1984-02-24,11.96875
1984-02-27,12.25
1984-02-28,12.0
1984-02-29,12.0
1984-03-01,11.96875
1984-03-02,12.09375
1984-03-05,11.90625
1984-03-06,11.875
1984-03-07,11.6875
1984-03-08,11.75
1984-03-09,11.75
1984-03-12,12.1875
1984-03-13,12.25
1984-03-14,12.3125
1984-03-15,12.5625
1984-03-16,12.625
1984-03-19,12.65625
1984-03-20,13.0
1984-03-21,12.8125
1984-03-22,12.59375
1984-03-23,12.96875
1984-03-26,13.0625
1984-03-27,13.34375
