Date,APH
1991-11-08,0.578125
1991-11-11,0.578125
1991-11-12,0.578125
1991-11-13,0.5625
1991-11-14,0.546875
1991-11-15,0.515625
1991-11-18,0.484375
1991-11-19,0.484375
1991-11-20,0.492188
1991-11-21,0.46875
1991-11-22,0.445313
1991-11-25,0.460938
1991-11-26,0.460938
1991-11-27,0.476563
1991-11-29,0.484375
1991-12-02,0.492188
1991-12-03,0.507813
1991-12-04,0.523438
1991-12-05,0.539063
1991-12-06,0.539063
1991-12-09,0.53125
1991-12-10,0.507813
1991-12-11,0.492188
1991-12-12,0.507813
1991-12-13,0.523438
1991-12-16,0.523438
1991-12-17,0.507813
1991-12-18,0.492188
1991-12-19,0.484375
1991-12-20,0.484375
1991-12-23,0.507813
1991-12-24,0.539063
1991-12-26,0.5625
1991-12-27,0.5625
1991-12-30,0.554688
1991-12-31,0.5625
1992-01-02,0.554688
1992-01-03,0.5625
1992-01-06,0.578125
1992-01-07,0.59375
1992-01-08,0.617188
1992-01-09,0.601563
1992-01-10,0.601563
1992-01-13,0.609375
1992-01-14,0.609375
1992-01-15,0.609375
1992-01-16,0.632813
1992-01-17,0.632813
1992-01-20,0.609375
1992-01-21,0.601563
1992-01-22,0.585938
1992-01-23,0.585938
1992-01-24,0.585938
1992-01-27,0.585938
1992-01-28,0.578125
1992-01-29,0.570313
1992-01-30,0.585938
1992-01-31,0.570313
1992-02-03,0.585938
1992-02-04,0.539063
1992-02-05,0.523438
1992-02-06,0.523438
1992-02-07,0.539063
1992-02-10,0.53125
1992-02-11,0.523438
1992-02-12,0.53125
1992-02-13,0.53125
1992-02-14,0.515625
1992-02-18,0.515625
1992-02-19,0.5
1992-02-20,0.5
1992-02-21,0.507813
1992-02-24,0.492188
1992-02-25,0.492188
1992-02-26,0.515625
1992-02-27,0.507813
1992-02-28,0.515625
1992-03-02,0.507813
1992-03-03,0.507813
1992-03-04,0.53125
1992-03-05,0.523438
1992-03-06,0.515625
1992-03-09,0.507813
1992-03-10,0.507813
1992-03-11,0.492188
1992-03-12,0.484375
1992-03-13,0.492188
1992-03-16,0.484375
1992-03-17,0.484375
1992-03-18,0.492188
1992-03-19,0.476563
1992-03-20,0.492188
1992-03-23,0.5
1992-03-24,0.53125
1992-03-25,0.515625
1992-03-26,0.5
1992-03-27,0.515625
1992-03-30,0.5
1992-03-31,0.507813
1992-04-01,0.515625
1992-04-02,0.507813
1992-04-03,0.507813
1992-04-06,0.507813
1992-04-07,0.492188
1992-04-08,0.492188
1992-04-09,0.507813
1992-04-10,0.507813
1992-04-13,0.515625
1992-04-14,0.507813
1992-04-15,0.46875
1992-04-16,0.46875
1992-04-20,0.453125
1992-04-21,0.460938
1992-04-22,0.453125
1992-04-23,0.46875
1992-04-24,0.460938
1992-04-27,0.484375
1992-04-28,0.476563
1992-04-29,0.476563
1992-04-30,0.492188
1992-05-01,0.484375
1992-05-04,0.5
1992-05-05,0.476563
1992-05-06,0.476563
1992-05-07,0.492188
