Date,BLK
1999-10-01,14.125
1999-10-04,14.0
1999-10-05,14.125
1999-10-06,14.875
1999-10-07,14.125
1999-10-08,14.0625
1999-10-11,14.0625
1999-10-12,14.125
1999-10-13,14.0625
1999-10-14,13.625
1999-10-15,13.0625
1999-10-18,12.8125
1999-10-19,13.25
1999-10-20,13.125
1999-10-21,13.4375
1999-10-22,13.5
1999-10-25,13.9375
1999-10-26,14.0
1999-10-27,14.0625
1999-10-28,14.125
1999-10-29,15.25
1999-11-01,14.75
1999-11-02,14.75
1999-11-03,14.75
1999-11-04,14.9375
1999-11-05,15.75
1999-11-08,16.625
1999-11-09,16.125
1999-11-10,16.0625
1999-11-11,16.125
1999-11-12,18.0
1999-11-15,17.6875
1999-11-16,17.4375
1999-11-17,17.5
1999-11-18,17.25
1999-11-19,17.625
1999-11-22,17.8125
1999-11-23,19.125
1999-11-24,18.5625
1999-11-26,18.4375
1999-11-29,18.125
1999-11-30,18.375
1999-12-01,18.5625
1999-12-02,19.0
1999-12-03,19.1875
1999-12-06,18.375
1999-12-07,18.625
1999-12-08,18.1875
1999-12-09,18.25
1999-12-10,17.625
1999-12-13,17.4375
1999-12-14,17.125
1999-12-15,17.125
1999-12-16,16.8125
1999-12-17,17.125
1999-12-20,16.9375
1999-12-21,17.0
1999-12-22,17.1875
1999-12-23,17.125
1999-12-27,17.125
1999-12-28,17.375
1999-12-29,17.25
1999-12-30,17.3125
1999-12-31,17.1875
2000-01-03,16.625
2000-01-04,15.875
2000-01-05,15.75
2000-01-06,16.0
2000-01-07,15.875
2000-01-10,16.0
2000-01-11,16.4375
2000-01-12,17.125
2000-01-13,16.9375
2000-01-14,17.5
2000-01-18,18.0
2000-01-19,18.25
2000-01-20,17.5
2000-01-21,17.375
2000-01-24,17.125
2000-01-25,17.25
2000-01-26,17.4375
2000-01-27,17.5
2000-01-28,17.375
2000-01-31,17.5
2000-02-01,17.75
2000-02-02,17.9375
2000-02-03,18.0
2000-02-04,18.4375
2000-02-07,18.5
2000-02-08,18.5625
2000-02-09,18.375
2000-02-10,17.875
2000-02-11,17.9375
2000-02-14,18.0
2000-02-15,17.875
2000-02-16,18.5
2000-02-17,18.375
2000-02-18,18.5
2000-02-22,18.5625
2000-02-23,18.8125
2000-02-24,19.0
2000-02-25,19.25
2000-02-28,20.125
2000-02-29,21.875
2000-03-01,21.75
2000-03-02,22.0625
2000-03-03,22.125
2000-03-06,22.0625
2000-03-07,22.0
2000-03-08,22.0
2000-03-09,22.0
2000-03-10,22.125
2000-03-13,22.875
2000-03-14,22.875
2000-03-15,24.125
2000-03-16,24.375
2000-03-17,24.75
2000-03-20,24.0
2000-03-21,24.0
2000-03-22,22.625
2000-03-23,22.5
2000-03-24,22.4375
2000-03-27,22.0625
2000-03-28,20.0
2000-03-29,19.75
2000-03-30,20.4375
2000-03-31,20.25
2000-04-03,20.625
2000-04-04,20.75
2000-04-05,21.4375
2000-04-06,22.375
2000-04-07,24.25
2000-04-10,24.0
2000-04-11,24.0625
2000-04-12,23.875
2000-04-13,23.375
2000-04-14,23.0
2000-04-17,22.4375
2000-04-18,21.9375
2000-04-19,21.0
2000-04-20,21.125
2000-04-24,21.625
2000-04-25,24.0
2000-04-26,24.125
2000-04-27,24.3125
