Date,NUE
1980-03-17,0.796875
1980-03-18,0.807292
1980-03-19,0.833333
1980-03-20,0.822917
1980-03-21,0.807292
1980-03-24,0.776042
1980-03-25,0.721354
1980-03-26,0.723958
1980-03-27,0.661458
1980-03-28,0.744792
1980-03-31,0.773438
1980-04-01,0.8125
1980-04-02,0.8125
1980-04-03,0.825521
1980-04-07,0.809896
1980-04-08,0.773438
1980-04-09,0.760417
1980-04-10,0.773438
1980-04-11,0.78125
1980-04-14,0.765625
1980-04-15,0.760417
1980-04-16,0.760417
1980-04-17,0.747396
1980-04-18,0.739583
1980-04-21,0.710938
1980-04-22,0.729167
1980-04-23,0.757813
1980-04-24,0.776042
1980-04-25,0.78125
1980-04-28,0.8125
1980-04-29,0.815104
1980-04-30,0.854167
1980-05-01,0.822917
1980-05-02,0.817708
1980-05-05,0.848958
1980-05-06,0.875
1980-05-07,0.914063
1980-05-08,0.916667
1980-05-09,0.895833
1980-05-12,0.882813
1980-05-13,0.916667
1980-05-14,0.945313
1980-05-15,0.979167
1980-05-16,0.966146
1980-05-19,0.976563
1980-05-20,0.934896
1980-05-21,0.927083
1980-05-22,0.942708
1980-05-23,0.96875
1980-05-27,0.960938
1980-05-28,0.958333
1980-05-29,0.953125
1980-05-30,0.945313
1980-06-02,0.947917
1980-06-03,0.950521
1980-06-04,0.958333
1980-06-05,0.96875
1980-06-06,0.960938
1980-06-09,0.96875
1980-06-10,0.981771
1980-06-11,0.979167
1980-06-12,0.979167
1980-06-13,0.971354
1980-06-16,0.963542
1980-06-17,0.966146
1980-06-18,0.955729
1980-06-19,0.947917
1980-06-20,0.945313
1980-06-23,0.986979
1980-06-24,1.010417
1980-06-25,1.013021
1980-06-26,1.013021
1980-06-27,1.0
1980-06-30,0.984375
1980-07-01,0.989583
1980-07-02,0.994792
1980-07-03,1.005208
1980-07-07,1.036458
1980-07-08,1.057292
1980-07-09,1.078125
1980-07-10,1.09375
1980-07-11,1.140625
1980-07-14,1.1875
1980-07-15,1.177083
1980-07-16,1.1875
1980-07-17,1.177083
1980-07-18,1.21875
1980-07-21,1.213542
1980-07-22,1.231771
1980-07-23,1.213542
1980-07-24,1.213542
1980-07-25,1.200521
1980-07-28,1.1953129999999998
1980-07-29,1.205729
1980-07-30,1.229167
1980-07-31,1.223958
1980-08-01,1.229167
1980-08-04,1.2265629999999998
1980-08-05,1.260417
1980-08-06,1.278646
1980-08-07,1.3125
1980-08-08,1.28125
1980-08-11,1.291667
1980-08-12,1.307292
1980-08-13,1.302083
1980-08-14,1.302083
1980-08-15,1.299479
1980-08-18,1.28125
1980-08-19,1.255208
1980-08-20,1.208333
1980-08-21,1.234375
1980-08-22,1.270833
1980-08-25,1.255208
1980-08-26,1.229167
1980-08-27,1.182292
1980-08-28,1.158854
1980-08-29,1.158854
1980-09-02,1.1875
1980-09-03,1.265625
1980-09-04,1.265625
1980-09-05,1.25
1980-09-08,1.208333
1980-09-09,1.203125
1980-09-10,1.234375
1980-09-11,1.244792
1980-09-12,1.231771
1980-09-15,1.213542
1980-09-16,1.223958
1980-09-17,1.236979
1980-09-18,1.255208
1980-09-19,1.265625
1980-09-22,1.307292
1980-09-23,1.309896
1980-09-24,1.299479
1980-09-25,1.299479
1980-09-26,1.291667
1980-09-29,1.21875
1980-09-30,1.247396
1980-10-01,1.2578129999999998
1980-10-02,1.265625
1980-10-03,1.263021
1980-10-06,1.309896
1980-10-07,1.341146
1980-10-08,1.3125
1980-10-09,1.291667
1980-10-10,1.286458
1980-10-13,1.291667
1980-10-14,1.317708
1980-10-15,1.307292
1980-10-16,1.265625
1980-10-17,1.255208
1980-10-20,1.25
1980-10-21,1.25
1980-10-22,1.244792
1980-10-23,1.231771
1980-10-24,1.229167
1980-10-27,1.231771
1980-10-28,1.2265629999999998
1980-10-29,1.25
1980-10-30,1.265625
1980-10-31,1.25
1980-11-03,1.265625
1980-11-05,1.333333
1980-11-06,1.333333
1980-11-07,1.322917
1980-11-10,1.330729
1980-11-11,1.354167
