Date,MSCI
2008-10-15,18.5
2008-10-16,18.139999
2008-10-17,19.02
2008-10-20,19.120001000000002
2008-10-21,18.6
2008-10-22,17.16
2008-10-23,16.42
2008-10-24,15.29
2008-10-27,14.36
2008-10-28,14.55
2008-10-29,16.01
2008-10-30,17.0
2008-10-31,17.24
2008-11-03,16.9
2008-11-04,17.09
2008-11-05,16.5
2008-11-06,14.84
2008-11-07,15.15
2008-11-10,14.76
2008-11-11,13.8
2008-11-12,13.09
2008-11-13,14.17
2008-11-14,13.95
2008-11-17,12.92
2008-11-18,12.47
2008-11-19,12.11
2008-11-20,11.88
2008-11-21,12.6
2008-11-24,13.61
2008-11-25,14.26
2008-11-26,15.72
2008-11-28,15.43
2008-12-01,14.69
2008-12-02,14.86
2008-12-03,15.81
2008-12-04,14.94
2008-12-05,16.02
2008-12-08,16.719998999999998
2008-12-09,16.129998999999998
2008-12-10,16.77
2008-12-11,15.5
2008-12-12,16.41
2008-12-15,15.59
2008-12-16,16.0
2008-12-17,16.5
2008-12-18,16.67
2008-12-19,16.5
2008-12-22,15.69
2008-12-23,15.68
2008-12-24,16.110001
2008-12-26,17.1
2008-12-29,17.030001000000002
2008-12-30,16.959999
2008-12-31,17.76
2009-01-02,18.65
2009-01-05,16.620001000000002
2009-01-06,17.459999
2009-01-07,17.5
2009-01-08,18.43
2009-01-09,16.620001000000002
2009-01-12,15.62
2009-01-13,16.209999
2009-01-14,16.190001000000002
2009-01-15,16.74
2009-01-16,16.98
2009-01-20,16.33
2009-01-21,17.68
2009-01-22,16.77
2009-01-23,16.75
2009-01-26,17.23
2009-01-27,17.219998999999998
2009-01-28,18.440001000000002
2009-01-29,17.49
2009-01-30,17.360001
2009-02-02,18.18
2009-02-03,17.57
2009-02-04,17.26
2009-02-05,18.190001000000002
2009-02-06,17.1
2009-02-09,17.4
2009-02-10,17.0
2009-02-11,17.27
2009-02-12,17.690001000000002
2009-02-13,17.959999
2009-02-17,16.690001000000002
2009-02-18,16.26
2009-02-19,16.15
2009-02-20,16.629998999999998
2009-02-23,16.219998999999998
2009-02-24,16.84
2009-02-25,15.56
2009-02-26,16.110001
2009-02-27,15.76
2009-03-02,14.49
2009-03-03,14.09
2009-03-04,13.76
2009-03-05,13.2
2009-03-06,13.42
2009-03-09,13.28
2009-03-10,14.24
2009-03-11,14.8
2009-03-12,14.88
2009-03-13,14.95
2009-03-16,14.64
2009-03-17,14.86
2009-03-18,15.07
2009-03-19,15.75
2009-03-20,15.49
2009-03-23,16.17
2009-03-24,15.66
2009-03-25,16.049999
2009-03-26,16.02
2009-03-27,16.9
2009-03-30,16.4
2009-03-31,16.91
2009-04-01,17.0
2009-04-02,19.17
2009-04-03,19.959999
2009-04-06,20.26
2009-04-07,19.860001
2009-04-08,19.950001
2009-04-09,20.93
2009-04-13,20.709999
2009-04-14,20.27
2009-04-15,20.51
2009-04-16,20.98
2009-04-17,21.1
2009-04-20,19.66
2009-04-21,21.440001000000002
2009-04-22,21.41
2009-04-23,20.42
2009-04-24,20.4
2009-04-27,20.139999
2009-04-28,19.57
2009-04-29,20.51
