Date,ZION
1980-03-17,1.833333
1980-03-18,1.8125
1980-03-19,1.8125
1980-03-20,1.8125
1980-03-21,1.791667
1980-03-24,1.708333
1980-03-25,1.666667
1980-03-26,1.666667
1980-03-27,1.604167
1980-03-28,1.645833
1980-03-31,1.645833
1980-04-01,1.6875
1980-04-02,1.8125
1980-04-03,1.833333
1980-04-07,1.770833
1980-04-08,1.75
1980-04-09,1.75
1980-04-10,1.770833
1980-04-11,1.770833
1980-04-14,1.75
1980-04-15,1.770833
1980-04-16,1.875
1980-04-17,1.875
1980-04-18,1.895833
1980-04-21,1.916667
1980-04-22,1.916667
1980-04-23,1.979167
1980-04-24,2.041667
1980-04-25,2.020833
1980-04-28,2.041667
1980-04-29,2.041667
1980-04-30,2.041667
1980-05-01,2.041667
1980-05-02,2.041667
1980-05-05,2.041667
1980-05-06,2.0625
1980-05-07,2.083333
1980-05-08,2.0625
1980-05-09,2.0625
1980-05-12,2.020833
1980-05-13,2.0
1980-05-14,2.0
1980-05-15,2.0
1980-05-16,2.0
1980-05-19,2.0
1980-05-20,1.979167
1980-05-21,1.895833
1980-05-22,1.916667
1980-05-23,1.958333
1980-05-27,1.958333
1980-05-28,1.958333
1980-05-29,1.9375
1980-05-30,1.916667
1980-06-02,1.916667
1980-06-03,1.916667
1980-06-04,1.916667
1980-06-05,1.916667
1980-06-06,1.916667
1980-06-09,1.916667
1980-06-10,1.958333
1980-06-11,1.979167
1980-06-12,1.979167
1980-06-13,2.041667
1980-06-16,2.0625
1980-06-17,2.083333
1980-06-18,2.083333
1980-06-19,2.0625
1980-06-20,2.0625
1980-06-23,2.0625
1980-06-24,2.0625
1980-06-25,2.041667
1980-06-26,2.041667
1980-06-27,2.020833
1980-06-30,2.0
1980-07-01,1.979167
1980-07-02,1.979167
1980-07-03,1.958333
1980-07-07,1.979167
1980-07-08,2.0
1980-07-09,2.0
1980-07-10,2.0
1980-07-11,2.0
1980-07-14,2.0
1980-07-15,2.0
1980-07-16,2.0
1980-07-17,2.0
1980-07-18,2.0
1980-07-21,2.0
1980-07-22,2.020833
1980-07-23,2.0
1980-07-24,1.979167
1980-07-25,1.979167
1980-07-28,1.979167
1980-07-29,1.979167
1980-07-30,1.979167
1980-07-31,1.958333
1980-08-01,1.979167
1980-08-04,1.9375
1980-08-05,1.9375
1980-08-06,1.9375
1980-08-07,1.958333
1980-08-08,2.0
1980-08-11,2.0
1980-08-12,2.0
1980-08-13,2.041667
1980-08-14,2.083333
1980-08-15,2.104167
1980-08-18,2.0625
1980-08-19,2.020833
1980-08-20,2.0
1980-08-21,2.0
1980-08-22,2.020833
1980-08-25,2.020833
1980-08-26,2.0
1980-08-27,2.0
1980-08-28,2.0
1980-08-29,2.0
1980-09-02,2.0
1980-09-03,2.041667
1980-09-04,2.083333
1980-09-05,2.083333
1980-09-08,2.083333
1980-09-09,2.083333
1980-09-10,2.083333
1980-09-11,2.083333
1980-09-12,2.083333
1980-09-15,2.083333
1980-09-16,2.104167
1980-09-17,2.104167
1980-09-18,2.125
1980-09-19,2.125
1980-09-22,2.125
1980-09-23,2.125
1980-09-24,2.145833
1980-09-25,2.145833
1980-09-26,2.145833
1980-09-29,2.125
1980-09-30,2.104167
1980-10-01,2.104167
1980-10-02,2.125
1980-10-03,2.145833
1980-10-06,2.145833
1980-10-07,2.1875
1980-10-08,2.1875
1980-10-09,2.1875
1980-10-10,2.208333
1980-10-13,2.229167
1980-10-14,2.229167
1980-10-15,2.270833
1980-10-16,2.270833
1980-10-17,2.25
1980-10-20,2.208333
1980-10-21,2.208333
1980-10-22,2.1875
1980-10-23,2.166667
1980-10-24,2.145833
1980-10-27,2.145833
1980-10-28,2.145833
1980-10-29,2.145833
1980-10-30,2.104167
1980-10-31,2.104167
1980-11-03,2.125
1980-11-05,2.145833
1980-11-06,2.125
1980-11-07,2.104167
1980-11-10,2.104167
1980-11-11,2.104167
1980-11-12,2.166667
1980-11-13,2.166667
1980-11-14,2.1875
1980-11-17,2.166667
1980-11-18,2.229167
1980-11-19,2.25
1980-11-20,2.291667
1980-11-21,2.333333
1980-11-24,2.3125
1980-11-25,2.3125
1980-11-26,2.333333
1980-11-28,2.333333
1980-12-01,2.291667
1980-12-02,2.291667
1980-12-03,2.291667
1980-12-04,2.3125
1980-12-05,2.3125
1980-12-08,2.3125
1980-12-09,2.3125
1980-12-10,2.291667
1980-12-11,2.229167
1980-12-12,2.229167
1980-12-15,2.25
1980-12-16,2.25
1980-12-17,2.25
1980-12-18,2.291667
1980-12-19,2.395833
1980-12-22,2.4375
1980-12-23,2.458333
1980-12-24,2.458333
1980-12-26,2.458333
1980-12-29,2.520833
1980-12-30,2.541667
1980-12-31,2.604167
1981-01-02,2.604167
1981-01-05,2.604167
1981-01-06,2.6875
1981-01-07,2.645833
1981-01-08,2.666667
1981-01-09,2.666667
1981-01-12,2.666667
1981-01-13,2.666667
1981-01-14,2.666667
1981-01-15,2.666667
1981-01-16,2.6875
1981-01-19,2.6875
1981-01-20,2.6875
1981-01-21,2.6875
1981-01-22,2.6875
1981-01-23,2.6875
1981-01-26,2.6875
1981-01-27,2.6875
1981-01-28,2.6875
1981-01-29,2.6875
1981-01-30,2.6875
1981-02-02,2.6875
1981-02-03,2.708333
1981-02-04,2.708333
1981-02-05,2.770833
