Date,AWK
2009-09-23,20.1
2009-09-24,19.83
2009-09-25,19.74
2009-09-28,20.17
2009-09-29,20.190001000000002
2009-09-30,19.940001000000002
2009-10-01,19.77
2009-10-02,19.530001000000002
2009-10-05,19.450001
2009-10-06,19.5
2009-10-07,19.58
2009-10-08,19.68
2009-10-09,19.790001
2009-10-12,20.1
2009-10-13,20.049999
2009-10-14,19.82
2009-10-15,19.76
2009-10-16,19.950001
2009-10-19,19.91
2009-10-20,19.870001000000002
2009-10-21,19.780001000000002
2009-10-22,19.9
2009-10-23,19.49
2009-10-26,19.280001000000002
2009-10-27,19.059998999999998
2009-10-28,19.049999
2009-10-29,19.209999
2009-10-30,18.969998999999998
2009-11-02,19.040001
2009-11-03,19.33
2009-11-04,19.280001000000002
2009-11-05,19.59
2009-11-06,19.559998999999998
2009-11-09,20.5
2009-11-10,20.139999
2009-11-11,19.91
2009-11-12,20.27
2009-11-13,20.290001
2009-11-16,20.42
2009-11-17,21.629998999999998
2009-11-18,21.43
2009-11-19,21.469998999999998
2009-11-20,21.290001
2009-11-23,21.290001
2009-11-24,21.84
2009-11-25,22.01
2009-11-27,22.01
2009-11-30,22.24
2009-12-01,22.280001000000002
2009-12-02,22.08
2009-12-03,21.799999
2009-12-04,21.799999
2009-12-07,21.76
2009-12-08,21.6
2009-12-09,21.74
2009-12-10,21.76
2009-12-11,22.07
2009-12-14,22.09
2009-12-15,22.059998999999998
2009-12-16,22.32
2009-12-17,22.540001
2009-12-18,22.41
2009-12-21,22.68
2009-12-22,22.209999
2009-12-23,22.25
2009-12-24,22.4
2009-12-28,22.34
2009-12-29,22.469998999999998
2009-12-30,22.549999
2009-12-31,22.41
2010-01-04,22.65
2010-01-05,22.879998999999998
2010-01-06,23.0
2010-01-07,23.049999
2010-01-08,23.0
2010-01-11,23.23
2010-01-12,23.120001000000002
2010-01-13,23.219998999999998
2010-01-14,22.98
2010-01-15,22.6
2010-01-19,22.5
2010-01-20,22.450001
2010-01-21,22.110001
2010-01-22,22.059998999999998
2010-01-25,22.15
2010-01-26,22.02
2010-01-27,22.02
2010-01-28,21.66
2010-01-29,21.799999
2010-02-01,22.139999
2010-02-02,22.1
2010-02-03,22.360001
2010-02-04,21.75
2010-02-05,21.68
2010-02-08,21.610001
2010-02-09,21.4
2010-02-10,21.57
2010-02-11,21.82
2010-02-12,22.16
2010-02-16,22.120001000000002
2010-02-17,22.209999
2010-02-18,22.51
2010-02-19,22.879998999999998
2010-02-22,22.690001000000002
2010-02-23,22.450001
2010-02-24,22.26
2010-02-25,22.309998999999998
2010-02-26,22.26
2010-03-01,21.08
2010-03-02,20.75
2010-03-03,20.92
2010-03-04,21.25
2010-03-05,21.41
2010-03-08,21.35
2010-03-09,21.219998999999998
2010-03-10,21.07
2010-03-11,21.02
2010-03-12,20.959999
2010-03-15,21.1
2010-03-16,21.07
2010-03-17,21.27
2010-03-18,21.4
2010-03-19,21.25
2010-03-22,21.110001
