Date,EQR
1994-08-02,16.0
1994-08-03,15.8125
1994-08-04,16.0
1994-08-05,15.9375
1994-08-08,16.125
1994-08-09,16.0625
1994-08-10,16.3125
1994-08-11,16.0625
1994-08-12,16.1875
1994-08-15,16.25
1994-08-16,16.375
1994-08-17,16.375
1994-08-18,16.1875
1994-08-19,16.0
1994-08-22,16.1875
1994-08-23,15.875
1994-08-24,16.125
1994-08-25,16.125
1994-08-26,16.125
1994-08-29,16.375
1994-08-30,16.5625
1994-08-31,16.5
1994-09-01,16.3125
1994-09-02,16.4375
1994-09-06,16.4375
1994-09-07,16.5
1994-09-08,16.375
1994-09-09,16.4375
1994-09-12,16.5
1994-09-13,16.125
1994-09-14,15.75
1994-09-15,15.9375
1994-09-16,16.0625
1994-09-19,16.375
1994-09-20,16.0
1994-09-21,16.125
1994-09-22,16.0625
1994-09-23,16.125
1994-09-26,15.875
1994-09-27,15.75
1994-09-28,15.6875
1994-09-29,15.8125
1994-09-30,15.875
1994-10-03,16.0
1994-10-04,15.125
1994-10-05,15.0
1994-10-06,15.25
1994-10-07,15.4375
1994-10-10,15.5
1994-10-11,15.75
1994-10-12,15.375
1994-10-13,15.3125
1994-10-14,15.125
1994-10-17,15.25
1994-10-18,15.375
1994-10-19,15.5
1994-10-20,15.5625
1994-10-21,15.375
1994-10-24,15.4375
1994-10-25,15.375
1994-10-26,15.3125
1994-10-27,15.3125
1994-10-28,15.25
1994-10-31,14.9375
1994-11-01,14.6875
1994-11-02,14.625
1994-11-03,14.4375
1994-11-04,14.4375
1994-11-07,14.375
1994-11-08,14.3125
1994-11-09,14.1875
1994-11-10,14.0
1994-11-11,13.875
1994-11-14,14.0
1994-11-15,13.875
1994-11-16,13.75
1994-11-17,13.5
1994-11-18,13.5
1994-11-21,13.375
1994-11-22,12.9375
1994-11-23,13.4375
1994-11-25,13.625
1994-11-28,13.5
1994-11-29,13.5
1994-11-30,13.5625
1994-12-01,13.4375
1994-12-02,13.5625
1994-12-05,13.5
1994-12-06,13.125
