Date,CRM
2004-06-23,4.3
2004-06-24,4.19
2004-06-25,3.95
2004-06-28,4.0
2004-06-29,4.1
2004-06-30,4.0175
2004-07-01,4.0075
2004-07-02,4.245
2004-07-06,4.25
2004-07-07,4.0775
2004-07-08,3.935
2004-07-09,4.1
2004-07-12,4.1875
2004-07-13,4.02
2004-07-14,3.9125
2004-07-15,3.835
2004-07-16,4.0
2004-07-19,4.0025
2004-07-20,4.015
2004-07-21,2.925
2004-07-22,3.245
2004-07-23,3.26
2004-07-26,3.32
2004-07-27,3.285
2004-07-28,3.2475
2004-07-29,3.24
2004-07-30,3.2525
2004-08-02,3.2025
2004-08-03,3.0325
2004-08-04,2.995
2004-08-05,2.725
2004-08-06,2.6925
2004-08-09,2.7475
2004-08-10,2.75
2004-08-11,2.655
2004-08-12,2.4975
2004-08-13,2.3975
2004-08-16,2.43
2004-08-17,2.7425
2004-08-18,2.9875
2004-08-19,3.0425
2004-08-20,3.15
2004-08-23,3.125
2004-08-24,3.1925
2004-08-25,3.24
2004-08-26,3.225
2004-08-27,3.2875
2004-08-30,3.2925
2004-08-31,3.25
2004-09-01,3.3325
2004-09-02,3.4725
2004-09-03,3.4375
2004-09-07,3.3575
2004-09-08,3.31
2004-09-09,3.2925
2004-09-10,3.5625
2004-09-13,3.8
2004-09-14,3.9775
2004-09-15,4.085
2004-09-16,4.065
2004-09-17,3.9175
2004-09-20,4.0025
2004-09-21,4.09
2004-09-22,4.0175
2004-09-23,3.9275
2004-09-24,4.01
2004-09-27,3.8975
2004-09-28,3.75
2004-09-29,3.9375
2004-09-30,3.9075
2004-10-01,4.1625
2004-10-04,4.2175
2004-10-05,4.225
2004-10-06,4.3125
2004-10-07,4.625
2004-10-08,4.405
2004-10-11,4.545
2004-10-12,4.5975
2004-10-13,4.625
2004-10-14,4.4975
2004-10-15,4.495
2004-10-18,4.5725
2004-10-19,4.5575
2004-10-20,4.5375
2004-10-21,4.6
2004-10-22,4.35
2004-10-25,4.5375
2004-10-26,4.6125
2004-10-27,4.8175
2004-10-28,5.0375
2004-10-29,5.08
2004-11-01,5.425
2004-11-02,5.49
2004-11-03,5.4175
2004-11-04,5.145
2004-11-05,5.215
2004-11-08,5.1
2004-11-09,4.8825
2004-11-10,4.8825
2004-11-11,5.005
2004-11-12,5.0
2004-11-15,5.2
2004-11-16,5.1475
2004-11-17,5.21
2004-11-18,4.455
2004-11-19,4.4375
2004-11-22,4.405
2004-11-23,4.495
2004-11-24,4.5
2004-11-26,4.4325
2004-11-29,4.375
2004-11-30,4.365
2004-12-01,4.235
2004-12-02,4.2475
2004-12-03,4.1575
2004-12-06,4.1375
2004-12-07,4.0125
2004-12-08,3.98
2004-12-09,4.065
2004-12-10,3.98
2004-12-13,4.025
2004-12-14,4.085
2004-12-15,4.07
2004-12-16,4.095
2004-12-17,4.025
2004-12-20,3.8
2004-12-21,4.025
2004-12-22,4.0625
2004-12-23,4.1525
2004-12-27,4.3425
2004-12-28,4.295
2004-12-29,4.2925
2004-12-30,4.215
2004-12-31,4.235
2005-01-03,4.15
2005-01-04,4.09
2005-01-05,4.4875
2005-01-06,4.43
2005-01-07,4.3875
2005-01-10,4.245
2005-01-11,4.105
2005-01-12,3.775
2005-01-13,3.8125
2005-01-14,3.75
2005-01-18,3.7625
2005-01-19,3.7475
2005-01-20,3.6525
2005-01-21,3.6125
2005-01-24,3.475
2005-01-25,3.4325
2005-01-26,3.45
2005-01-27,3.405
2005-01-28,3.365
2005-01-31,3.425
2005-02-01,3.425
2005-02-02,3.325
2005-02-03,3.3425
2005-02-04,3.515
2005-02-07,3.405
2005-02-08,3.4975
2005-02-09,3.315
2005-02-10,3.2675
2005-02-11,3.3625
2005-02-14,3.4125
2005-02-15,3.565
2005-02-16,3.5
2005-02-17,3.525
2005-02-18,3.9875
2005-02-22,3.975
2005-02-23,3.9175
2005-02-24,4.05
2005-02-25,4.1175
2005-02-28,4.015
2005-03-01,4.13
2005-03-02,4.2275
2005-03-03,4.205
2005-03-04,4.15
2005-03-07,4.12
2005-03-08,4.195
2005-03-09,4.07
2005-03-10,3.8725
2005-03-11,3.875
2005-03-14,3.885
2005-03-15,3.8175
2005-03-16,3.7375
2005-03-17,3.875
2005-03-18,3.7525
2005-03-21,3.835
2005-03-22,3.775
2005-03-23,3.7
2005-03-24,3.675
2005-03-28,3.61
2005-03-29,3.57
2005-03-30,3.625
2005-03-31,3.7475
2005-04-01,3.75
2005-04-04,3.7375
2005-04-05,3.815
2005-04-06,3.8175
2005-04-07,3.86
2005-04-08,3.84
2005-04-11,3.8275
2005-04-12,3.9075
2005-04-13,3.8625
2005-04-14,3.7675
2005-04-15,3.6075
2005-04-18,3.725
2005-04-19,3.6275
2005-04-20,3.61
2005-04-21,3.7725
2005-04-22,3.6375
2005-04-25,3.5
2005-04-26,3.5975
2005-04-27,3.69
2005-04-28,3.6225
2005-04-29,3.6075
2005-05-02,3.5775
2005-05-03,3.6225
2005-05-04,3.745
2005-05-05,3.7525
2005-05-06,3.8375
2005-05-09,3.86
2005-05-10,3.875
2005-05-11,3.8225
2005-05-12,3.7475
2005-05-13,3.72
2005-05-16,3.76
2005-05-17,3.915
2005-05-18,3.96
2005-05-19,4.425
2005-05-20,4.6225
2005-05-23,4.8075
2005-05-24,4.9
2005-05-25,4.965
2005-05-26,5.035
2005-05-27,4.965
2005-05-31,5.06
2005-06-01,5.04
2005-06-02,5.24
2005-06-03,5.1375
2005-06-06,5.0275
2005-06-07,4.9375
2005-06-08,4.9675
2005-06-09,5.0375
2005-06-10,4.935
2005-06-13,5.12
2005-06-14,5.15
2005-06-15,5.0225
2005-06-16,4.9575
2005-06-17,5.12
2005-06-20,5.215
2005-06-21,5.0075
2005-06-22,4.9875
2005-06-23,4.9725
2005-06-24,5.2
2005-06-27,5.06
2005-06-28,5.165
2005-06-29,5.2075
2005-06-30,5.12
2005-07-01,4.88
2005-07-05,4.875
2005-07-06,4.88
2005-07-07,4.8625
2005-07-08,4.875
2005-07-11,4.9475
2005-07-12,4.975
2005-07-13,5.1875
2005-07-14,5.6675
2005-07-15,5.7
2005-07-18,5.555
2005-07-19,5.7325
2005-07-20,5.75
2005-07-21,5.7025
2005-07-22,5.6475
2005-07-25,5.615
2005-07-26,5.66
2005-07-27,5.645
2005-07-28,5.9525
2005-07-29,5.8875
2005-08-01,6.0225
2005-08-02,5.91
2005-08-03,5.96
2005-08-04,5.905
2005-08-05,5.92
2005-08-08,5.9175
2005-08-09,6.0625
2005-08-10,6.13
2005-08-11,5.9875
2005-08-12,5.8825
2005-08-15,5.535
2005-08-16,5.4975
2005-08-17,5.55
2005-08-18,5.08
2005-08-19,5.12
2005-08-22,5.0425
2005-08-23,4.9875
2005-08-24,4.95
2005-08-25,4.9275
2005-08-26,4.8125
2005-08-29,4.8125
2005-08-30,4.775
2005-08-31,4.83
2005-09-01,4.805
2005-09-02,4.8425
2005-09-06,5.0925
2005-09-07,5.2125
2005-09-08,5.425
2005-09-09,5.4875
2005-09-12,5.415
2005-09-13,5.905
2005-09-14,5.8775
2005-09-15,5.775
2005-09-16,5.9
2005-09-19,5.78
2005-09-20,5.9025
2005-09-21,5.75
2005-09-22,5.635
2005-09-23,5.7825
2005-09-26,5.9
2005-09-27,5.8925
2005-09-28,5.8475
2005-09-29,5.7325
2005-09-30,5.78
2005-10-03,6.0
2005-10-04,5.95
2005-10-05,5.8375
2005-10-06,5.7625
2005-10-07,5.7025
2005-10-10,5.5625
2005-10-11,5.44
2005-10-12,5.295
2005-10-13,5.4575
2005-10-14,5.555
2005-10-17,5.715
2005-10-18,5.6575
2005-10-19,5.73
2005-10-20,5.9275
2005-10-21,6.135
2005-10-24,6.315
2005-10-25,6.2975
2005-10-26,6.3625
2005-10-27,6.055
2005-10-28,6.1475
2005-10-31,6.2475
2005-11-01,6.415
2005-11-02,6.7275
2005-11-03,6.63
2005-11-04,6.675
2005-11-07,6.61
2005-11-08,6.5575
2005-11-09,6.63
2005-11-10,6.725
2005-11-11,6.865
2005-11-14,7.0925
2005-11-15,6.8725
2005-11-16,6.7325
2005-11-17,7.3075
2005-11-18,7.1875
2005-11-21,7.3125
2005-11-22,7.6
2005-11-23,7.855
2005-11-25,7.8575
2005-11-28,7.8075
2005-11-29,7.6425
2005-11-30,7.9625
2005-12-01,8.235
2005-12-02,7.895
2005-12-05,8.0
2005-12-06,8.3475
2005-12-07,8.3525
2005-12-08,8.365
2005-12-09,8.875
2005-12-12,8.78
2005-12-13,8.9075
2005-12-14,8.6125
2005-12-15,8.8
2005-12-16,8.755
2005-12-19,8.6325
2005-12-20,8.28
2005-12-21,8.205
2005-12-22,8.285
2005-12-23,8.4525
2005-12-27,8.15
2005-12-28,8.3525
2005-12-29,8.1875
2005-12-30,8.0125
2006-01-03,8.56
2006-01-04,8.9925
2006-01-05,9.015
2006-01-06,9.9625
2006-01-09,9.6325
2006-01-10,9.5625
2006-01-11,9.5675
2006-01-12,9.5625
2006-01-13,9.5325
2006-01-17,9.7475
2006-01-18,10.3975
2006-01-19,10.325
2006-01-20,9.9825
2006-01-23,9.975
2006-01-24,9.9925
2006-01-25,9.88
2006-01-26,10.045
2006-01-27,10.4
2006-01-30,10.6625
2006-01-31,10.2625
2006-02-01,10.025
2006-02-02,9.87
2006-02-03,9.5575
2006-02-06,9.795
2006-02-07,9.5375
2006-02-08,9.605
2006-02-09,9.8425
2006-02-10,8.775
2006-02-13,8.565
2006-02-14,8.6625
2006-02-15,8.525
2006-02-16,8.705
2006-02-17,8.585
2006-02-21,8.4025
2006-02-22,8.6
2006-02-23,8.5025
2006-02-24,8.4475
