Date,CXO
2007-08-03,12.9
2007-08-06,12.7
2007-08-07,12.6
2007-08-08,12.88
2007-08-09,12.94
2007-08-10,12.81
2007-08-13,13.07
2007-08-14,13.01
2007-08-15,12.88
2007-08-16,12.7
2007-08-17,13.0
2007-08-20,12.75
2007-08-21,12.9
2007-08-22,12.63
2007-08-23,12.9
2007-08-24,12.99
2007-08-27,13.1
2007-08-28,12.76
2007-08-29,12.77
2007-08-30,12.54
2007-08-31,12.69
2007-09-04,13.75
2007-09-05,14.55
2007-09-06,14.5
2007-09-07,14.5
2007-09-10,14.83
2007-09-11,15.2
2007-09-12,15.22
2007-09-13,15.55
2007-09-14,15.89
2007-09-17,15.7
2007-09-18,15.4
2007-09-19,15.7
2007-09-20,15.85
2007-09-21,16.129998999999998
2007-09-24,16.17
2007-09-25,15.65
2007-09-26,16.1
2007-09-27,15.42
2007-09-28,14.81
2007-10-01,15.8
2007-10-02,16.030001000000002
2007-10-03,16.42
2007-10-04,16.950001
2007-10-05,17.25
2007-10-08,16.700001
2007-10-09,17.07
2007-10-10,17.540001
2007-10-11,18.6
2007-10-12,18.459999
2007-10-15,18.030001000000002
2007-10-16,18.82
2007-10-17,18.860001
2007-10-18,19.73
2007-10-19,19.65
2007-10-22,19.559998999999998
2007-10-23,19.950001
2007-10-24,20.16
2007-10-25,19.74
2007-10-26,21.370001000000002
2007-10-29,21.99
2007-10-30,20.459999
2007-10-31,19.49
2007-11-01,19.92
2007-11-02,19.940001000000002
2007-11-05,19.780001000000002
2007-11-06,19.4
2007-11-07,19.01
2007-11-08,18.889999
2007-11-09,18.559998999999998
2007-11-12,18.120001000000002
2007-11-13,18.4
2007-11-14,17.6
2007-11-15,18.5
2007-11-16,18.540001
2007-11-19,18.07
2007-11-20,19.65
2007-11-21,20.57
2007-11-23,21.24
2007-11-26,19.93
2007-11-27,19.09
2007-11-28,18.76
2007-11-29,18.790001
2007-11-30,18.860001
2007-12-03,18.549999
2007-12-04,18.129998999999998
2007-12-05,17.790001
2007-12-06,19.27
2007-12-07,17.41
2007-12-10,17.610001
2007-12-11,17.879998999999998
2007-12-12,18.540001
2007-12-13,18.190001000000002
2007-12-14,19.0
2007-12-17,18.98
2007-12-18,20.34
2007-12-19,20.08
2007-12-20,20.41
2007-12-21,20.58
2007-12-24,20.84
2007-12-26,21.25
2007-12-27,20.75
2007-12-28,20.549999
2007-12-31,20.610001
2008-01-02,21.57
2008-01-03,22.08
2008-01-04,21.059998999999998
2008-01-07,21.190001000000002
2008-01-08,22.1
2008-01-09,23.27
2008-01-10,22.459999
2008-01-11,21.68
2008-01-14,22.219998999999998
2008-01-15,21.290001
2008-01-16,20.41
2008-01-17,19.33
2008-01-18,19.07
2008-01-22,19.18
2008-01-23,19.09
2008-01-24,19.629998999999998
2008-01-25,19.549999
2008-01-28,19.98
2008-01-29,20.110001
2008-01-30,20.309998999999998
2008-01-31,20.17
2008-02-01,21.48
2008-02-04,20.83
2008-02-05,19.82
2008-02-06,19.889999
2008-02-07,20.01
2008-02-08,20.09
2008-02-11,19.969998999999998
2008-02-12,21.219998999999998
2008-02-13,22.98
2008-02-14,22.290001
2008-02-15,22.200001
2008-02-19,22.68
2008-02-20,22.950001
2008-02-21,21.809998999999998
2008-02-22,22.040001
2008-02-25,22.41
2008-02-26,22.120001000000002
2008-02-27,22.82
2008-02-28,24.959999
2008-02-29,23.299999
2008-03-03,23.719998999999998
2008-03-04,23.77
2008-03-05,25.1
2008-03-06,24.690001000000002
2008-03-07,23.93
2008-03-10,23.799999
2008-03-11,23.959999
2008-03-12,24.51
2008-03-13,25.25
2008-03-14,24.959999
2008-03-17,23.92
2008-03-18,25.09
2008-03-19,23.870001000000002
2008-03-20,24.129998999999998
2008-03-24,25.09
2008-03-25,25.309998999999998
2008-03-26,25.41
2008-03-27,25.370001000000002
2008-03-28,25.68
2008-03-31,25.639999
2008-04-01,25.59
2008-04-02,25.77
2008-04-03,26.24
2008-04-04,26.610001
2008-04-07,26.530001000000002
2008-04-08,26.719998999999998
2008-04-09,26.110001
2008-04-10,27.200001
2008-04-11,27.57
2008-04-14,27.17
2008-04-15,26.950001
2008-04-16,27.49
2008-04-17,27.91
2008-04-18,27.190001000000002
2008-04-21,26.18
2008-04-22,26.67
2008-04-23,27.4
2008-04-24,27.0
2008-04-25,27.549999
2008-04-28,28.0
2008-04-29,27.91
2008-04-30,27.57
2008-05-01,27.16
2008-05-02,27.309998999999998
2008-05-05,27.02
2008-05-06,27.33
2008-05-07,26.790001
2008-05-08,26.99
2008-05-09,27.940001000000002
2008-05-12,27.58
2008-05-13,27.940001000000002
2008-05-14,28.4
2008-05-15,29.110001
2008-05-16,29.42
2008-05-19,29.139999
2008-05-20,30.780001000000002
2008-05-21,30.76
2008-05-22,32.209998999999996
2008-05-23,32.310001
2008-05-27,32.619999
2008-05-28,32.060001
2008-05-29,31.48
2008-05-30,31.9
2008-06-02,33.830002
2008-06-03,32.610001000000004
2008-06-04,31.690001000000002
2008-06-05,32.529999
2008-06-06,36.110001000000004
2008-06-09,39.799999
2008-06-10,37.619999
2008-06-11,37.619999
2008-06-12,36.970001
2008-06-13,38.599998
2008-06-16,40.18
2008-06-17,39.889998999999996
2008-06-18,39.990002000000004
2008-06-19,39.5
2008-06-20,39.130001
2008-06-23,38.810001
2008-06-24,37.700001
2008-06-25,36.349998
2008-06-26,36.5
2008-06-27,38.0
2008-06-30,37.299999
2008-07-01,38.16
2008-07-02,36.330002
2008-07-03,34.48
2008-07-07,33.189999
2008-07-08,32.27
2008-07-09,31.620001000000002
2008-07-10,33.119999
2008-07-11,34.139998999999996
2008-07-14,35.110001000000004
2008-07-15,34.150002
2008-07-16,33.509997999999996
2008-07-17,30.780001000000002
2008-07-18,30.82
2008-07-21,31.66
2008-07-22,31.700001
2008-07-23,30.65
2008-07-24,30.1
2008-07-25,31.42
2008-07-28,31.450001
2008-07-29,30.629998999999998
2008-07-30,33.439999
2008-07-31,32.75
2008-08-01,32.459998999999996
2008-08-04,28.76
2008-08-05,29.450001
2008-08-06,31.01
2008-08-07,30.32
2008-08-08,29.51
2008-08-11,27.07
2008-08-12,29.1
2008-08-13,30.68
2008-08-14,31.17
2008-08-15,31.639999
2008-08-18,29.309998999999998
2008-08-19,30.26
2008-08-20,32.41
2008-08-21,32.93
2008-08-22,33.450001
2008-08-25,32.990002000000004
2008-08-26,33.470001
2008-08-27,33.68
2008-08-28,33.310001
2008-08-29,32.669998
2008-09-02,29.629998999999998
