Date,ZTS
2013-02-01,31.01
2013-02-04,31.02
2013-02-05,31.040001
2013-02-06,31.030001000000002
2013-02-07,32.0
2013-02-08,33.049999
2013-02-11,33.259997999999996
2013-02-12,33.740002000000004
2013-02-13,33.549999
2013-02-14,33.27
2013-02-15,33.98
2013-02-19,33.84
2013-02-20,32.720001
2013-02-21,32.560001
2013-02-22,32.59
2013-02-25,32.07
2013-02-26,32.040001000000004
2013-02-27,32.32
2013-02-28,33.450001
2013-03-01,34.599998
2013-03-04,34.349998
2013-03-05,34.290001000000004
2013-03-06,33.849998
2013-03-07,34.560001
2013-03-08,34.09
2013-03-11,34.18
2013-03-12,33.82
2013-03-13,34.0
2013-03-14,34.639998999999996
2013-03-15,33.439999
2013-03-18,32.84
2013-03-19,32.799999
2013-03-20,33.509997999999996
2013-03-21,33.470001
2013-03-22,33.119999
2013-03-25,32.459998999999996
2013-03-26,32.509997999999996
2013-03-27,32.740002000000004
2013-03-28,33.400002
2013-04-01,32.59
2013-04-02,32.549999
2013-04-03,32.529999
2013-04-04,31.84
2013-04-05,31.959999
2013-04-08,32.919998
2013-04-09,33.439999
2013-04-10,33.150002
2013-04-11,33.16
2013-04-12,33.23
2013-04-15,32.240002000000004
2013-04-16,33.209998999999996
2013-04-17,32.889998999999996
2013-04-18,32.470001
2013-04-19,32.709998999999996
2013-04-22,32.66
2013-04-23,31.700001
2013-04-24,30.620001000000002
2013-04-25,31.549999
2013-04-26,32.639998999999996
2013-04-29,32.66
2013-04-30,33.02
2013-05-01,33.389998999999996
2013-05-02,33.279999
2013-05-03,33.209998999999996
2013-05-06,32.939999
2013-05-07,32.880001
2013-05-08,33.259997999999996
2013-05-09,33.549999
2013-05-10,33.18
2013-05-13,33.040001000000004
2013-05-14,33.080002
2013-05-15,32.790001000000004
2013-05-16,33.389998999999996
2013-05-17,33.900002
2013-05-20,33.709998999999996
2013-05-21,33.040001000000004
2013-05-22,33.549999
2013-05-23,32.84
2013-05-24,33.459998999999996
2013-05-28,34.259997999999996
2013-05-29,32.950001
2013-05-30,32.240002000000004
2013-05-31,32.0
2013-06-03,32.75
