Date,APD
1980-03-17,3.9893620000000003
1980-03-18,3.974907
1980-03-19,4.047179
1980-03-20,4.032724
1980-03-21,4.032724
1980-03-24,3.888182
1980-03-25,3.84482
1980-03-26,3.8592739999999996
1980-03-27,3.830365
1980-03-28,4.0038160000000005
1980-03-31,4.018269999999999
1980-04-01,3.960453
1980-04-02,3.9026370000000004
1980-04-03,3.7725489999999997
1980-04-07,3.787003
1980-04-08,3.8159110000000003
1980-04-09,3.9459989999999996
1980-04-10,4.047179
1980-04-11,4.235083
1980-04-14,4.19172
1980-04-15,4.162812000000001
1980-04-16,4.076087
1980-04-17,3.931545
1980-04-18,3.84482
1980-04-21,3.787003
1980-04-22,4.076087
1980-04-23,4.090541
1980-04-24,4.19172
1980-04-25,4.263992
1980-04-28,4.278446
1980-04-29,4.321808
1980-04-30,4.394080000000001
1980-05-01,4.379625
1980-05-02,4.336263
1980-05-05,4.365171
1980-05-06,4.379625
1980-05-07,4.278446
1980-05-08,4.162812000000001
1980-05-09,4.047179
1980-05-12,3.931545
1980-05-13,3.9459989999999996
1980-05-14,4.0038160000000005
1980-05-15,3.9459989999999996
1980-05-16,3.960453
1980-05-19,3.960453
1980-05-20,3.9893620000000003
1980-05-21,3.974907
1980-05-22,4.19172
1980-05-23,4.336263
1980-05-27,4.365171
1980-05-28,4.3507169999999995
1980-05-29,4.278446
1980-05-30,4.336263
1980-06-02,4.2929
1980-06-03,4.336263
1980-06-04,4.451896
1980-06-05,4.451896
1980-06-06,4.379625
1980-06-09,4.278446
1980-06-10,4.3507169999999995
1980-06-11,4.365171
1980-06-12,4.394080000000001
1980-06-13,4.509713
1980-06-16,4.610893
1980-06-17,4.581983999999999
1980-06-18,4.538621
1980-06-19,4.524168
1980-06-20,4.451896
1980-06-23,4.466351
1980-06-24,4.451896
1980-06-25,4.5675300000000005
1980-06-26,4.581983999999999
1980-06-27,4.654255
1980-06-30,4.480805
1980-07-01,4.480805
1980-07-02,4.5675300000000005
1980-07-03,4.798798000000001
1980-07-07,4.9144309999999995
1980-07-08,4.943339
1980-07-09,4.899977
1980-07-10,4.813251
1980-07-11,4.8566139999999995
1980-07-14,4.9144309999999995
1980-07-15,5.131244000000001
1980-07-16,5.11679
1980-07-17,5.073427
1980-07-18,5.015611
1980-07-21,5.0300650000000005
1980-07-22,5.015611
1980-07-23,5.001156
1980-07-24,4.740981
1980-07-25,4.66871
