Date,REG
1993-10-29,19.25
1993-11-01,19.375
1993-11-02,18.75
1993-11-03,18.875
1993-11-04,18.75
1993-11-05,18.75
1993-11-08,18.875
1993-11-09,18.75
1993-11-10,18.875
1993-11-11,18.875
1993-11-12,19.0
1993-11-15,18.5
1993-11-16,18.375
1993-11-17,18.25
1993-11-18,17.625
1993-11-19,16.875
1993-11-22,16.875
1993-11-23,17.125
1993-11-24,16.875
1993-11-26,17.0
1993-11-29,17.125
1993-11-30,17.125
1993-12-01,17.0
1993-12-02,17.125
1993-12-03,17.5
1993-12-06,17.5
1993-12-07,17.25
1993-12-08,17.125
1993-12-09,16.875
1993-12-10,16.875
1993-12-13,16.5
1993-12-14,16.75
1993-12-15,16.625
1993-12-16,16.5
1993-12-17,16.5
1993-12-20,16.0
1993-12-21,16.125
1993-12-22,16.5
1993-12-23,16.625
1993-12-27,16.75
1993-12-28,16.75
1993-12-29,16.625
1993-12-30,16.75
1993-12-31,16.625
1994-01-03,16.875
1994-01-04,16.875
1994-01-05,16.875
1994-01-06,16.75
1994-01-07,16.875
1994-01-10,17.625
1994-01-11,17.75
1994-01-12,17.875
1994-01-13,17.75
1994-01-14,17.5
1994-01-17,17.5
1994-01-18,17.375
1994-01-19,17.875
1994-01-20,17.5
1994-01-21,17.875
1994-01-24,17.625
1994-01-25,17.75
1994-01-26,17.625
1994-01-27,17.75
1994-01-28,17.75
1994-01-31,17.875
1994-02-01,17.875
1994-02-02,17.875
1994-02-03,18.0
1994-02-04,17.625
1994-02-07,17.875
1994-02-08,17.75
1994-02-09,18.125
1994-02-10,18.0
1994-02-11,18.0
1994-02-14,18.125
1994-02-15,18.25
1994-02-16,18.625
1994-02-17,18.625
1994-02-18,18.625
1994-02-22,18.5
1994-02-23,18.5
1994-02-24,18.375
1994-02-25,18.5
1994-02-28,18.75
1994-03-01,18.625
1994-03-02,18.5
1994-03-03,18.375
1994-03-04,18.375
1994-03-07,18.5
1994-03-08,18.375
1994-03-09,18.375
1994-03-10,18.5
1994-03-11,18.5
1994-03-14,18.5
1994-03-15,18.5
1994-03-16,18.0
1994-03-17,18.0
1994-03-18,18.0
1994-03-21,18.375
1994-03-22,18.125
1994-03-23,18.375
1994-03-24,18.375
1994-03-25,18.5
1994-03-28,18.125
1994-03-29,18.125
1994-03-30,18.0
1994-03-31,17.875
1994-04-04,17.5
1994-04-05,17.75
