Date,COP
1982-10-28,4.113333
1982-10-29,3.970399
1982-11-01,4.192741000000001
1982-11-02,4.192741000000001
1982-11-03,4.319794
1982-11-04,4.208622
1982-11-05,4.303912
1982-11-08,4.160978
1982-11-09,4.097452
1982-11-10,3.9545169999999996
1982-11-11,3.9227540000000003
1982-11-12,3.732175
1982-11-15,3.859228
1982-11-16,3.9227540000000003
1982-11-17,4.129215
1982-11-18,4.145096
1982-11-19,4.018044000000001
1982-11-22,3.9386360000000002
1982-11-23,3.843346
1982-11-24,3.906872
1982-11-26,3.8909910000000005
1982-11-29,3.843346
1982-11-30,4.256268
1982-12-01,4.033925
1982-12-02,4.002162
1982-12-03,3.8751089999999997
1982-12-06,3.859228
1982-12-07,4.033925
1982-12-08,4.033925
1982-12-09,4.192741000000001
1982-12-10,4.319794
1982-12-13,4.160978
1982-12-14,3.9386360000000002
1982-12-15,4.018044000000001
1982-12-16,4.097452
1982-12-17,4.176858999999999
1982-12-20,4.097452
1982-12-21,4.08157
1982-12-22,4.033925
1982-12-23,4.065688
1982-12-27,4.129215
1982-12-28,4.097452
1982-12-29,4.097452
1982-12-30,4.145096
1982-12-31,4.145096
1983-01-03,4.176858999999999
1983-01-04,4.351557
1983-01-05,4.415083
1983-01-06,4.494492
1983-01-07,4.319794
1983-01-10,4.4309650000000005
1983-01-11,4.383319999999999
1983-01-12,4.4309650000000005
1983-01-13,4.192741000000001
1983-01-14,4.288031
1983-01-17,4.256268
1983-01-18,4.303912
1983-01-19,4.4309650000000005
1983-01-20,4.621544
1983-01-21,4.446846
1983-01-24,4.192741000000001
1983-01-25,4.113333
1983-01-26,4.145096
1983-01-27,4.240386
1983-01-28,4.176858999999999
1983-01-31,4.113333
1983-02-01,3.8751089999999997
1983-02-02,3.9386360000000002
1983-02-03,4.097452
1983-02-04,4.113333
1983-02-07,4.097452
1983-02-08,4.002162
1983-02-09,3.8909910000000005
1983-02-10,4.129215
1983-02-11,4.065688
1983-02-14,4.113333
1983-02-15,4.08157
1983-02-16,3.906872
1983-02-17,3.9227540000000003
1983-02-18,3.9386360000000002
1983-02-22,3.732175
1983-02-23,3.795701
1983-02-24,3.9227540000000003
1983-02-25,4.049807
1983-02-28,3.8909910000000005
1983-03-01,3.970399
1983-03-02,4.129215
1983-03-03,4.256268
1983-03-04,4.288031
1983-03-07,4.272149
1983-03-08,4.2245040000000005
1983-03-09,4.303912
1983-03-10,4.288031
1983-03-11,4.256268
1983-03-14,4.256268
1983-03-15,4.2245040000000005
1983-03-16,4.145096
1983-03-17,3.906872
1983-03-18,3.9227540000000003
1983-03-21,3.9386360000000002
1983-03-22,3.827464
1983-03-23,3.906872
1983-03-24,3.9862800000000003
1983-03-25,3.8751089999999997
1983-03-28,3.859228
1983-03-29,3.8751089999999997
1983-03-30,4.018044000000001
1983-03-31,4.208622
1983-04-04,4.272149
1983-04-05,4.176858999999999
1983-04-06,4.129215
1983-04-07,4.192741000000001
1983-04-08,4.367439
1983-04-11,4.47861
1983-04-12,4.446846
1983-04-13,4.4309650000000005
1983-04-14,4.462728
1983-04-15,4.415083
1983-04-18,4.335675
1983-04-19,4.288031
1983-04-20,4.256268
1983-04-21,4.192741000000001
1983-04-22,4.272149
1983-04-25,4.2245040000000005
1983-04-26,4.462728
1983-04-27,4.47861
1983-04-28,4.47861
1983-04-29,4.621544
1983-05-02,4.399202
1983-05-03,4.462728
1983-05-04,4.4309650000000005
1983-05-05,4.160978
1983-05-06,4.240386
1983-05-09,4.288031
1983-05-10,4.2245040000000005
1983-05-11,4.319794
1983-05-12,4.288031
1983-05-13,4.335675
1983-05-16,4.446846
1983-05-17,4.446846
1983-05-18,4.351557
1983-05-19,4.288031
1983-05-20,4.319794
1983-05-23,4.399202
1983-05-24,4.462728
1983-05-25,4.462728
1983-05-26,4.383319999999999
1983-05-27,4.319794
1983-05-31,4.303912
1983-06-01,4.319794
1983-06-02,4.319794
1983-06-03,4.288031
1983-06-06,4.240386
1983-06-07,4.129215
1983-06-08,4.049807
1983-06-09,4.065688
1983-06-10,4.145096
1983-06-13,4.240386
1983-06-14,4.240386
1983-06-15,4.192741000000001
1983-06-16,4.303912
1983-06-17,4.399202
1983-06-20,4.415083
1983-06-21,4.47861
1983-06-22,4.510373
1983-06-23,4.494492
1983-06-24,4.542136
1983-06-27,4.510373
1983-06-28,4.351557
1983-06-29,4.335675
1983-06-30,4.47861
1983-07-01,4.510373
1983-07-05,4.494492
1983-07-06,4.605662000000001
1983-07-07,4.573899
1983-07-08,4.573899
1983-07-11,4.5897809999999994
1983-07-12,4.446846
1983-07-13,4.446846
1983-07-14,4.494492
1983-07-15,4.462728
1983-07-18,4.494492
1983-07-19,4.47861
1983-07-20,4.573899
1983-07-21,4.510373
1983-07-22,4.47861
1983-07-25,4.558018
1983-07-26,4.558018
1983-07-27,4.558018
1983-07-28,4.47861
1983-07-29,4.335675
1983-08-01,4.303912
1983-08-02,4.335675
1983-08-03,4.4309650000000005
1983-08-04,4.415083
1983-08-05,4.4309650000000005
1983-08-08,4.335675
1983-08-09,4.367439
1983-08-10,4.494492
1983-08-11,4.542136
1983-08-12,4.558018
1983-08-15,4.510373
1983-08-16,4.542136
1983-08-17,4.700952
1983-08-18,4.732715
1983-08-19,4.843886
1983-08-22,4.907413
1983-08-23,4.812123000000001
1983-08-24,4.732715
1983-08-25,4.685071
1983-08-26,4.669189
1983-08-29,4.685071
1983-08-30,4.732715
1983-08-31,4.7962419999999995
1983-09-01,4.764479
1983-09-02,4.700952
1983-09-06,4.732715
1983-09-07,4.6374260000000005
1983-09-08,4.5897809999999994
1983-09-09,4.605662000000001
1983-09-12,4.494492
1983-09-13,4.47861
1983-09-14,4.446846
1983-09-15,4.47861
1983-09-16,4.510373
1983-09-19,4.6374260000000005
1983-09-20,4.653307
1983-09-21,4.5897809999999994
1983-09-22,4.621544
1983-09-23,4.526255
1983-09-26,4.510373
1983-09-27,4.415083
1983-09-28,4.462728
1983-09-29,4.383319999999999
1983-09-30,4.335675
1983-10-03,4.272149
1983-10-04,4.208622
1983-10-05,4.160978
1983-10-06,4.288031
1983-10-07,4.240386
1983-10-10,4.510373
1983-10-11,4.383319999999999
1983-10-12,4.415083
1983-10-13,4.303912
1983-10-14,4.288031
1983-10-17,4.303912
1983-10-18,4.272149
1983-10-19,4.2245040000000005
1983-10-20,4.303912
1983-10-21,4.288031
1983-10-24,4.319794
1983-10-25,4.415083
1983-10-26,4.415083
1983-10-27,4.288031
1983-10-28,4.303912
1983-10-31,4.319794
1983-11-01,4.335675
1983-11-02,4.383319999999999
1983-11-03,4.415083
