Date,TMUS
2007-04-19,54.799999
2007-04-20,57.099998
2007-04-23,57.5
2007-04-24,58.400002
2007-04-25,57.220001
2007-04-26,56.400002
2007-04-27,56.799999
2007-04-30,56.099998
2007-05-01,55.799999
2007-05-02,56.32
2007-05-03,57.299999
2007-05-04,57.599998
2007-05-07,58.139998999999996
2007-05-08,58.599998
2007-05-09,61.700001
2007-05-10,60.82
2007-05-11,61.82
2007-05-14,63.84
2007-05-15,68.41999799999999
2007-05-16,68.720001
2007-05-17,72.800003
2007-05-18,73.160004
2007-05-21,69.08000200000001
2007-05-22,67.41999799999999
2007-05-23,67.160004
2007-05-24,67.860001
2007-05-25,70.019997
2007-05-29,67.800003
2007-05-30,71.639999
2007-05-31,71.32
2007-06-01,73.18
2007-06-04,73.360001
2007-06-05,70.519997
2007-06-06,67.779999
2007-06-07,65.059998
2007-06-08,65.099998
2007-06-11,67.540001
2007-06-12,66.239998
2007-06-13,67.58000200000001
2007-06-14,65.860001
2007-06-15,71.199997
2007-06-18,71.239998
2007-06-19,67.980003
2007-06-20,65.279999
2007-06-21,67.239998
2007-06-22,67.660004
2007-06-25,70.0
2007-06-26,69.519997
2007-06-27,69.699997
2007-06-28,67.300003
2007-06-29,66.08000200000001
2007-07-02,66.059998
2007-07-03,68.68
2007-07-05,68.379997
2007-07-06,70.339996
2007-07-09,70.360001
2007-07-10,71.220001
2007-07-11,72.339996
2007-07-12,74.32
2007-07-13,74.41999799999999
2007-07-16,76.720001
2007-07-17,80.660004
2007-07-18,78.639999
2007-07-19,79.099998
2007-07-20,78.739998
2007-07-23,78.019997
2007-07-24,75.5
2007-07-25,71.279999
2007-07-26,70.900002
2007-07-27,70.400002
2007-07-30,74.58000200000001
2007-07-31,73.239998
2007-08-01,73.699997
2007-08-02,78.040001
2007-08-03,62.32
2007-08-06,61.18
2007-08-07,64.0
2007-08-08,63.52
2007-08-09,55.98
2007-08-10,55.0
2007-08-13,57.66
2007-08-14,55.48
2007-08-15,51.580002
2007-08-16,48.299999
2007-08-17,52.360001000000004
2007-08-20,51.400002
2007-08-21,51.18
2007-08-22,51.080002
2007-08-23,51.060001
2007-08-24,56.700001
2007-08-27,61.34
2007-08-28,59.860001000000004
2007-08-29,56.599998
2007-08-30,53.860001000000004
2007-08-31,54.580002
2007-09-04,57.299999
2007-09-05,57.779999
2007-09-06,56.18
2007-09-07,54.439999
2007-09-10,53.5
2007-09-11,53.299999
2007-09-12,52.040001000000004
2007-09-13,49.580002
2007-09-14,50.200001
2007-09-17,50.380001
2007-09-18,50.919998
2007-09-19,51.299999
2007-09-20,52.880001
2007-09-21,53.0
2007-09-24,53.419998
2007-09-25,54.360001000000004
2007-09-26,53.98
2007-09-27,55.060001
2007-09-28,54.560001
2007-10-01,54.48
2007-10-02,55.700001
2007-10-03,55.34
2007-10-04,55.200001
2007-10-05,49.580002
2007-10-08,48.400002
2007-10-09,50.419998
2007-10-10,49.619999
2007-10-11,49.860001000000004
2007-10-12,49.700001
2007-10-15,48.040001000000004
2007-10-16,45.599998
