Date,ABT
1981-01-22,0.769795
1981-01-23,0.759274
1981-01-26,0.761027
1981-01-27,0.764534
1981-01-28,0.764534
1981-01-29,0.771548
1981-01-30,0.771548
1981-02-02,0.766288
1981-02-03,0.7820699999999999
1981-02-04,0.773302
1981-02-05,0.7925909999999999
1981-02-06,0.8048649999999999
1981-02-09,0.8048649999999999
1981-02-10,0.810126
1981-02-11,0.811879
1981-02-12,0.801358
1981-02-13,0.8048649999999999
1981-02-17,0.808372
1981-02-18,0.8276610000000001
1981-02-19,0.81714
1981-02-20,0.8206469999999999
1981-02-23,0.806619
1981-02-24,0.810126
1981-02-25,0.806619
1981-02-26,0.834675
1981-02-27,0.839936
1981-03-02,0.853964
1981-03-03,0.834675
1981-03-04,0.834675
1981-03-05,0.81714
1981-03-06,0.8206469999999999
1981-03-09,0.8224
1981-03-10,0.824154
1981-03-11,0.8224
1981-03-12,0.8364290000000001
1981-03-13,0.8416889999999999
1981-03-16,0.838182
1981-03-17,0.8276610000000001
1981-03-18,0.831168
1981-03-19,0.825907
1981-03-20,0.839936
1981-03-23,0.85221
1981-03-24,0.8364290000000001
1981-03-25,0.8416889999999999
1981-03-26,0.8276610000000001
1981-03-27,0.825907
1981-03-30,0.838182
1981-03-31,0.8416889999999999
1981-04-01,0.8416889999999999
1981-04-02,0.838182
1981-04-03,0.8276610000000001
1981-04-06,0.81714
1981-04-07,0.810126
1981-04-08,0.810126
1981-04-09,0.8329219999999999
1981-04-10,0.838182
1981-04-13,0.8329219999999999
1981-04-14,0.834675
1981-04-15,0.834675
1981-04-16,0.834675
1981-04-20,0.8276610000000001
1981-04-21,0.825907
1981-04-22,0.825907
1981-04-23,0.8276610000000001
1981-04-24,0.8276610000000001
1981-04-27,0.8276610000000001
1981-04-28,0.8206469999999999
1981-04-29,0.81714
1981-04-30,0.810126
1981-05-01,0.8031119999999999
1981-05-04,0.8031119999999999
1981-05-05,0.790837
1981-05-06,0.7855770000000001
1981-05-07,0.796098
1981-05-08,0.799605
1981-05-11,0.7855770000000001
1981-05-12,0.780316
1981-05-13,0.7838229999999999
1981-05-14,0.7855770000000001
1981-05-15,0.790837
1981-05-18,0.8031119999999999
1981-05-19,0.7943439999999999
1981-05-20,0.7855770000000001
1981-05-21,0.790837
1981-05-22,0.790837
1981-05-26,0.790837
1981-05-27,0.789084
1981-05-28,0.7838229999999999
1981-05-29,0.7820699999999999
1981-06-01,0.7925909999999999
1981-06-02,0.789084
1981-06-03,0.778562
1981-06-04,0.7820699999999999
1981-06-05,0.7855770000000001
1981-06-08,0.806619
1981-06-09,0.8136329999999999
1981-06-10,0.831168
1981-06-11,0.8557170000000001
1981-06-12,0.8627309999999999
1981-06-15,0.838182
1981-06-16,0.845196
1981-06-17,0.87676
1981-06-18,0.883774
1981-06-19,0.8627309999999999
1981-06-22,0.8627309999999999
1981-06-23,0.8697450000000001
1981-06-24,0.880267
1981-06-25,0.883774
1981-06-26,0.887281
1981-06-29,0.880267
1981-06-30,0.883774
1981-07-01,0.859224
1981-07-02,0.834675
1981-07-06,0.810126
1981-07-07,0.810126
1981-07-08,0.7925909999999999
1981-07-09,0.796098
1981-07-10,0.796098
1981-07-13,0.7820699999999999
1981-07-14,0.796098
1981-07-15,0.81714
1981-07-16,0.806619
1981-07-17,0.8136329999999999
1981-07-20,0.8136329999999999
1981-07-21,0.789084
1981-07-22,0.771548
1981-07-23,0.739985
1981-07-24,0.736478
1981-07-27,0.768041
1981-07-28,0.764534
1981-07-29,0.75752
1981-07-30,0.764534
1981-07-31,0.778562
1981-08-03,0.764534
1981-08-04,0.775055
1981-08-05,0.778562
1981-08-06,0.7855770000000001
1981-08-07,0.789084
