Date,LNC
1980-03-17,9.125
1980-03-18,9.09375
1980-03-19,9.25
1980-03-20,9.28125
1980-03-21,9.15625
1980-03-24,9.125
1980-03-25,9.0625
1980-03-26,8.90625
1980-03-27,8.3125
1980-03-28,8.375
1980-03-31,8.4375
1980-04-01,8.5625
1980-04-02,8.71875
1980-04-03,8.59375
1980-04-07,8.5
1980-04-08,8.6875
1980-04-09,8.71875
1980-04-10,8.90625
1980-04-11,9.0625
1980-04-14,8.875
1980-04-15,8.6875
1980-04-16,8.5625
1980-04-17,8.6875
1980-04-18,8.75
1980-04-21,8.75
1980-04-22,9.03125
1980-04-23,9.0625
1980-04-24,9.21875
1980-04-25,9.21875
1980-04-28,9.0625
1980-04-29,9.09375
1980-04-30,9.09375
1980-05-01,8.90625
1980-05-02,9.0
1980-05-05,9.0
1980-05-06,9.25
1980-05-07,9.5625
1980-05-08,9.40625
1980-05-09,9.09375
1980-05-12,9.125
1980-05-13,9.0625
1980-05-14,9.25
1980-05-15,9.25
1980-05-16,9.21875
1980-05-19,9.15625
1980-05-20,9.21875
1980-05-21,9.21875
1980-05-22,9.28125
1980-05-23,9.59375
1980-05-27,9.625
1980-05-28,9.65625
1980-05-29,9.625
1980-05-30,9.6875
1980-06-02,9.625
1980-06-03,9.71875
1980-06-04,9.8125
1980-06-05,9.875
1980-06-06,10.0
1980-06-09,9.9375
1980-06-10,10.0625
1980-06-11,10.15625
1980-06-12,10.25
1980-06-13,10.53125
1980-06-16,10.5625
1980-06-17,10.65625
1980-06-18,10.59375
1980-06-19,10.53125
1980-06-20,10.4375
1980-06-23,10.375
1980-06-24,10.46875
1980-06-25,10.5625
1980-06-26,10.40625
1980-06-27,10.40625
1980-06-30,10.3125
1980-07-01,10.4375
1980-07-02,10.5625
1980-07-03,10.4375
1980-07-07,10.4375
1980-07-08,10.625
1980-07-09,10.625
1980-07-10,10.4375
1980-07-11,10.5
1980-07-14,10.625
1980-07-15,10.75
1980-07-16,10.875
1980-07-17,10.75
1980-07-18,10.84375
1980-07-21,10.78125
1980-07-22,10.75
1980-07-23,11.28125
1980-07-24,11.375
1980-07-25,11.0625
1980-07-28,11.0
1980-07-29,10.9375
1980-07-30,10.8125
1980-07-31,10.75
1980-08-01,10.6875
1980-08-04,10.9375
1980-08-05,11.15625
1980-08-06,11.25
1980-08-07,11.375
1980-08-08,11.0
1980-08-11,10.9375
1980-08-12,11.0625
1980-08-13,10.96875
