Date,AMGN
1984-05-03,0.109375
1984-05-04,0.109375
1984-05-07,0.109375
1984-05-08,0.106771
1984-05-09,0.10416700000000001
1984-05-10,0.098958
1984-05-11,0.10416700000000001
1984-05-14,0.106771
1984-05-15,0.109375
1984-05-16,0.11458299999999999
1984-05-17,0.11458299999999999
1984-05-18,0.11458299999999999
1984-05-21,0.11718800000000001
1984-05-22,0.11458299999999999
1984-05-23,0.11718800000000001
1984-05-24,0.11718800000000001
1984-05-25,0.11718800000000001
1984-05-29,0.111979
1984-05-30,0.111979
1984-05-31,0.111979
1984-06-01,0.11458299999999999
1984-06-04,0.11718800000000001
1984-06-05,0.111979
1984-06-06,0.111979
1984-06-07,0.11458299999999999
1984-06-08,0.11718800000000001
1984-06-11,0.111979
1984-06-12,0.111979
1984-06-13,0.11458299999999999
1984-06-14,0.111979
1984-06-15,0.111979
1984-06-18,0.111979
1984-06-19,0.11458299999999999
1984-06-20,0.111979
1984-06-21,0.11718800000000001
1984-06-22,0.122396
1984-06-25,0.122396
1984-06-26,0.11979200000000001
1984-06-27,0.11979200000000001
1984-06-28,0.11979200000000001
1984-06-29,0.11979200000000001
1984-07-02,0.122396
1984-07-03,0.11458299999999999
1984-07-05,0.11979200000000001
1984-07-06,0.11979200000000001
1984-07-09,0.11458299999999999
1984-07-10,0.11718800000000001
1984-07-11,0.111979
1984-07-12,0.111979
1984-07-13,0.109375
1984-07-16,0.109375
1984-07-17,0.109375
1984-07-18,0.109375
1984-07-19,0.109375
1984-07-20,0.106771
1984-07-23,0.10416700000000001
1984-07-24,0.10416700000000001
1984-07-25,0.101563
1984-07-26,0.10416700000000001
1984-07-27,0.10416700000000001
1984-07-30,0.098958
1984-07-31,0.098958
1984-08-01,0.101563
1984-08-02,0.101563
1984-08-03,0.106771
1984-08-06,0.11458299999999999
1984-08-07,0.10416700000000001
1984-08-08,0.109375
1984-08-09,0.106771
1984-08-10,0.10416700000000001
1984-08-13,0.106771
1984-08-14,0.10416700000000001
1984-08-15,0.101563
1984-08-16,0.10416700000000001
1984-08-17,0.098958
1984-08-20,0.096354
1984-08-21,0.101563
1984-08-22,0.101563
1984-08-23,0.101563
1984-08-24,0.101563
1984-08-27,0.106771
1984-08-28,0.106771
1984-08-29,0.10416700000000001
1984-08-30,0.106771
1984-08-31,0.106771
1984-09-04,0.10416700000000001
1984-09-05,0.106771
1984-09-06,0.10416700000000001
1984-09-07,0.10416700000000001
1984-09-10,0.106771
1984-09-11,0.10416700000000001
1984-09-12,0.10416700000000001
1984-09-13,0.10416700000000001
1984-09-14,0.10416700000000001
1984-09-17,0.106771
1984-09-18,0.106771
1984-09-19,0.10416700000000001
1984-09-20,0.101563
1984-09-21,0.10416700000000001
1984-09-24,0.101563
1984-09-25,0.101563
1984-09-26,0.101563
1984-09-27,0.101563
1984-09-28,0.10416700000000001
1984-10-01,0.101563
1984-10-02,0.098958
1984-10-03,0.098958
1984-10-04,0.096354
1984-10-05,0.09375
1984-10-08,0.096354
1984-10-09,0.091146
1984-10-10,0.091146
1984-10-11,0.09375
1984-10-12,0.096354
1984-10-15,0.10416700000000001
1984-10-16,0.098958
1984-10-17,0.096354
1984-10-18,0.096354
1984-10-19,0.096354
1984-10-22,0.101563
1984-10-23,0.101563
1984-10-24,0.096354
1984-10-25,0.101563
1984-10-26,0.101563
1984-10-29,0.098958
