Date,K
1973-02-21,1.8125
1973-02-22,1.828125
1973-02-23,1.765625
1973-02-26,1.734375
1973-02-27,1.757813
1973-02-28,1.78125
1973-03-01,1.828125
1973-03-02,1.820313
1973-03-05,1.8125
1973-03-06,1.8125
1973-03-07,1.8125
1973-03-08,1.8125
1973-03-09,1.796875
1973-03-12,1.796875
1973-03-13,1.804688
1973-03-14,1.773438
1973-03-15,1.765625
1973-03-16,1.804688
1973-03-19,1.828125
1973-03-20,1.851563
1973-03-21,1.820313
1973-03-22,1.78125
1973-03-23,1.84375
1973-03-26,1.84375
1973-03-27,1.890625
1973-03-28,1.890625
1973-03-29,1.90625
1973-03-30,1.960938
1973-04-02,1.96875
1973-04-03,1.992188
1973-04-04,1.953125
1973-04-05,2.015625
1973-04-06,1.96875
1973-04-09,1.992188
1973-04-10,1.984375
1973-04-11,1.976563
1973-04-12,1.953125
1973-04-13,1.96875
1973-04-16,1.992188
1973-04-17,2.015625
1973-04-18,2.0
1973-04-19,2.0
1973-04-23,1.992188
1973-04-24,1.992188
1973-04-25,1.976563
1973-04-26,1.953125
1973-04-27,1.921875
1973-04-30,1.953125
1973-05-01,1.921875
1973-05-02,1.984375
1973-05-03,2.0625
1973-05-04,2.171875
1973-05-07,2.078125
1973-05-08,2.125
1973-05-09,2.09375
1973-05-10,2.078125
1973-05-11,2.125
1973-05-14,2.09375
1973-05-15,2.046875
1973-05-16,2.015625
1973-05-17,2.0
1973-05-18,1.96875
1973-05-21,2.015625
1973-05-22,2.046875
1973-05-23,2.03125
1973-05-24,2.046875
1973-05-25,2.03125
1973-05-29,2.046875
1973-05-30,1.96875
1973-05-31,1.875
1973-06-01,1.9375
1973-06-04,1.90625
1973-06-05,1.90625
1973-06-06,1.984375
1973-06-07,2.0
1973-06-08,2.078125
1973-06-11,2.0625
1973-06-12,2.0625
1973-06-13,2.0625
1973-06-14,1.96875
1973-06-15,1.921875
1973-06-18,1.953125
1973-06-19,1.953125
1973-06-20,1.96875
1973-06-21,1.96875
1973-06-22,2.0
1973-06-25,1.96875
1973-06-26,1.84375
1973-06-27,1.703125
1973-06-28,1.765625
1973-06-29,1.765625
1973-07-02,1.734375
1973-07-03,1.8125
1973-07-05,1.75
1973-07-06,1.734375
1973-07-09,1.734375
1973-07-10,1.765625
1973-07-11,1.796875
1973-07-12,1.734375
1973-07-13,1.734375
1973-07-16,1.8125
1973-07-17,1.75
1973-07-18,1.703125
1973-07-19,1.75
1973-07-20,1.859375
1973-07-23,1.8125
1973-07-24,1.8125
1973-07-25,1.78125
1973-07-26,1.84375
1973-07-27,1.8125
1973-07-30,1.796875
1973-07-31,1.78125
1973-08-01,1.78125
1973-08-02,1.796875
1973-08-03,1.8125
1973-08-06,1.84375
1973-08-07,1.75
1973-08-08,1.734375
1973-08-09,1.734375
1973-08-10,1.734375
1973-08-13,1.703125
1973-08-14,1.734375
1973-08-15,1.765625
1973-08-16,1.75
1973-08-17,1.75
1973-08-20,1.75
1973-08-21,1.734375
1973-08-22,1.734375
1973-08-23,1.734375
1973-08-24,1.75
1973-08-27,1.734375
1973-08-28,1.796875
1973-08-29,1.765625
1973-08-30,1.765625
1973-08-31,1.828125
1973-09-04,1.859375
1973-09-05,1.875
1973-09-06,1.859375
1973-09-07,1.875
1973-09-10,1.875
1973-09-11,1.859375
1973-09-12,1.859375
1973-09-13,1.84375
1973-09-14,1.890625
1973-09-17,1.875
1973-09-18,1.90625
1973-09-19,1.90625
1973-09-20,1.875
1973-09-21,1.859375
1973-09-24,1.875
1973-09-25,1.90625
1973-09-26,1.890625
1973-09-27,1.859375
1973-09-28,1.8125
1973-10-01,1.78125
1973-10-02,1.859375
1973-10-03,1.84375
1973-10-04,1.921875
1973-10-05,1.890625
1973-10-08,1.890625
1973-10-09,1.921875
1973-10-10,1.890625
1973-10-11,1.9375
1973-10-12,1.890625
1973-10-15,1.875
1973-10-16,1.84375
1973-10-17,1.828125
1973-10-18,1.875
1973-10-19,1.890625
1973-10-22,1.90625
1973-10-23,1.890625
1973-10-24,1.875
1973-10-25,1.875
1973-10-26,1.9375
1973-10-29,1.921875
1973-10-30,1.890625
1973-10-31,1.875
1973-11-01,1.875
1973-11-02,1.875
1973-11-05,1.84375
1973-11-06,1.859375
1973-11-07,1.828125
1973-11-08,1.890625
1973-11-09,1.859375
1973-11-12,1.90625
1973-11-13,1.875
1973-11-14,1.875
1973-11-15,1.875
1973-11-16,1.875
1973-11-19,1.859375
1973-11-20,1.859375
1973-11-21,1.875
1973-11-23,1.84375
1973-11-26,1.84375
1973-11-27,1.8125
1973-11-28,1.828125
1973-11-29,1.828125
1973-11-30,1.78125
1973-12-03,1.84375
1973-12-04,1.890625
1973-12-05,1.84375
1973-12-06,1.84375
1973-12-07,1.859375
1973-12-10,1.90625
1973-12-11,1.875
1973-12-12,1.890625
1973-12-13,1.875
1973-12-14,1.890625
1973-12-17,1.890625
1973-12-18,1.859375
1973-12-19,1.921875
1973-12-20,1.875
1973-12-21,1.890625
1973-12-24,1.875
1973-12-26,1.890625
1973-12-27,1.90625
1973-12-28,1.96875
1973-12-31,1.9375
1974-01-02,1.890625
1974-01-03,2.0
1974-01-04,1.96875
1974-01-07,1.953125
1974-01-08,1.953125
1974-01-09,1.9375
1974-01-10,1.921875
1974-01-11,1.9375
1974-01-14,1.953125
1974-01-15,1.984375
1974-01-16,1.984375
1974-01-17,2.03125
1974-01-18,2.03125
1974-01-21,2.09375
1974-01-22,2.0625
1974-01-23,2.09375
1974-01-24,2.109375
1974-01-25,2.109375
1974-01-28,2.203125
1974-01-29,2.171875
1974-01-30,2.234375
1974-01-31,2.203125
1974-02-01,2.15625
1974-02-04,2.09375
1974-02-05,2.109375
1974-02-06,2.171875
1974-02-07,2.15625
1974-02-08,2.1875
1974-02-11,2.171875
1974-02-12,2.140625
