Date,CE
2005-01-21,16.0
2005-01-24,16.0
2005-01-25,15.65
2005-01-26,15.59
2005-01-27,15.78
2005-01-28,16.0
2005-01-31,16.129998999999998
2005-02-01,16.200001
2005-02-02,16.200001
2005-02-03,16.01
2005-02-04,16.040001
2005-02-07,15.75
2005-02-08,15.8
2005-02-09,15.79
2005-02-10,15.58
2005-02-11,15.57
2005-02-14,15.6
2005-02-15,15.94
2005-02-16,16.1
2005-02-17,16.5
2005-02-18,16.74
2005-02-22,16.450001
2005-02-23,16.6
2005-02-24,16.75
2005-02-25,17.27
2005-02-28,16.700001
2005-03-01,16.16
2005-03-02,16.360001
2005-03-03,16.25
2005-03-04,16.51
2005-03-07,17.09
2005-03-08,17.25
2005-03-09,17.950001
2005-03-10,17.9
2005-03-11,18.0
2005-03-14,17.85
2005-03-15,17.65
2005-03-16,17.32
2005-03-17,17.389999
2005-03-18,17.26
2005-03-21,16.950001
2005-03-22,16.99
2005-03-23,16.9
2005-03-24,18.09
2005-03-28,17.83
2005-03-29,17.41
2005-03-30,17.700001
2005-03-31,17.99
2005-04-01,18.1
2005-04-04,17.389999
2005-04-05,17.33
2005-04-06,17.25
2005-04-07,17.280001000000002
2005-04-08,17.02
2005-04-11,17.08
2005-04-12,17.309998999999998
2005-04-13,16.809998999999998
2005-04-14,16.18
2005-04-15,15.65
2005-04-18,15.3
2005-04-19,15.6
2005-04-20,15.1
2005-04-21,15.24
2005-04-22,15.0
2005-04-25,15.27
2005-04-26,14.78
2005-04-27,14.3
2005-04-28,14.1
2005-04-29,14.55
2005-05-02,15.12
2005-05-03,15.12
2005-05-04,15.21
2005-05-05,15.5
2005-05-06,15.47
2005-05-09,15.91
2005-05-10,15.15
2005-05-11,15.09
2005-05-12,14.85
2005-05-13,14.26
2005-05-16,14.06
2005-05-17,14.16
2005-05-18,14.64
2005-05-19,15.28
2005-05-20,15.55
2005-05-23,16.25
2005-05-24,16.1
2005-05-25,15.94
2005-05-26,15.62
2005-05-27,15.53
2005-05-31,15.48
2005-06-01,15.76
2005-06-02,15.95
2005-06-03,15.88
2005-06-06,15.85
2005-06-07,15.82
2005-06-08,15.79
2005-06-09,15.8
2005-06-10,15.8
2005-06-13,15.64
2005-06-14,15.7
2005-06-15,15.87
2005-06-16,16.299999
2005-06-17,15.65
2005-06-20,15.38
2005-06-21,15.47
2005-06-22,15.86
2005-06-23,15.78
2005-06-24,15.84
2005-06-27,15.67
2005-06-28,15.72
2005-06-29,15.8
2005-06-30,15.89
2005-07-01,15.97
2005-07-05,16.040001
2005-07-06,16.219998999999998
2005-07-07,16.1
2005-07-08,16.23
2005-07-11,16.940001000000002
2005-07-12,17.42
2005-07-13,17.780001000000002
2005-07-14,17.77
2005-07-15,17.860001
2005-07-18,17.690001000000002
2005-07-19,17.98
2005-07-20,18.42
2005-07-21,18.530001000000002
2005-07-22,18.42
2005-07-25,18.4
2005-07-26,18.4
2005-07-27,18.790001
2005-07-28,18.700001
2005-07-29,18.82
2005-08-01,18.809998999999998
2005-08-02,18.879998999999998
2005-08-03,18.59
2005-08-04,18.440001000000002
2005-08-05,18.440001000000002
2005-08-08,18.42
2005-08-09,19.01
2005-08-10,19.120001000000002
2005-08-11,19.58
2005-08-12,19.610001
2005-08-15,19.74
2005-08-16,19.6
2005-08-17,19.440001000000002
2005-08-18,19.23
2005-08-19,19.209999
2005-08-22,19.459999
2005-08-23,20.059998999999998
2005-08-24,19.75
2005-08-25,19.15
2005-08-26,18.83
2005-08-29,18.610001
2005-08-30,18.41
2005-08-31,18.43
2005-09-01,18.65
2005-09-02,18.59
2005-09-06,18.66
2005-09-07,18.82
2005-09-08,18.889999
2005-09-09,19.030001000000002
2005-09-12,19.23
2005-09-13,19.26
2005-09-14,19.129998999999998
2005-09-15,18.48
2005-09-16,18.42
2005-09-19,18.15
2005-09-20,17.68
2005-09-21,17.110001
2005-09-22,17.1
2005-09-23,17.35
2005-09-26,17.110001
2005-09-27,16.950001
2005-09-28,16.860001
2005-09-29,17.030001000000002
2005-09-30,17.25
2005-10-03,16.77
2005-10-04,16.92
2005-10-05,16.860001
2005-10-06,16.700001
2005-10-07,17.030001000000002
2005-10-10,16.68
2005-10-11,16.85
2005-10-12,16.68
2005-10-13,16.709999
2005-10-14,16.93
2005-10-17,16.68
2005-10-18,16.6
2005-10-19,16.620001000000002
2005-10-20,16.35
2005-10-21,16.309998999999998
2005-10-24,16.66
2005-10-25,16.5
2005-10-26,16.48
2005-10-27,16.26
2005-10-28,17.25
2005-10-31,17.639999
2005-11-01,17.799999
2005-11-02,18.219998999999998
2005-11-03,17.92
2005-11-04,18.120001000000002
2005-11-07,18.299999
2005-11-08,17.75
2005-11-09,16.57
2005-11-10,16.299999
2005-11-11,17.549999
2005-11-14,17.01
2005-11-15,17.15
2005-11-16,17.1
2005-11-17,17.09
2005-11-18,17.01
2005-11-21,16.889999
2005-11-22,17.16
2005-11-23,17.370001000000002
2005-11-25,17.52
2005-11-28,17.42
2005-11-29,17.41
2005-11-30,17.299999
2005-12-01,17.49
2005-12-02,17.4
2005-12-05,17.5
2005-12-06,17.65
2005-12-07,17.4
2005-12-08,17.200001
2005-12-09,17.1
2005-12-12,17.450001
2005-12-13,18.790001
2005-12-14,18.700001
2005-12-15,18.879998999999998
2005-12-16,19.290001
2005-12-19,19.639999
2005-12-20,19.33
2005-12-21,19.15
2005-12-22,19.09
2005-12-23,19.389999
2005-12-27,19.35
2005-12-28,19.299999
2005-12-29,19.18
2005-12-30,19.120001000000002
2006-01-03,19.77
2006-01-04,19.799999
2006-01-05,19.77
2006-01-06,19.73
2006-01-09,19.379998999999998
2006-01-10,19.5
2006-01-11,19.27
2006-01-12,19.02
2006-01-13,19.139999
2006-01-17,20.049999
2006-01-18,19.809998999999998
2006-01-19,20.0
2006-01-20,19.620001000000002
2006-01-23,19.73
2006-01-24,20.290001
2006-01-25,20.34
2006-01-26,20.35
2006-01-27,20.280001000000002
2006-01-30,20.16
2006-01-31,20.469998999999998
2006-02-01,20.18
2006-02-02,20.02
2006-02-03,20.219998999999998
2006-02-06,20.620001000000002
2006-02-07,20.32
2006-02-08,20.24
2006-02-09,20.32
2006-02-10,20.629998999999998
2006-02-13,20.190001000000002
2006-02-14,20.219998999999998
2006-02-15,21.15
2006-02-16,20.68
2006-02-17,21.219998999999998
2006-02-21,21.379998999999998
2006-02-22,21.57
2006-02-23,21.59
2006-02-24,21.51
2006-02-27,21.860001
2006-02-28,21.4
2006-03-01,21.389999
2006-03-02,21.9
2006-03-03,21.73
2006-03-06,20.98
2006-03-07,20.49
2006-03-08,20.35
2006-03-09,20.299999
2006-03-10,20.620001000000002
2006-03-13,20.870001000000002
2006-03-14,20.73
2006-03-15,21.5
2006-03-16,21.690001000000002
2006-03-17,21.02
2006-03-20,21.040001
2006-03-21,21.02
2006-03-22,21.370001000000002
2006-03-23,20.860001
2006-03-24,20.59
2006-03-27,20.799999
2006-03-28,20.16
2006-03-29,20.43
2006-03-30,20.84
2006-03-31,20.969998999999998
2006-04-03,20.58
2006-04-04,21.01
2006-04-05,20.540001
2006-04-06,20.190001000000002
2006-04-07,20.030001000000002
2006-04-10,20.040001
2006-04-11,19.940001000000002
2006-04-12,20.24
2006-04-13,20.24
2006-04-17,20.440001000000002
2006-04-18,20.879998999999998
2006-04-19,21.49
2006-04-20,21.5
2006-04-21,21.790001
