Date,CMG
2007-02-12,60.720001
2007-02-13,60.450001
2007-02-14,59.689999
2007-02-15,61.380001
2007-02-16,65.029999
2007-02-20,63.889998999999996
2007-02-21,63.580002
2007-02-22,64.41999799999999
2007-02-23,64.309998
2007-02-26,63.630001
2007-02-27,60.25
2007-02-28,59.990002000000004
2007-03-01,61.23
2007-03-02,60.200001
2007-03-05,59.049999
2007-03-06,60.07
2007-03-07,60.220001
2007-03-08,60.09
2007-03-09,60.57
2007-03-12,61.23
2007-03-13,61.009997999999996
2007-03-14,60.59
2007-03-15,61.049999
2007-03-16,60.580002
2007-03-19,63.099998
2007-03-20,64.230003
2007-03-21,64.75
2007-03-22,64.16999799999999
2007-03-23,64.800003
2007-03-26,63.59
2007-03-27,62.369999
2007-03-28,62.060001
2007-03-29,62.200001
2007-03-30,62.099998
2007-04-02,62.740002000000004
2007-04-03,63.950001
2007-04-04,64.75
2007-04-05,64.910004
2007-04-09,65.0
2007-04-10,64.66999799999999
2007-04-11,63.779999
2007-04-12,64.160004
2007-04-13,64.07
2007-04-16,65.199997
2007-04-17,66.540001
2007-04-18,66.25
2007-04-19,65.370003
2007-04-20,65.589996
2007-04-23,65.510002
2007-04-24,65.0
2007-04-25,65.68
2007-04-26,66.940002
2007-04-27,66.019997
2007-04-30,65.230003
2007-05-01,66.260002
2007-05-02,78.089996
2007-05-03,79.010002
2007-05-04,78.370003
2007-05-07,76.400002
2007-05-08,77.620003
2007-05-09,77.690002
2007-05-10,80.550003
2007-05-11,81.739998
2007-05-14,82.699997
2007-05-15,81.099998
2007-05-16,82.440002
2007-05-17,81.260002
2007-05-18,82.0
2007-05-21,81.800003
2007-05-22,82.040001
2007-05-23,80.699997
2007-05-24,82.440002
2007-05-25,86.550003
2007-05-29,85.650002
2007-05-30,86.059998
2007-05-31,86.620003
2007-06-01,87.809998
2007-06-04,87.519997
2007-06-05,86.260002
2007-06-06,84.57
2007-06-07,82.849998
2007-06-08,84.760002
2007-06-11,84.489998
2007-06-12,82.620003
2007-06-13,83.349998
2007-06-14,83.910004
2007-06-15,85.050003
2007-06-18,85.66999799999999
2007-06-19,85.93
2007-06-20,84.449997
2007-06-21,83.449997
2007-06-22,79.58000200000001
2007-06-25,80.720001
2007-06-26,80.879997
2007-06-27,82.300003
