Date,CPB
1973-02-21,2.0625
1973-02-22,2.09375
1973-02-23,2.09375
1973-02-26,2.078125
1973-02-27,2.078125
1973-02-28,2.078125
1973-03-01,2.03125
1973-03-02,2.0
1973-03-05,1.9375
1973-03-06,1.976563
1973-03-07,2.0
1973-03-08,1.96875
1973-03-09,1.96875
1973-03-12,1.984375
1973-03-13,2.046875
1973-03-14,2.03125
1973-03-15,2.03125
1973-03-16,2.03125
1973-03-19,2.0
1973-03-20,2.007813
1973-03-21,2.015625
1973-03-22,1.992188
1973-03-23,1.945313
1973-03-26,1.921875
1973-03-27,1.90625
1973-03-28,1.914063
1973-03-29,1.953125
1973-03-30,1.984375
1973-04-02,2.039063
1973-04-03,2.0
1973-04-04,2.0
1973-04-05,1.992188
1973-04-06,2.0
1973-04-09,2.007813
1973-04-10,2.078125
1973-04-11,2.0625
1973-04-12,2.078125
1973-04-13,2.09375
1973-04-16,2.085938
1973-04-17,2.09375
1973-04-18,2.125
1973-04-19,2.125
1973-04-23,2.125
1973-04-24,2.078125
1973-04-25,2.015625
1973-04-26,2.03125
1973-04-27,2.0
1973-04-30,1.929688
1973-05-01,1.890625
1973-05-02,1.90625
1973-05-03,2.0
1973-05-04,2.046875
1973-05-07,2.039063
1973-05-08,2.039063
1973-05-09,2.023438
1973-05-10,2.007813
1973-05-11,2.015625
1973-05-14,1.914063
1973-05-15,1.828125
1973-05-16,1.78125
1973-05-17,1.828125
1973-05-18,1.84375
1973-05-21,1.84375
1973-05-22,1.921875
1973-05-23,1.984375
1973-05-24,1.9375
1973-05-25,1.992188
1973-05-29,2.0
1973-05-30,2.0
1973-05-31,1.96875
1973-06-01,1.960938
1973-06-04,1.90625
1973-06-05,1.9375
1973-06-06,1.929688
1973-06-07,1.992188
1973-06-08,2.015625
1973-06-11,2.046875
1973-06-12,2.054688
1973-06-13,2.054688
1973-06-14,1.9375
1973-06-15,1.882813
1973-06-18,1.882813
1973-06-19,1.859375
1973-06-20,1.84375
1973-06-21,1.8125
1973-06-22,1.867188
1973-06-25,1.875
1973-06-26,1.84375
1973-06-27,1.84375
1973-06-28,1.867188
1973-06-29,1.820313
1973-07-02,1.78125
1973-07-03,1.765625
1973-07-05,1.726563
1973-07-06,1.742188
1973-07-09,1.734375
1973-07-10,1.765625
1973-07-11,1.789063
1973-07-12,1.820313
1973-07-13,1.867188
1973-07-16,1.867188
1973-07-17,1.867188
1973-07-18,1.921875
1973-07-19,1.96875
1973-07-20,1.96875
1973-07-23,1.984375
1973-07-24,2.0
1973-07-25,2.0
1973-07-26,2.0
1973-07-27,1.960938
1973-07-30,1.953125
1973-07-31,1.953125
1973-08-01,1.921875
1973-08-02,1.90625
1973-08-03,1.914063
1973-08-06,1.882813
1973-08-07,1.859375
1973-08-08,1.882813
1973-08-09,1.828125
1973-08-10,1.773438
1973-08-13,1.757813
1973-08-14,1.8125
1973-08-15,1.8125
1973-08-16,1.734375
1973-08-17,1.8125
1973-08-20,1.8125
1973-08-21,1.804688
1973-08-22,1.742188
1973-08-23,1.765625
1973-08-24,1.765625
1973-08-27,1.765625
1973-08-28,1.8125
1973-08-29,1.859375
1973-08-30,1.859375
1973-08-31,1.84375
1973-09-04,1.875
1973-09-05,1.875
1973-09-06,1.859375
1973-09-07,1.859375
1973-09-10,1.84375
1973-09-11,1.851563
1973-09-12,1.820313
1973-09-13,1.8125
1973-09-14,1.828125
1973-09-17,1.804688
1973-09-18,1.804688
1973-09-19,1.8125
1973-09-20,1.828125
1973-09-21,1.8125
1973-09-24,1.875
1973-09-25,1.921875
1973-09-26,1.96875
1973-09-27,1.992188
1973-09-28,2.03125
1973-10-01,2.007813
1973-10-02,2.007813
1973-10-03,2.046875
1973-10-04,2.015625
1973-10-05,2.0
1973-10-08,2.0
1973-10-09,2.007813
1973-10-10,1.984375
1973-10-11,1.984375
1973-10-12,2.007813
1973-10-15,2.0
1973-10-16,1.984375
1973-10-17,1.992188
1973-10-18,1.984375
1973-10-19,2.023438
1973-10-22,2.0
1973-10-23,1.976563
1973-10-24,1.96875
1973-10-25,1.984375
1973-10-26,2.007813
1973-10-29,2.03125
1973-10-30,2.0
1973-10-31,2.015625
1973-11-01,1.992188
1973-11-02,1.984375
1973-11-05,1.96875
1973-11-06,1.976563
1973-11-07,1.976563
1973-11-08,1.992188
1973-11-09,1.992188
1973-11-12,1.984375
1973-11-13,1.976563
1973-11-14,1.9375
1973-11-15,1.867188
1973-11-16,1.898438
1973-11-19,1.898438
1973-11-20,1.898438
1973-11-21,1.96875
1973-11-23,1.984375
1973-11-26,1.953125
1973-11-27,1.9375
1973-11-28,1.9375
1973-11-29,1.875
1973-11-30,1.875
