Date,COO
1983-01-21,31.5
1983-01-24,33.5625
1983-01-25,35.4375
1983-01-26,35.4375
1983-01-27,37.3125
1983-01-28,36.75
1983-01-31,36.1875
1983-02-01,35.0625
1983-02-02,34.875
1983-02-03,35.25
1983-02-04,35.4375
1983-02-07,35.625
1983-02-08,35.625
1983-02-09,35.4375
1983-02-10,35.625
1983-02-11,35.625
1983-02-14,35.625
1983-02-15,34.875
1983-02-16,35.0625
1983-02-17,34.3125
1983-02-18,34.6875
1983-02-22,34.6875
1983-02-23,34.5
1983-02-24,34.6875
1983-02-25,34.875
1983-02-28,34.5
1983-03-01,33.0
1983-03-02,32.625
1983-03-03,32.25
1983-03-04,32.0625
1983-03-07,32.625
1983-03-08,34.125
1983-03-09,35.0625
1983-03-10,34.5
1983-03-11,34.5
1983-03-14,33.9375
1983-03-15,33.5625
1983-03-16,33.375
1983-03-17,32.25
1983-03-18,31.875
1983-03-21,31.875
1983-03-22,31.5
1983-03-23,31.875
1983-03-24,32.625
1983-03-25,34.125
1983-03-28,34.125
1983-03-29,33.9375
1983-03-30,33.9375
1983-03-31,33.5625
1983-04-04,33.0
1983-04-05,32.25
1983-04-06,32.25
1983-04-07,32.25
1983-04-08,32.4375
1983-04-11,32.625
1983-04-12,32.8125
1983-04-13,33.1875
1983-04-14,33.0
1983-04-15,33.0
1983-04-18,33.0
1983-04-19,33.0
1983-04-20,33.0
1983-04-21,33.0
1983-04-22,33.1875
1983-04-25,33.75
1983-04-26,33.5625
1983-04-27,33.1875
1983-04-28,33.0
1983-04-29,32.8125
1983-05-02,32.625
1983-05-03,33.5625
1983-05-04,35.8125
1983-05-05,36.5625
1983-05-06,36.0
1983-05-09,34.125
1983-05-10,33.9375
1983-05-11,33.1875
1983-05-12,32.4375
1983-05-13,33.0
1983-05-16,32.8125
1983-05-17,32.8125
1983-05-18,33.0
1983-05-19,33.375
1983-05-20,33.0
1983-05-23,33.0
1983-05-24,33.5625
1983-05-25,35.8125
1983-05-26,38.25
1983-05-27,38.625
1983-05-31,37.875
1983-06-01,37.6875
1983-06-02,38.625
1983-06-03,38.625
1983-06-06,39.375
1983-06-07,39.1875
1983-06-08,38.4375
1983-06-09,38.25
1983-06-10,38.4375
1983-06-13,38.25
1983-06-14,38.625
1983-06-15,38.4375
1983-06-16,42.375
1983-06-17,42.1875
1983-06-20,42.375
1983-06-21,42.375
1983-06-22,42.5625
1983-06-23,42.1875
1983-06-24,43.5
1983-06-27,44.25
1983-06-28,44.625
1983-06-29,43.875
1983-06-30,42.75
1983-07-01,42.375
1983-07-05,42.0
1983-07-06,42.375
1983-07-07,42.0
1983-07-08,42.0
1983-07-11,41.4375
1983-07-12,39.0
1983-07-13,37.3125
1983-07-14,38.0625
1983-07-15,37.125
1983-07-18,36.375
1983-07-19,35.8125
1983-07-20,36.0
1983-07-21,36.75
1983-07-22,36.5625
1983-07-25,36.75
1983-07-26,36.375
1983-07-27,36.0
1983-07-28,35.0625
1983-07-29,33.375
1983-08-01,33.375
1983-08-02,33.375
1983-08-03,33.1875
1983-08-04,33.0
1983-08-05,33.375
1983-08-08,33.1875
1983-08-09,36.0
1983-08-10,37.6875
1983-08-11,39.375
1983-08-12,39.75
1983-08-15,39.5625
1983-08-16,38.25
1983-08-17,38.4375
1983-08-18,35.8125
1983-08-19,35.4375
1983-08-22,35.625
1983-08-23,35.0625
1983-08-24,34.6875
1983-08-25,34.5
1983-08-26,34.125
1983-08-29,34.3125
1983-08-30,34.3125
1983-08-31,34.3125
1983-09-01,34.3125
1983-09-02,35.625
1983-09-06,36.1875
1983-09-07,36.375
1983-09-08,36.375
1983-09-09,38.4375
1983-09-12,38.4375
1983-09-13,37.5
1983-09-14,36.9375
1983-09-15,33.9375
1983-09-16,33.9375
1983-09-19,33.9375
1983-09-20,34.5
1983-09-21,34.5
1983-09-22,36.75
1983-09-23,36.75
1983-09-26,33.5625
1983-09-27,32.8125
1983-09-28,31.6875
1983-09-29,32.25
1983-09-30,32.25
1983-10-03,31.6875
1983-10-04,31.5
1983-10-05,31.125
1983-10-06,30.5625
1983-10-07,31.5
1983-10-10,31.5
1983-10-11,31.3125
1983-10-12,30.1875
1983-10-13,28.6875
1983-10-14,28.3125
1983-10-17,29.4375
1983-10-18,29.4375
1983-10-19,28.3125
1983-10-20,28.3125
1983-10-21,28.3125
1983-10-24,27.75
1983-10-25,27.75
1983-10-26,27.5625
1983-10-27,26.625
1983-10-28,25.125
1983-10-31,26.625
1983-11-01,25.6875
1983-11-02,25.875
1983-11-03,26.0625
1983-11-04,26.0625
1983-11-07,24.9375
1983-11-08,23.25
1983-11-09,23.25
1983-11-10,23.25
1983-11-11,24.5625
1983-11-14,25.3125
1983-11-15,25.875
1983-11-16,25.3125
1983-11-17,26.25
1983-11-18,26.25
1983-11-21,26.4375
1983-11-22,26.625
1983-11-23,25.5
1983-11-25,25.5
1983-11-28,26.4375
1983-11-29,27.9375
1983-11-30,28.3125
1983-12-01,27.75
1983-12-02,27.375
1983-12-05,27.75
1983-12-06,27.375
1983-12-07,26.0625
1983-12-08,25.125
1983-12-09,25.125
1983-12-12,23.8125
1983-12-13,22.6875
1983-12-14,22.5
1983-12-15,23.8125
1983-12-16,23.8125
1983-12-19,23.0625
1983-12-20,22.875
1983-12-21,22.6875
1983-12-22,22.125
1983-12-23,22.3125
1983-12-27,22.5
1983-12-28,23.25
1983-12-29,23.25
1983-12-30,22.875
1984-01-03,22.5
1984-01-04,22.875
1984-01-05,21.75
1984-01-06,21.5625
1984-01-09,22.125
1984-01-10,21.9375
1984-01-11,21.75
1984-01-12,23.0625
1984-01-13,23.25
1984-01-16,23.25
1984-01-17,26.0625
1984-01-18,26.25
1984-01-19,25.6875
1984-01-20,26.25
1984-01-23,25.6875
1984-01-24,26.4375
1984-01-25,26.8125
1984-01-26,26.4375
1984-01-27,25.5
1984-01-30,23.8125
1984-01-31,23.8125
1984-02-01,24.0
1984-02-02,24.0
1984-02-03,23.4375
1984-02-06,23.0625
1984-02-07,23.4375
1984-02-08,23.4375
1984-02-09,22.125
1984-02-10,21.9375
1984-02-13,21.5625
1984-02-14,22.3125
1984-02-15,22.5
1984-02-16,21.9375
1984-02-17,21.9375
1984-02-21,21.0
1984-02-22,21.9375
1984-02-23,21.9375
1984-02-24,22.5
1984-02-27,22.5
1984-02-28,21.5625
1984-02-29,21.375
1984-03-01,21.75
1984-03-02,22.5
1984-03-05,21.75
1984-03-06,22.3125
1984-03-07,21.75
1984-03-08,21.375
1984-03-09,20.8125
1984-03-12,20.625
1984-03-13,21.375
1984-03-14,21.0
1984-03-15,20.8125
1984-03-16,21.0
1984-03-19,20.625
1984-03-20,20.4375
1984-03-21,20.0625
1984-03-22,19.125
1984-03-23,18.9375
1984-03-26,19.875
1984-03-27,19.5
1984-03-28,19.5
1984-03-29,19.125
1984-03-30,19.5
1984-04-02,19.5
1984-04-03,18.75
1984-04-04,20.0625
1984-04-05,20.8125
1984-04-06,20.8125
1984-04-09,20.4375
1984-04-10,23.8125
1984-04-11,24.9375
1984-04-12,24.375
1984-04-13,23.625
1984-04-16,23.625
1984-04-17,24.0
1984-04-18,25.3125
1984-04-19,26.0625
1984-04-23,33.5625
1984-04-24,33.375
1984-04-25,36.375
