Date,WST
1980-03-17,0.78125
1980-03-18,0.765625
1980-03-19,0.78125
1980-03-20,0.765625
1980-03-21,0.765625
1980-03-24,0.765625
1980-03-25,0.75
1980-03-26,0.75
1980-03-27,0.6875
1980-03-28,0.703125
1980-03-31,0.734375
1980-04-01,0.71875
1980-04-02,0.71875
1980-04-03,0.71875
1980-04-07,0.71875
1980-04-08,0.703125
1980-04-09,0.734375
1980-04-10,0.78125
1980-04-11,0.796875
1980-04-14,0.78125
1980-04-15,0.765625
1980-04-16,0.765625
1980-04-17,0.765625
1980-04-18,0.765625
1980-04-21,0.765625
1980-04-22,0.78125
1980-04-23,0.765625
1980-04-24,0.765625
1980-04-25,0.75
1980-04-28,0.78125
1980-04-29,0.765625
1980-04-30,0.765625
1980-05-01,0.75
1980-05-02,0.734375
1980-05-05,0.734375
1980-05-06,0.71875
1980-05-07,0.796875
1980-05-08,0.796875
1980-05-09,0.796875
1980-05-12,0.796875
1980-05-13,0.8125
1980-05-14,0.8125
1980-05-15,0.8125
1980-05-16,0.8125
1980-05-19,0.796875
1980-05-20,0.796875
1980-05-21,0.796875
1980-05-22,0.796875
1980-05-23,0.796875
1980-05-27,0.8125
1980-05-28,0.8125
1980-05-29,0.796875
1980-05-30,0.796875
1980-06-02,0.796875
1980-06-03,0.8125
1980-06-04,0.828125
1980-06-05,0.828125
1980-06-06,0.8125
1980-06-09,0.8125
1980-06-10,0.8125
1980-06-11,0.828125
1980-06-12,0.828125
1980-06-13,0.828125
1980-06-16,0.84375
1980-06-17,0.828125
1980-06-18,0.828125
1980-06-19,0.828125
1980-06-20,0.828125
1980-06-23,0.84375
1980-06-24,0.84375
1980-06-25,0.859375
1980-06-26,0.859375
1980-06-27,0.875
1980-06-30,0.84375
1980-07-01,0.859375
1980-07-02,0.875
1980-07-03,0.875
1980-07-07,0.875
1980-07-08,0.875
1980-07-09,0.875
1980-07-10,0.84375
1980-07-11,0.84375
1980-07-14,0.828125
1980-07-15,0.828125
1980-07-16,0.828125
1980-07-17,0.90625
1980-07-18,0.9375
1980-07-21,0.9375
1980-07-22,0.921875
1980-07-23,1.03125
1980-07-24,0.984375
1980-07-25,0.953125
1980-07-28,0.921875
1980-07-29,1.0
1980-07-30,1.0
1980-07-31,0.984375
1980-08-01,0.953125
1980-08-04,0.96875
1980-08-05,0.96875
1980-08-06,1.03125
1980-08-07,1.03125
1980-08-08,1.0
1980-08-11,1.0
1980-08-12,1.078125
1980-08-13,1.125
1980-08-14,1.125
1980-08-15,1.09375
1980-08-18,1.0625
1980-08-19,1.03125
1980-08-20,1.015625
1980-08-21,1.03125
1980-08-22,1.0625
1980-08-25,1.078125
1980-08-26,1.125
1980-08-27,1.125
