Date,INTC
1980-03-17,0.325521
1980-03-18,0.322917
1980-03-19,0.330729
1980-03-20,0.329427
1980-03-21,0.317708
1980-03-24,0.311198
1980-03-25,0.3125
1980-03-26,0.309896
1980-03-27,0.299479
1980-03-28,0.311198
1980-03-31,0.321615
1980-04-01,0.322917
1980-04-02,0.325521
1980-04-03,0.31901
1980-04-07,0.311198
1980-04-08,0.3125
1980-04-09,0.30599
1980-04-10,0.304688
1980-04-11,0.304688
1980-04-14,0.307292
1980-04-15,0.303385
1980-04-16,0.291667
1980-04-17,0.286458
1980-04-18,0.290365
1980-04-21,0.28776
1980-04-22,0.300781
1980-04-23,0.31901
1980-04-24,0.320313
1980-04-25,0.315104
1980-04-28,0.3125
1980-04-29,0.315104
1980-04-30,0.31901
1980-05-01,0.320313
1980-05-02,0.325521
1980-05-05,0.329427
1980-05-06,0.328125
1980-05-07,0.328125
1980-05-08,0.324219
1980-05-09,0.328125
1980-05-12,0.326823
1980-05-13,0.333333
1980-05-14,0.338542
1980-05-15,0.341146
1980-05-16,0.345052
1980-05-19,0.346354
1980-05-20,0.342448
1980-05-21,0.334635
1980-05-22,0.330729
1980-05-23,0.342448
1980-05-27,0.341146
1980-05-28,0.348958
1980-05-29,0.348958
1980-05-30,0.354167
1980-06-02,0.355469
1980-06-03,0.346354
1980-06-04,0.351563
1980-06-05,0.351563
1980-06-06,0.348958
1980-06-09,0.346354
1980-06-10,0.35026
1980-06-11,0.354167
1980-06-12,0.348958
1980-06-13,0.348958
1980-06-16,0.348958
1980-06-17,0.347656
1980-06-18,0.345052
1980-06-19,0.338542
1980-06-20,0.339844
1980-06-23,0.339844
1980-06-24,0.339844
1980-06-25,0.34375
1980-06-26,0.34375
1980-06-27,0.345052
1980-06-30,0.342448
1980-07-01,0.347656
1980-07-02,0.35026
1980-07-03,0.352865
1980-07-07,0.365885
1980-07-08,0.373698
1980-07-09,0.373698
1980-07-10,0.378906
1980-07-11,0.377604
1980-07-14,0.38151
1980-07-15,0.393229
1980-07-16,0.39974
1980-07-17,0.408854
1980-07-18,0.419271
1980-07-21,0.419271
1980-07-22,0.414063
1980-07-23,0.410156
1980-07-24,0.407552
1980-07-25,0.403646
1980-07-28,0.407552
1980-07-29,0.425781
1980-07-30,0.438802
1980-07-31,0.441406
1980-08-01,0.434896
1980-08-04,0.441406
1980-08-05,0.44401
1980-08-06,0.440104
1980-08-07,0.445313
1980-08-08,0.451823
1980-08-11,0.480469
1980-08-12,0.481771
1980-08-13,0.472656
1980-08-14,0.472656
1980-08-15,0.466146
1980-08-18,0.453125
1980-08-19,0.446615
1980-08-20,0.455729
1980-08-21,0.460938
1980-08-22,0.463542
1980-08-25,0.463542
1980-08-26,0.463542
1980-08-27,0.46224
1980-08-28,0.458333
1980-08-29,0.455729
1980-09-02,0.46224
1980-09-03,0.476563
1980-09-04,0.480469
1980-09-05,0.477865
1980-09-08,0.464844
1980-09-09,0.466146
1980-09-10,0.460938
1980-09-11,0.463542
1980-09-12,0.46224
1980-09-15,0.457031
1980-09-16,0.470052
1980-09-17,0.490885
1980-09-18,0.492188
1980-09-19,0.496094
1980-09-22,0.488281
1980-09-23,0.470052
1980-09-24,0.464844
1980-09-25,0.459635
1980-09-26,0.453125
1980-09-29,0.454427
1980-09-30,0.463542
1980-10-01,0.46875
1980-10-02,0.467448
1980-10-03,0.483073
1980-10-06,0.513021
1980-10-07,0.514323
1980-10-08,0.5039060000000001
1980-10-09,0.502604
1980-10-10,0.497396
1980-10-13,0.5
1980-10-14,0.502604
1980-10-15,0.513021
1980-10-16,0.510417
1980-10-17,0.505208
1980-10-20,0.5
1980-10-21,0.494792
1980-10-22,0.5
1980-10-23,0.489583
1980-10-24,0.479167
1980-10-27,0.453125
1980-10-28,0.466146
1980-10-29,0.476563
1980-10-30,0.427083
1980-10-31,0.4375
1980-11-03,0.4375
1980-11-05,0.46875
1980-11-06,0.440104
1980-11-07,0.447917
1980-11-10,0.445313
1980-11-11,0.453125
1980-11-12,0.46875
1980-11-13,0.479167
1980-11-14,0.5
1980-11-17,0.502604
1980-11-18,0.515625
1980-11-19,0.507813
1980-11-20,0.502604
1980-11-21,0.494792
1980-11-24,0.486979
1980-11-25,0.486979
1980-11-26,0.489583
