Date,AIQ
2018-05-16,15.036
2018-05-17,15.1
2018-05-18,14.984
2018-05-21,15.015
2018-05-22,14.95
2018-05-23,15.02
2018-05-24,15.06
2018-05-25,15.03
2018-05-29,14.87
2018-05-30,15.05
2018-05-31,15.006
2018-06-01,15.24
2018-06-04,15.445
2018-06-05,15.562
2018-06-06,15.66
2018-06-07,15.51
2018-06-08,15.55
2018-06-11,15.63
2018-06-12,15.64
2018-06-13,15.681
2018-06-14,15.8
2018-06-15,15.75
2018-06-18,15.75
2018-06-19,15.64
2018-06-20,15.68
2018-06-21,15.495
2018-06-22,15.41
2018-06-25,14.974
2018-06-26,15.065
2018-06-27,14.71
2018-06-28,14.945
2018-06-29,14.98
2018-07-02,15.002
2018-07-03,15.05
2018-07-05,15.2
2018-07-06,15.414
2018-07-09,15.54
2018-07-10,15.59
2018-07-11,15.485
2018-07-12,15.78
2018-07-13,15.788
2018-07-16,15.75
2018-07-17,15.767
2018-07-18,15.792
2018-07-19,15.68
2018-07-20,15.64
2018-07-23,15.64
2018-07-24,15.56
2018-07-25,15.8
2018-07-26,15.665
2018-07-27,15.348
2018-07-30,15.02
2018-07-31,15.037
2018-08-01,15.03
2018-08-02,15.139
2018-08-03,15.17
2018-08-06,15.204
2018-08-07,15.339
2018-08-08,15.33
2018-08-09,15.38
2018-08-10,15.28
2018-08-13,15.25
2018-08-14,15.294
2018-08-15,15.084
2018-08-16,15.148
2018-08-17,15.2
2018-08-20,15.26
2018-08-21,15.345
2018-08-22,15.34
2018-08-23,15.43
2018-08-24,15.671
2018-08-27,15.82
2018-08-28,15.867
2018-08-29,16.040001
2018-08-30,15.88
2018-08-31,15.83
2018-09-04,15.86
2018-09-05,15.6
2018-09-06,15.408
2018-09-07,15.494
2018-09-10,15.56
2018-09-11,15.626
2018-09-12,15.703
2018-09-13,15.8
2018-09-14,15.888
2018-09-17,15.61
2018-09-18,15.74
2018-09-19,15.67
2018-09-20,15.814
2018-09-21,15.815
2018-09-24,15.78
2018-09-25,15.85
2018-09-26,15.9
2018-09-27,15.9
2018-09-28,15.833
2018-10-01,15.866
2018-10-02,15.626
2018-10-03,15.74
2018-10-04,15.399
2018-10-05,15.31
2018-10-08,15.13
2018-10-09,14.995
2018-10-10,14.3
2018-10-11,14.177
2018-10-12,14.575
2018-10-15,14.455
2018-10-16,14.82
2018-10-17,14.86
2018-10-18,14.44
2018-10-19,14.31
2018-10-22,14.41
2018-10-23,14.338
2018-10-24,13.53
2018-10-25,13.91
2018-10-26,13.632
2018-10-29,13.18
2018-10-30,13.465
2018-10-31,13.91
2018-11-01,14.16
2018-11-02,14.06
2018-11-05,13.991
2018-11-06,14.05
2018-11-07,14.5
2018-11-08,14.318
2018-11-09,14.1
2018-11-12,13.684
2018-11-13,13.826
2018-11-14,13.76
2018-11-15,13.988
2018-11-16,13.91
2018-11-19,13.23
2018-11-20,13.113
2018-11-21,13.38
2018-11-23,13.37
2018-11-26,13.66
2018-11-27,13.59
2018-11-28,14.07
2018-11-29,14.09
2018-11-30,14.2
2018-12-03,14.5
2018-12-04,13.91
2018-12-06,13.872
2018-12-07,13.63
2018-12-10,13.74
2018-12-11,13.86
2018-12-12,14.11
2018-12-13,13.92
2018-12-14,13.663
2018-12-17,13.19
2018-12-18,13.359
2018-12-19,13.145
2018-12-20,12.89
2018-12-21,12.565
2018-12-24,12.246
2018-12-26,12.76
2018-12-27,12.63
2018-12-28,12.84
2018-12-31,12.86
2019-01-02,13.01
2019-01-03,12.67
2019-01-04,13.18
2019-01-07,13.43
2019-01-08,13.56
2019-01-09,13.695
2019-01-10,13.77
2019-01-11,13.79
2019-01-14,13.67
2019-01-15,13.88
2019-01-16,13.87
2019-01-17,13.97
2019-01-18,14.18
2019-01-22,13.92
2019-01-23,13.94
2019-01-24,14.08
2019-01-25,14.34
2019-01-28,14.224
2019-01-29,14.03
2019-01-30,14.36
2019-01-31,14.55
2019-02-01,14.647
2019-02-04,14.811
2019-02-05,14.989
2019-02-06,14.98
