Date,SITE
2016-05-12,26.67
2016-05-13,28.200001
2016-05-16,28.700001
2016-05-17,27.959999
2016-05-18,29.280001000000002
2016-05-19,28.52
2016-05-20,29.0
2016-05-23,29.15
2016-05-24,28.940001000000002
2016-05-25,28.360001
2016-05-26,27.73
2016-05-27,27.92
2016-05-31,28.129998999999998
2016-06-01,28.0
2016-06-02,28.0
2016-06-03,28.110001
2016-06-06,28.33
2016-06-07,28.459999
2016-06-08,28.43
2016-06-09,28.35
2016-06-10,28.15
2016-06-13,28.26
2016-06-14,27.940001000000002
2016-06-15,28.360001
2016-06-16,28.200001
2016-06-17,27.290001
2016-06-20,29.290001
2016-06-21,30.84
2016-06-22,31.58
2016-06-23,33.720001
2016-06-24,33.66
2016-06-27,32.990002000000004
2016-06-28,34.790001000000004
2016-06-29,33.98
2016-06-30,33.990002000000004
2016-07-01,35.169998
2016-07-05,35.950001
2016-07-06,35.459998999999996
2016-07-07,34.779999
2016-07-08,36.740002000000004
2016-07-11,36.84
2016-07-12,37.369999
2016-07-13,37.029999
2016-07-14,35.599998
2016-07-15,36.419998
2016-07-18,38.310001
2016-07-19,37.860001000000004
2016-07-20,37.27
2016-07-21,37.310001
2016-07-22,37.18
2016-07-25,39.27
2016-07-26,38.959998999999996
2016-07-27,38.759997999999996
2016-07-28,38.93
2016-07-29,38.84
2016-08-01,38.740002000000004
2016-08-02,38.029999
2016-08-03,38.43
2016-08-04,37.400002
2016-08-05,37.580002
2016-08-08,36.849998
2016-08-09,37.16
2016-08-10,37.84
2016-08-11,38.34
2016-08-12,38.669998
2016-08-15,38.490002000000004
2016-08-16,38.380001
2016-08-17,36.18
2016-08-18,37.41
2016-08-19,38.23
2016-08-22,39.75
2016-08-23,40.560001
2016-08-24,39.68
2016-08-25,38.810001
2016-08-26,38.299999
2016-08-29,38.380001
2016-08-30,38.259997999999996
2016-08-31,38.240002000000004
2016-09-01,37.939999
2016-09-02,37.950001
2016-09-06,38.16
2016-09-07,39.02
2016-09-08,40.189999
2016-09-09,36.52
2016-09-12,36.720001
2016-09-13,37.970001
2016-09-14,38.150002
2016-09-15,39.200001
2016-09-16,39.509997999999996
2016-09-19,40.240002000000004
2016-09-20,38.869999
2016-09-21,38.810001
2016-09-22,37.220001
2016-09-23,37.02
2016-09-26,36.349998
2016-09-27,36.110001000000004
2016-09-28,35.91
2016-09-29,35.68
2016-09-30,35.93
2016-10-03,36.18
2016-10-04,36.849998
2016-10-05,36.59
2016-10-06,36.150002
2016-10-07,36.25
2016-10-10,36.650002
2016-10-11,36.02
2016-10-12,36.360001000000004
2016-10-13,34.610001000000004
2016-10-14,34.779999
2016-10-17,33.669998
2016-10-18,32.389998999999996
2016-10-19,32.32
2016-10-20,31.959999
2016-10-21,31.75
2016-10-24,32.119999
2016-10-25,31.74
2016-10-26,31.24
2016-10-27,30.34
2016-10-28,30.77
2016-10-31,31.18
2016-11-01,30.51
2016-11-02,30.280001000000002
2016-11-03,29.98
2016-11-04,29.82
2016-11-07,30.51
2016-11-08,29.91
2016-11-09,32.310001
2016-11-10,30.65
2016-11-11,32.029999
2016-11-14,34.299999
2016-11-15,35.240002000000004
2016-11-16,34.709998999999996
2016-11-17,35.330002
2016-11-18,35.009997999999996
2016-11-21,34.41
2016-11-22,35.98
2016-11-23,35.75
2016-11-25,35.599998
2016-11-28,35.07
2016-11-29,33.740002000000004
2016-11-30,33.5
2016-12-01,32.299999
2016-12-02,32.060001
2016-12-05,33.18
2016-12-06,32.439999
2016-12-07,33.02
2016-12-08,33.509997999999996
2016-12-09,33.41
2016-12-12,32.799999
2016-12-13,32.220001
2016-12-14,31.719998999999998
2016-12-15,33.169998
2016-12-16,33.669998
2016-12-19,35.009997999999996
2016-12-20,35.360001000000004
2016-12-21,35.209998999999996
2016-12-22,35.27
2016-12-23,35.0
2016-12-27,35.5
2016-12-28,34.91
2016-12-29,35.029999
2016-12-30,34.73
2017-01-03,35.720001
2017-01-04,36.77
2017-01-05,36.450001
2017-01-06,36.5
2017-01-09,36.560001
2017-01-10,36.560001
2017-01-11,36.889998999999996
2017-01-12,36.380001
2017-01-13,36.080002
2017-01-17,36.240002000000004
2017-01-18,36.549999
2017-01-19,36.849998
2017-01-20,37.259997999999996
2017-01-23,37.09
2017-01-24,37.380001
2017-01-25,37.82
2017-01-26,37.810001
2017-01-27,37.830002
2017-01-30,38.02
2017-01-31,38.419998
2017-02-01,38.080002
2017-02-02,38.119999
2017-02-03,38.169998
2017-02-06,38.18
2017-02-07,38.43
2017-02-08,38.02
2017-02-09,37.970001
2017-02-10,38.720001
2017-02-13,38.580002
2017-02-14,38.860001000000004
2017-02-15,38.59
2017-02-16,38.860001000000004
2017-02-17,38.73
2017-02-21,39.360001000000004
2017-02-22,39.48
2017-02-23,39.529999
2017-02-24,39.290001000000004
2017-02-27,39.57
2017-02-28,39.209998999999996
2017-03-01,39.799999
2017-03-02,39.419998
2017-03-03,39.939999
2017-03-06,39.830002
2017-03-07,39.380001
2017-03-08,39.889998999999996
