Date,ST
2010-03-11,18.5
2010-03-12,18.139999
2010-03-15,17.9
2010-03-16,17.9
2010-03-17,18.15
2010-03-18,18.370001000000002
2010-03-19,18.280001000000002
2010-03-22,18.290001
2010-03-23,18.16
2010-03-24,18.0
2010-03-25,18.0
2010-03-26,18.0
2010-03-29,18.120001000000002
2010-03-30,18.0
2010-03-31,17.959999
2010-04-01,18.049999
2010-04-05,18.02
2010-04-06,17.959999
2010-04-07,18.309998999999998
2010-04-08,18.5
2010-04-09,19.0
2010-04-12,19.0
2010-04-13,19.040001
2010-04-14,19.309998999999998
2010-04-15,19.42
2010-04-16,19.24
2010-04-19,19.07
2010-04-20,19.85
2010-04-21,20.5
2010-04-22,20.790001
2010-04-23,20.469998999999998
2010-04-26,20.120001000000002
2010-04-27,20.24
2010-04-28,20.35
2010-04-29,20.6
2010-04-30,20.0
2010-05-03,19.92
2010-05-04,19.719998999999998
2010-05-05,19.610001
2010-05-06,19.0
2010-05-07,18.24
2010-05-10,19.139999
2010-05-11,18.870001000000002
2010-05-12,19.09
2010-05-13,19.49
2010-05-14,19.25
2010-05-17,19.18
2010-05-18,19.15
2010-05-19,19.0
2010-05-20,17.799999
2010-05-21,17.719998999999998
2010-05-24,17.200001
2010-05-25,16.59
2010-05-26,16.469998999999998
2010-05-27,16.83
2010-05-28,16.629998999999998
2010-06-01,16.440001000000002
2010-06-02,16.790001
2010-06-03,16.83
2010-06-04,16.549999
2010-06-07,16.51
2010-06-08,15.55
2010-06-09,16.4
2010-06-10,17.209999
2010-06-11,17.469998999999998
2010-06-14,17.280001000000002
2010-06-15,17.299999
2010-06-16,17.52
2010-06-17,17.549999
2010-06-18,18.059998999999998
2010-06-21,18.34
2010-06-22,18.1
2010-06-23,18.0
2010-06-24,17.49
2010-06-25,17.049999
2010-06-28,17.15
2010-06-29,15.96
2010-06-30,15.99
2010-07-01,15.96
2010-07-02,16.0
2010-07-06,16.5
2010-07-07,16.27
2010-07-08,16.08
2010-07-09,16.1
2010-07-12,16.059998999999998
2010-07-13,16.76
2010-07-14,16.549999
2010-07-15,16.84
2010-07-16,16.58
2010-07-19,16.26
2010-07-20,16.6
2010-07-21,16.6
2010-07-22,16.360001
2010-07-23,16.459999
2010-07-26,16.35
2010-07-27,16.299999
2010-07-28,16.02
2010-07-29,16.0
2010-07-30,16.200001
2010-08-02,16.51
2010-08-03,16.58
2010-08-04,16.75
2010-08-05,16.66
2010-08-06,16.57
2010-08-09,17.75
2010-08-10,17.459999
2010-08-11,16.93
2010-08-12,16.549999
2010-08-13,16.75
2010-08-16,17.059998999999998
2010-08-17,17.42
2010-08-18,17.51
2010-08-19,17.4
2010-08-20,17.309998999999998
2010-08-23,17.1
2010-08-24,16.76
2010-08-25,16.379998999999998
2010-08-26,16.309998999999998
2010-08-27,16.9
2010-08-30,16.870001000000002
2010-08-31,16.870001000000002
2010-09-01,17.690001000000002
2010-09-02,17.91
2010-09-03,18.42
2010-09-07,18.17
2010-09-08,18.200001
2010-09-09,18.459999
2010-09-10,18.49
2010-09-13,18.51
2010-09-14,18.690001000000002
2010-09-15,19.040001
2010-09-16,19.35
2010-09-17,19.93
2010-09-20,19.209999
2010-09-21,18.879998999999998
2010-09-22,19.469998999999998
2010-09-23,19.530001000000002
2010-09-24,19.790001
2010-09-27,19.780001000000002
2010-09-28,19.74
2010-09-29,20.01
2010-09-30,19.76
2010-10-01,20.09
2010-10-04,19.73
2010-10-05,20.299999
2010-10-06,20.280001000000002
2010-10-07,19.879998999999998
2010-10-08,20.629998999999998
2010-10-11,21.0
2010-10-12,20.99
2010-10-13,20.9
2010-10-14,20.9
2010-10-15,21.0
2010-10-18,21.030001000000002
2010-10-19,21.08
2010-10-20,21.0
2010-10-21,21.49
2010-10-22,21.690001000000002
2010-10-25,22.0
2010-10-26,22.0
2010-10-27,21.51
2010-10-28,23.280001000000002
2010-10-29,23.15
2010-11-01,22.719998999999998
2010-11-02,22.299999
2010-11-03,23.24
2010-11-04,22.950001
2010-11-05,23.15
2010-11-08,23.200001
2010-11-09,23.26
2010-11-10,23.74
2010-11-11,24.200001
2010-11-12,25.9
2010-11-15,25.709999
2010-11-16,25.540001
2010-11-17,25.65
2010-11-18,26.290001
2010-11-19,27.25
2010-11-22,27.700001
2010-11-23,27.65
2010-11-24,28.219998999999998
2010-11-26,28.27
2010-11-29,28.42
2010-11-30,27.799999
2010-12-01,27.67
2010-12-02,27.66
2010-12-03,28.09
2010-12-06,29.0
2010-12-07,29.129998999999998
2010-12-08,29.280001000000002
2010-12-09,29.0
2010-12-10,29.0
2010-12-13,28.93
2010-12-14,29.200001
2010-12-15,28.860001
2010-12-16,29.719998999999998
2010-12-17,30.01
2010-12-20,30.110001
2010-12-21,30.25
2010-12-22,30.52
2010-12-23,30.5
2010-12-27,30.389999
2010-12-28,30.280001000000002
2010-12-29,29.889999
2010-12-30,30.18
2010-12-31,30.110001
2011-01-03,30.280001000000002
2011-01-04,30.43
2011-01-05,30.450001
2011-01-06,30.57
2011-01-07,30.469998999999998
2011-01-10,30.82
2011-01-11,31.58
2011-01-12,31.5
2011-01-13,31.200001
2011-01-14,30.959999
2011-01-18,31.129998999999998
2011-01-19,30.09
2011-01-20,30.1
2011-01-21,29.92
2011-01-24,29.83
2011-01-25,29.790001
2011-01-26,30.09
2011-01-27,31.32
2011-01-28,31.01
2011-01-31,31.51
2011-02-01,32.0
2011-02-02,32.419998
2011-02-03,31.92
2011-02-04,31.690001000000002
2011-02-07,32.029999
2011-02-08,31.9
2011-02-09,32.0
2011-02-10,32.220001
2011-02-11,32.41
2011-02-14,32.18
2011-02-15,31.65
2011-02-16,32.029999
2011-02-17,33.25
2011-02-18,33.290001000000004
2011-02-22,33.200001
2011-02-23,33.049999
2011-02-24,33.040001000000004
2011-02-25,33.220001
2011-02-28,33.099998
2011-03-01,33.369999
2011-03-02,33.419998
2011-03-03,33.369999
2011-03-04,33.330002
2011-03-07,33.27
2011-03-08,33.099998
2011-03-09,33.02
2011-03-10,32.580002
2011-03-11,32.599998
2011-03-14,32.119999
2011-03-15,31.940001000000002
2011-03-16,32.0
2011-03-17,32.41
2011-03-18,32.799999
2011-03-21,33.09
2011-03-22,32.650002
2011-03-23,32.310001
2011-03-24,33.41
2011-03-25,33.740002000000004
