Date,PE
2014-05-23,22.200001
2014-05-27,22.68
2014-05-28,23.33
2014-05-29,23.889999
2014-05-30,23.77
2014-06-02,24.32
2014-06-03,24.73
2014-06-04,24.83
2014-06-05,25.16
2014-06-06,25.0
2014-06-09,24.73
2014-06-10,24.76
2014-06-11,24.959999
2014-06-12,24.99
2014-06-13,24.6
2014-06-16,23.620001000000002
2014-06-17,22.59
2014-06-18,23.120001000000002
2014-06-19,23.540001
2014-06-20,23.23
2014-06-23,22.690001000000002
2014-06-24,22.110001
2014-06-25,23.1
2014-06-26,23.92
2014-06-27,23.73
2014-06-30,24.07
2014-07-01,23.389999
2014-07-02,23.120001000000002
2014-07-03,22.620001000000002
2014-07-07,22.950001
2014-07-08,23.43
2014-07-09,23.780001000000002
2014-07-10,23.74
2014-07-11,23.209999
2014-07-14,23.190001000000002
2014-07-15,22.610001
2014-07-16,22.709999
2014-07-17,23.35
2014-07-18,23.290001
2014-07-21,23.85
2014-07-22,23.809998999999998
2014-07-23,23.950001
2014-07-24,23.809998999999998
2014-07-25,23.309998999999998
2014-07-28,23.379998999999998
2014-07-29,23.860001
2014-07-30,23.309998999999998
2014-07-31,22.57
2014-08-01,21.549999
2014-08-04,22.209999
2014-08-05,21.91
2014-08-06,21.76
2014-08-07,21.42
2014-08-08,21.15
2014-08-11,22.219998999999998
2014-08-12,21.969998999999998
2014-08-13,20.959999
2014-08-14,19.889999
2014-08-15,20.43
2014-08-18,20.950001
2014-08-19,20.32
2014-08-20,20.34
2014-08-21,20.08
2014-08-22,20.02
2014-08-25,20.16
2014-08-26,20.99
2014-08-27,20.93
2014-08-28,21.549999
2014-08-29,21.92
2014-09-02,21.93
2014-09-03,21.58
2014-09-04,20.83
2014-09-05,20.950001
2014-09-08,20.700001
2014-09-09,20.780001000000002
2014-09-10,20.629998999999998
2014-09-11,20.76
2014-09-12,20.51
2014-09-15,20.690001000000002
2014-09-16,21.200001
2014-09-17,21.280001000000002
2014-09-18,21.0
2014-09-19,20.74
2014-09-22,20.26
2014-09-23,20.41
2014-09-24,20.66
2014-09-25,20.32
2014-09-26,20.51
2014-09-29,21.370001000000002
2014-09-30,21.33
2014-10-01,21.030001000000002
2014-10-02,20.35
2014-10-03,19.299999
2014-10-06,19.48
2014-10-07,19.280001000000002
2014-10-08,19.790001
2014-10-09,18.870001000000002
2014-10-10,18.690001000000002
2014-10-13,16.879998999999998
2014-10-14,16.4
2014-10-15,17.18
2014-10-16,17.99
2014-10-17,18.030001000000002
2014-10-20,17.940001000000002
2014-10-21,18.25
2014-10-22,17.07
2014-10-23,17.49
2014-10-24,17.309998999999998
2014-10-27,16.01
2014-10-28,16.709999
2014-10-29,17.129998999999998
2014-10-30,16.889999
2014-10-31,16.969998999999998
2014-11-03,16.6
2014-11-04,15.46
2014-11-05,15.83
2014-11-06,15.82
2014-11-07,16.42
2014-11-10,16.459999
2014-11-11,16.440001000000002
2014-11-12,17.91
2014-11-13,17.65
2014-11-14,17.950001
2014-11-17,16.860001
2014-11-18,16.51
2014-11-19,16.549999
2014-11-20,17.700001
2014-11-21,17.9
2014-11-24,17.5
2014-11-25,17.33
2014-11-26,16.83
2014-11-28,12.64
2014-12-01,12.7
2014-12-02,12.96
2014-12-03,13.72
2014-12-04,13.14
2014-12-05,12.63
2014-12-08,11.26
2014-12-09,12.49
2014-12-10,11.9
2014-12-11,11.75
2014-12-12,11.51
2014-12-15,11.64
2014-12-16,12.37
2014-12-17,13.71
2014-12-18,14.59
2014-12-19,15.92
2014-12-22,15.93
2014-12-23,16.389999
2014-12-24,16.02
2014-12-26,16.27
2014-12-29,16.41
2014-12-30,15.63
2014-12-31,15.96
2015-01-02,16.02
2015-01-05,14.89
2015-01-06,14.06
2015-01-07,13.63
2015-01-08,14.5
2015-01-09,14.3
2015-01-12,13.73
2015-01-13,13.86
2015-01-14,14.97
2015-01-15,14.66
2015-01-16,15.72
2015-01-20,15.65
2015-01-21,16.620001000000002
2015-01-22,16.690001000000002
2015-01-23,16.83
2015-01-26,17.110001
2015-01-27,17.09
2015-01-28,16.01
2015-01-29,16.549999
2015-01-30,16.77
2015-02-02,17.110001
2015-02-03,18.290001
2015-02-04,17.709999
2015-02-05,17.620001000000002
2015-02-06,17.59
2015-02-09,16.65
2015-02-10,16.309998999999998
2015-02-11,16.200001
2015-02-12,16.48
2015-02-13,17.280001000000002
2015-02-17,16.969998999999998
2015-02-18,16.469998999999998
2015-02-19,16.75
2015-02-20,16.360001
2015-02-23,16.16
2015-02-24,15.91
2015-02-25,16.25
2015-02-26,15.71
2015-02-27,14.89
2015-03-02,14.65
2015-03-03,14.52
2015-03-04,14.49
2015-03-05,14.25
2015-03-06,13.5
2015-03-09,13.91
2015-03-10,14.31
2015-03-11,14.33
2015-03-12,14.57
2015-03-13,14.61
2015-03-16,14.99
2015-03-17,15.02
2015-03-18,15.05
2015-03-19,14.6
2015-03-20,14.84
2015-03-23,14.54
2015-03-24,15.15
2015-03-25,15.87
2015-03-26,16.24
2015-03-27,15.9
2015-03-30,16.049999
2015-03-31,15.98
2015-04-01,16.559998999999998
2015-04-02,16.77
2015-04-06,17.450001
2015-04-07,17.440001000000002
2015-04-08,16.67
2015-04-09,17.209999
2015-04-10,17.360001
2015-04-13,16.99
2015-04-14,17.379998999999998
2015-04-15,17.68
2015-04-16,16.85
2015-04-17,16.43
2015-04-20,16.540001
2015-04-21,16.09
2015-04-22,16.07
2015-04-23,16.700001
2015-04-24,16.719998999999998
2015-04-27,16.719998999999998
2015-04-28,16.76
2015-04-29,17.370001000000002
2015-04-30,17.34
2015-05-01,16.84
2015-05-04,17.18
2015-05-05,16.5
2015-05-06,16.83
2015-05-07,16.35
2015-05-08,16.5
2015-05-11,15.92
2015-05-12,16.0
2015-05-13,16.67
2015-05-14,17.299999
2015-05-15,17.620001000000002
2015-05-18,18.01
2015-05-19,17.58
2015-05-20,17.1
2015-05-21,17.549999
2015-05-22,17.51
2015-05-26,17.280001000000002
2015-05-27,17.459999
